,tri_edge,dom/cod,踊り,女性,スカート,夜,音楽,回る,揺れる,舞台
0,"('踊り', '女性')",踊り,0.5763539780776888,0.10170952554312156,0.5594023904871687,-0.27122540144832413,0.8681558508014494,0.4936572484949418,0.2542738138578039,0.6102571532587294
1,"('踊り', '女性')",女性,0.0,0.7999999999999999,0.6833333333333333,-0.6333333333333333,0.05020964452534338,-0.00836827408755723,0.11666666666666665,-0.06666666666666667
2,"('踊り', 'スカート')",踊り,0.3,-0.09999999999999999,0.33333333333333337,-0.11666666666666665,0.5857791861290061,0.20920685218893076,-0.016666666666666666,0.33333333333333337
3,"('踊り', 'スカート')",スカート,-0.32636268941473195,-0.06694619270045785,-0.20083857810137354,0.10878756313824399,-0.7226890756302522,-0.2016806722689076,-0.20083857810137354,-0.41004543029030427
4,"('踊り', '夜')",踊り,0.3,-0.09999999999999999,0.33333333333333337,-0.11666666666666665,0.5857791861290061,0.20920685218893076,-0.016666666666666666,0.33333333333333337
5,"('踊り', '夜')",夜,-0.11666666666666665,-0.6833333333333333,-0.7166666666666667,0.8833333333333333,-0.16736548175114463,-0.05857791861290061,-0.19999999999999998,0.016666666666666666
6,"('踊り', '音楽')",踊り,0.016666666666666666,-0.18333333333333335,0.16666666666666669,0.06666666666666667,0.30125786715206027,-0.06694619270045785,-0.2333333333333333,0.049999999999999996
7,"('踊り', '音楽')",音楽,-0.5188329934285483,0.43515025255297596,-0.17573375583870182,0.30125786715206027,-0.6680672268907564,-0.5546218487394959,-0.4518868007280905,-0.5606743638663344
8,"('踊り', '回る')",踊り,0.16666666666666669,-0.15,0.25,-0.049999999999999996,0.4686233489032049,0.07531446678801507,-0.15,0.2333333333333333
9,"('踊り', '回る')",回る,0.2833333333333333,-0.4666666666666666,-0.3,0.5166666666666667,-0.20920685218893076,0.2761530448893886,0.2833333333333333,-0.16666666666666669
10,"('踊り', '揺れる')",踊り,0.2833333333333333,-0.21666666666666667,0.3666666666666667,-0.2333333333333333,0.6945667492672501,0.20920685218893076,-0.016666666666666666,0.39999999999999997
