B_dom	B_cod	A_dom	A_cod	count	probability
dancer	hoofer	butterfly	recordholder_Ian	144	0.144
dancer	hoofer	butterfly	chrysalides	78	0.078
dancer	hoofer	butterfly	freestyle	197	0.197
dancer	hoofer	butterfly	breaststroke	93	0.093
dancer	hoofer	butterfly	Medley_Relay	16	0.016
dancer	hoofer	butterfly	Individual_Medley	42	0.042
dancer	hoofer	butterfly	dragonfly	55	0.055
dancer	hoofer	butterfly	backstroke	48	0.048
dancer	hoofer	NA	NA	327	0.327
dancer	dancing	butterfly	Medley_Relay	36	0.036
dancer	dancing	butterfly	freestyle	231	0.231
dancer	dancing	butterfly	breaststroke	47	0.047
dancer	dancing	butterfly	chrysalides	133	0.133
dancer	dancing	butterfly	backstroke	46	0.046
dancer	dancing	butterfly	recordholder_Ian	60	0.06
dancer	dancing	butterfly	dragonfly	110	0.11
dancer	dancing	butterfly	Individual_Medley	25	0.025
dancer	dancing	NA	NA	312	0.312
dancer	ballerina	butterfly	dragonfly	257	0.257
dancer	ballerina	butterfly	Medley_Relay	21	0.021
dancer	ballerina	butterfly	chrysalides	158	0.158
dancer	ballerina	butterfly	backstroke	57	0.057
dancer	ballerina	butterfly	recordholder_Ian	109	0.109
dancer	ballerina	butterfly	freestyle	64	0.064
dancer	ballerina	butterfly	breaststroke	58	0.058
dancer	ballerina	butterfly	Individual_Medley	29	0.029
dancer	ballerina	NA	NA	247	0.247
dancer	gymnast	butterfly	backstroke	140	0.14
dancer	gymnast	butterfly	freestyle	412	0.412
dancer	gymnast	butterfly	breaststroke	242	0.242
dancer	gymnast	butterfly	dragonfly	14	0.014
dancer	gymnast	butterfly	Individual_Medley	71	0.071
dancer	gymnast	butterfly	Medley_Relay	35	0.035
dancer	gymnast	butterfly	recordholder_Ian	26	0.026
dancer	gymnast	butterfly	chrysalides	8	0.008
dancer	gymnast	NA	NA	52	0.052
dancer	dance	butterfly	backstroke	56	0.056
dancer	dance	butterfly	freestyle	305	0.305
dancer	dance	butterfly	breaststroke	101	0.101
dancer	dance	butterfly	dragonfly	38	0.038
dancer	dance	butterfly	Medley_Relay	64	0.064
dancer	dance	butterfly	Individual_Medley	28	0.028
dancer	dance	butterfly	recordholder_Ian	65	0.065
dancer	dance	butterfly	chrysalides	144	0.144
dancer	dance	NA	NA	199	0.199
dancer	choreographer	butterfly	freestyle	255	0.255
dancer	choreographer	butterfly	Medley_Relay	36	0.036
dancer	choreographer	butterfly	breaststroke	125	0.125
dancer	choreographer	butterfly	recordholder_Ian	112	0.112
dancer	choreographer	butterfly	backstroke	70	0.07
dancer	choreographer	butterfly	chrysalides	72	0.072
dancer	choreographer	butterfly	Individual_Medley	24	0.024
dancer	choreographer	butterfly	dragonfly	35	0.035
dancer	choreographer	NA	NA	271	0.271
dancer	ballet	butterfly	breaststroke	83	0.083
dancer	ballet	butterfly	freestyle	268	0.268
dancer	ballet	butterfly	backstroke	57	0.057
dancer	ballet	butterfly	dragonfly	116	0.116
dancer	ballet	butterfly	recordholder_Ian	70	0.07
dancer	ballet	butterfly	chrysalides	153	0.153
dancer	ballet	butterfly	Medley_Relay	27	0.027
dancer	ballet	butterfly	Individual_Medley	16	0.016
dancer	ballet	NA	NA	210	0.21
dancer	female_impersonator	butterfly	dragonfly	222	0.222
dancer	female_impersonator	butterfly	freestyle	73	0.073
dancer	female_impersonator	butterfly	recordholder_Ian	104	0.104
dancer	female_impersonator	butterfly	backstroke	36	0.036
dancer	female_impersonator	butterfly	chrysalides	33	0.033
dancer	female_impersonator	butterfly	breaststroke	55	0.055
dancer	female_impersonator	butterfly	Medley_Relay	15	0.015
dancer	female_impersonator	butterfly	Individual_Medley	18	0.018
dancer	female_impersonator	NA	NA	444	0.444
