B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,音楽,蝶,女性,329,0.329
踊り子,音楽,蝶,花,97,0.097
踊り子,音楽,蝶,美しい,172,0.172
踊り子,音楽,蝶,儚い,73,0.073
踊り子,音楽,蝶,舞う,36,0.036
踊り子,音楽,蝶,空,13,0.013
踊り子,音楽,蝶,飛ぶ,16,0.016
踊り子,音楽,NA,NA,264,0.264
踊り子,夜,蝶,儚い,33,0.033
踊り子,夜,蝶,舞う,208,0.208
踊り子,夜,蝶,空,440,0.44
踊り子,夜,蝶,花,105,0.105
踊り子,夜,蝶,羽,63,0.063
踊り子,夜,蝶,飛ぶ,31,0.031
踊り子,夜,蝶,女性,25,0.025
踊り子,夜,蝶,美しい,12,0.012
踊り子,夜,NA,NA,83,0.083
踊り子,揺れる,蝶,飛ぶ,224,0.224
踊り子,揺れる,蝶,儚い,112,0.112
踊り子,揺れる,蝶,舞う,523,0.523
踊り子,揺れる,蝶,美しい,49,0.049
踊り子,揺れる,蝶,花,11,0.011
踊り子,揺れる,蝶,女性,6,0.006
踊り子,揺れる,蝶,空,18,0.018
踊り子,揺れる,蝶,羽,3,0.003
踊り子,揺れる,NA,NA,54,0.054
踊り子,舞台,蝶,儚い,108,0.108
踊り子,舞台,蝶,飛ぶ,34,0.034
踊り子,舞台,蝶,花,83,0.083
踊り子,舞台,蝶,舞う,282,0.282
踊り子,舞台,蝶,美しい,149,0.149
踊り子,舞台,蝶,女性,56,0.056
踊り子,舞台,蝶,羽,13,0.013
踊り子,舞台,蝶,空,42,0.042
踊り子,舞台,NA,NA,233,0.233
踊り子,回る,蝶,花,53,0.053
踊り子,回る,蝶,飛ぶ,491,0.491
踊り子,回る,蝶,舞う,238,0.238
踊り子,回る,蝶,空,19,0.019
踊り子,回る,蝶,儚い,32,0.032
踊り子,回る,蝶,羽,21,0.021
踊り子,回る,蝶,美しい,19,0.019
踊り子,回る,蝶,女性,1,0.001
踊り子,回る,NA,NA,126,0.126
踊り子,女性,蝶,女性,1000,1.0
踊り子,女性,NA,NA,0,0.0
踊り子,踊り,蝶,舞う,565,0.565
踊り子,踊り,蝶,儚い,29,0.029
踊り子,踊り,蝶,花,191,0.191
踊り子,踊り,蝶,美しい,85,0.085
踊り子,踊り,蝶,飛ぶ,19,0.019
踊り子,踊り,蝶,女性,56,0.056
踊り子,踊り,蝶,空,14,0.014
踊り子,踊り,蝶,羽,8,0.008
踊り子,踊り,NA,NA,33,0.033
踊り子,スカート,蝶,女性,163,0.163
踊り子,スカート,蝶,儚い,13,0.013
踊り子,スカート,蝶,羽,77,0.077
踊り子,スカート,蝶,舞う,339,0.339
踊り子,スカート,蝶,空,27,0.027
踊り子,スカート,蝶,花,128,0.128
踊り子,スカート,蝶,飛ぶ,45,0.045
踊り子,スカート,蝶,美しい,68,0.068
踊り子,スカート,NA,NA,140,0.14
