B_dom,B_cod,A_dom,A_cod,count,probability
回る,女性,舞う,女性,144,0.144
回る,女性,花,羽,7,0.007
回る,女性,飛ぶ,女性,302,0.302
回る,女性,飛ぶ,花,65,0.065
回る,女性,空,女性,52,0.052
回る,女性,花,女性,20,0.02
回る,女性,女性,儚い,6,0.006
回る,女性,女性,羽,6,0.006
回る,女性,美しい,羽,13,0.013
回る,女性,飛ぶ,羽,48,0.048
回る,女性,舞う,羽,27,0.027
回る,女性,羽,女性,7,0.007
回る,女性,美しい,女性,15,0.015
回る,女性,美しい,空,5,0.005
回る,女性,儚い,飛ぶ,4,0.004
回る,女性,儚い,女性,32,0.032
回る,女性,美しい,舞う,8,0.008
回る,女性,花,舞う,2,0.002
回る,女性,儚い,羽,27,0.027
回る,女性,空,羽,8,0.008
回る,女性,女性,空,1,0.001
回る,女性,羽,儚い,3,0.003
回る,女性,花,飛ぶ,4,0.004
回る,女性,儚い,花,18,0.018
回る,女性,儚い,空,3,0.003
回る,女性,儚い,舞う,10,0.01
回る,女性,羽,美しい,9,0.009
回る,女性,女性,花,2,0.002
回る,女性,羽,飛ぶ,1,0.001
回る,女性,羽,舞う,2,0.002
回る,女性,美しい,花,5,0.005
回る,女性,女性,飛ぶ,2,0.002
回る,女性,女性,舞う,4,0.004
回る,女性,女性,美しい,2,0.002
回る,女性,NA,NA,136,0.136
踊り子,回る,蝶,舞う,171,0.171
踊り子,回る,蝶,花,33,0.033
踊り子,回る,蝶,飛ぶ,415,0.415
踊り子,回る,蝶,空,60,0.06
踊り子,回る,蝶,女性,23,0.023
踊り子,回る,蝶,美しい,46,0.046
踊り子,回る,蝶,羽,22,0.022
踊り子,回る,蝶,儚い,94,0.094
踊り子,回る,NA,NA,136,0.136
踊り子,女性,蝶,女性,572,0.572
踊り子,女性,蝶,羽,136,0.136
踊り子,女性,蝶,花,90,0.09
踊り子,女性,蝶,儚い,9,0.009
踊り子,女性,蝶,空,9,0.009
踊り子,女性,蝶,飛ぶ,11,0.011
踊り子,女性,蝶,舞う,26,0.026
踊り子,女性,蝶,美しい,11,0.011
踊り子,女性,NA,NA,136,0.136
