B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,回る,蝶,飛ぶ,261,0.261
踊り子,回る,蝶,儚い,69,0.069
踊り子,回る,蝶,花,38,0.038
踊り子,回る,蝶,舞う,96,0.096
踊り子,回る,蝶,女性,25,0.025
踊り子,回る,蝶,空,55,0.055
踊り子,回る,蝶,羽,32,0.032
踊り子,回る,蝶,美しい,54,0.054
踊り子,回る,NA,NA,370,0.37
踊り子,舞台,蝶,花,71,0.071
踊り子,舞台,蝶,舞う,94,0.094
踊り子,舞台,蝶,美しい,120,0.12
踊り子,舞台,蝶,空,59,0.059
踊り子,舞台,蝶,女性,71,0.071
踊り子,舞台,蝶,儚い,138,0.138
踊り子,舞台,蝶,飛ぶ,49,0.049
踊り子,舞台,蝶,羽,28,0.028
踊り子,舞台,NA,NA,370,0.37
回る,舞台,飛ぶ,花,42,0.042
回る,舞台,儚い,舞う,17,0.017
回る,舞台,飛ぶ,美しい,58,0.058
回る,舞台,飛ぶ,空,18,0.018
回る,舞台,花,舞う,7,0.007
回る,舞台,舞う,美しい,24,0.024
回る,舞台,儚い,女性,16,0.016
回る,舞台,飛ぶ,儚い,80,0.08
回る,舞台,女性,儚い,11,0.011
回る,舞台,飛ぶ,舞う,26,0.026
回る,舞台,空,美しい,24,0.024
回る,舞台,儚い,飛ぶ,13,0.013
回る,舞台,舞う,女性,18,0.018
回る,舞台,羽,舞う,16,0.016
回る,舞台,空,女性,2,0.002
回る,舞台,儚い,羽,2,0.002
回る,舞台,舞う,空,11,0.011
回る,舞台,飛ぶ,羽,17,0.017
回る,舞台,舞う,花,11,0.011
回る,舞台,空,儚い,10,0.01
回る,舞台,飛ぶ,女性,20,0.02
回る,舞台,花,女性,6,0.006
回る,舞台,花,儚い,9,0.009
回る,舞台,儚い,空,10,0.01
回る,舞台,空,花,5,0.005
回る,舞台,花,飛ぶ,9,0.009
回る,舞台,舞う,羽,4,0.004
回る,舞台,女性,舞う,7,0.007
回る,舞台,舞う,飛ぶ,7,0.007
回る,舞台,女性,花,3,0.003
回る,舞台,美しい,儚い,5,0.005
回る,舞台,美しい,空,12,0.012
回る,舞台,美しい,飛ぶ,12,0.012
回る,舞台,羽,飛ぶ,4,0.004
回る,舞台,美しい,女性,9,0.009
回る,舞台,美しい,花,3,0.003
回る,舞台,舞う,儚い,21,0.021
回る,舞台,花,空,4,0.004
回る,舞台,美しい,舞う,12,0.012
回る,舞台,美しい,羽,1,0.001
回る,舞台,羽,空,3,0.003
回る,舞台,儚い,花,6,0.006
回る,舞台,空,舞う,9,0.009
回る,舞台,女性,飛ぶ,3,0.003
回る,舞台,儚い,美しい,5,0.005
回る,舞台,花,美しい,3,0.003
回る,舞台,空,羽,4,0.004
回る,舞台,羽,美しい,6,0.006
回る,舞台,羽,儚い,2,0.002
回る,舞台,女性,空,1,0.001
回る,舞台,空,飛ぶ,1,0.001
回る,舞台,羽,花,1,0.001
回る,舞台,NA,NA,370,0.37
