B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,舞う,75,0.075
踊り子,スカート,蝶,空,77,0.077
踊り子,スカート,蝶,飛ぶ,96,0.096
踊り子,スカート,蝶,儚い,57,0.057
踊り子,スカート,蝶,美しい,122,0.122
踊り子,スカート,蝶,女性,240,0.24
踊り子,スカート,蝶,羽,94,0.094
踊り子,スカート,蝶,花,51,0.051
踊り子,スカート,NA,NA,188,0.188
踊り子,夜,蝶,儚い,147,0.147
踊り子,夜,蝶,美しい,58,0.058
踊り子,夜,蝶,女性,88,0.088
踊り子,夜,蝶,飛ぶ,114,0.114
踊り子,夜,蝶,空,217,0.217
踊り子,夜,蝶,羽,67,0.067
踊り子,夜,蝶,舞う,74,0.074
踊り子,夜,蝶,花,47,0.047
踊り子,夜,NA,NA,188,0.188
夜,スカート,儚い,舞う,15,0.015
夜,スカート,美しい,空,18,0.018
夜,スカート,儚い,飛ぶ,32,0.032
夜,スカート,女性,舞う,19,0.019
夜,スカート,女性,儚い,5,0.005
夜,スカート,飛ぶ,空,9,0.009
夜,スカート,空,美しい,62,0.062
夜,スカート,空,女性,75,0.075
夜,スカート,美しい,羽,17,0.017
夜,スカート,儚い,女性,52,0.052
夜,スカート,羽,儚い,9,0.009
夜,スカート,女性,空,15,0.015
夜,スカート,舞う,美しい,10,0.01
夜,スカート,舞う,空,7,0.007
夜,スカート,女性,飛ぶ,20,0.02
夜,スカート,飛ぶ,羽,12,0.012
夜,スカート,花,空,7,0.007
夜,スカート,飛ぶ,女性,47,0.047
夜,スカート,儚い,羽,23,0.023
夜,スカート,羽,飛ぶ,13,0.013
夜,スカート,空,舞う,16,0.016
夜,スカート,空,花,7,0.007
夜,スカート,女性,羽,12,0.012
夜,スカート,空,儚い,28,0.028
夜,スカート,舞う,女性,36,0.036
夜,スカート,儚い,空,16,0.016
夜,スカート,羽,舞う,14,0.014
夜,スカート,舞う,花,5,0.005
夜,スカート,花,女性,14,0.014
夜,スカート,花,儚い,2,0.002
夜,スカート,飛ぶ,花,19,0.019
夜,スカート,羽,女性,8,0.008
夜,スカート,飛ぶ,美しい,15,0.015
夜,スカート,飛ぶ,儚い,9,0.009
夜,スカート,花,飛ぶ,7,0.007
夜,スカート,美しい,飛ぶ,10,0.01
夜,スカート,女性,花,12,0.012
夜,スカート,舞う,羽,9,0.009
夜,スカート,空,飛ぶ,11,0.011
夜,スカート,美しい,舞う,4,0.004
夜,スカート,羽,美しい,16,0.016
夜,スカート,空,羽,18,0.018
夜,スカート,羽,空,5,0.005
夜,スカート,花,美しい,10,0.01
夜,スカート,儚い,美しい,4,0.004
夜,スカート,美しい,花,1,0.001
夜,スカート,女性,美しい,5,0.005
夜,スカート,花,舞う,4,0.004
夜,スカート,美しい,女性,8,0.008
夜,スカート,舞う,儚い,4,0.004
夜,スカート,舞う,飛ぶ,3,0.003
夜,スカート,儚い,花,5,0.005
夜,スカート,花,羽,3,0.003
夜,スカート,飛ぶ,舞う,3,0.003
夜,スカート,羽,花,2,0.002
夜,スカート,NA,NA,188,0.188
