B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,女性,蝶,舞う,58,0.058
踊り子,女性,蝶,美しい,151,0.151
踊り子,女性,蝶,花,125,0.125
踊り子,女性,蝶,女性,316,0.316
踊り子,女性,蝶,羽,139,0.139
踊り子,女性,蝶,儚い,71,0.071
踊り子,女性,蝶,飛ぶ,26,0.026
踊り子,女性,蝶,空,20,0.02
踊り子,女性,NA,NA,94,0.094
踊り子,夜,蝶,儚い,152,0.152
踊り子,夜,蝶,空,250,0.25
踊り子,夜,蝶,舞う,100,0.1
踊り子,夜,蝶,飛ぶ,145,0.145
踊り子,夜,蝶,女性,62,0.062
踊り子,夜,蝶,羽,77,0.077
踊り子,夜,蝶,美しい,81,0.081
踊り子,夜,蝶,花,39,0.039
踊り子,夜,NA,NA,94,0.094
夜,女性,儚い,舞う,11,0.011
夜,女性,空,美しい,99,0.099
夜,女性,舞う,花,15,0.015
夜,女性,飛ぶ,女性,46,0.046
夜,女性,女性,舞う,16,0.016
夜,女性,飛ぶ,羽,32,0.032
夜,女性,空,女性,38,0.038
夜,女性,儚い,女性,83,0.083
夜,女性,羽,舞う,11,0.011
夜,女性,女性,儚い,9,0.009
夜,女性,羽,女性,20,0.02
夜,女性,空,花,42,0.042
夜,女性,空,羽,32,0.032
夜,女性,舞う,女性,76,0.076
夜,女性,美しい,飛ぶ,3,0.003
夜,女性,美しい,女性,34,0.034
夜,女性,飛ぶ,儚い,21,0.021
夜,女性,羽,美しい,28,0.028
夜,女性,飛ぶ,花,25,0.025
夜,女性,花,女性,19,0.019
夜,女性,女性,羽,12,0.012
夜,女性,儚い,花,24,0.024
夜,女性,花,儚い,8,0.008
夜,女性,空,儚い,24,0.024
夜,女性,儚い,羽,22,0.022
夜,女性,飛ぶ,美しい,17,0.017
夜,女性,女性,飛ぶ,3,0.003
夜,女性,羽,空,3,0.003
夜,女性,女性,花,15,0.015
夜,女性,儚い,空,4,0.004
夜,女性,飛ぶ,舞う,3,0.003
夜,女性,舞う,羽,8,0.008
夜,女性,儚い,飛ぶ,8,0.008
夜,女性,空,飛ぶ,4,0.004
夜,女性,空,舞う,11,0.011
夜,女性,美しい,羽,28,0.028
夜,女性,花,飛ぶ,3,0.003
夜,女性,女性,美しい,7,0.007
夜,女性,飛ぶ,空,1,0.001
夜,女性,羽,儚い,9,0.009
夜,女性,羽,飛ぶ,5,0.005
夜,女性,美しい,空,9,0.009
夜,女性,美しい,舞う,4,0.004
夜,女性,美しい,花,3,0.003
夜,女性,花,羽,5,0.005
夜,女性,花,空,2,0.002
夜,女性,花,舞う,2,0.002
夜,女性,舞う,空,1,0.001
夜,女性,羽,花,1,0.001
夜,女性,NA,NA,94,0.094
