B_dom,B_cod,A_dom,A_cod,count,probability
夜,舞台,空,飛ぶ,14,0.014
夜,舞台,舞う,儚い,11,0.011
夜,舞台,空,美しい,71,0.071
夜,舞台,羽,空,5,0.005
夜,舞台,女性,舞う,43,0.043
夜,舞台,女性,羽,5,0.005
夜,舞台,飛ぶ,空,15,0.015
夜,舞台,美しい,飛ぶ,12,0.012
夜,舞台,美しい,儚い,2,0.002
夜,舞台,美しい,女性,7,0.007
夜,舞台,飛ぶ,美しい,18,0.018
夜,舞台,儚い,花,23,0.023
夜,舞台,舞う,飛ぶ,7,0.007
夜,舞台,女性,美しい,11,0.011
夜,舞台,羽,美しい,20,0.02
夜,舞台,儚い,舞う,26,0.026
夜,舞台,儚い,飛ぶ,27,0.027
夜,舞台,儚い,空,18,0.018
夜,舞台,舞う,女性,14,0.014
夜,舞台,空,女性,5,0.005
夜,舞台,女性,空,2,0.002
夜,舞台,舞う,美しい,12,0.012
夜,舞台,飛ぶ,儚い,32,0.032
夜,舞台,空,儚い,45,0.045
夜,舞台,花,舞う,8,0.008
夜,舞台,飛ぶ,花,18,0.018
夜,舞台,美しい,花,2,0.002
夜,舞台,女性,花,9,0.009
夜,舞台,羽,舞う,16,0.016
夜,舞台,花,飛ぶ,8,0.008
夜,舞台,空,舞う,28,0.028
夜,舞台,空,花,11,0.011
夜,舞台,女性,儚い,17,0.017
夜,舞台,儚い,羽,3,0.003
夜,舞台,美しい,舞う,16,0.016
夜,舞台,美しい,空,18,0.018
夜,舞台,羽,女性,5,0.005
夜,舞台,飛ぶ,舞う,8,0.008
夜,舞台,花,美しい,4,0.004
夜,舞台,舞う,空,6,0.006
夜,舞台,羽,儚い,8,0.008
夜,舞台,儚い,女性,15,0.015
夜,舞台,儚い,美しい,7,0.007
夜,舞台,空,羽,3,0.003
夜,舞台,花,空,5,0.005
夜,舞台,花,儚い,4,0.004
夜,舞台,羽,飛ぶ,6,0.006
夜,舞台,美しい,羽,7,0.007
夜,舞台,飛ぶ,女性,3,0.003
夜,舞台,女性,飛ぶ,6,0.006
夜,舞台,飛ぶ,羽,2,0.002
夜,舞台,舞う,花,3,0.003
夜,舞台,舞う,羽,1,0.001
夜,舞台,花,羽,1,0.001
夜,舞台,NA,NA,307,0.307
踊り子,夜,蝶,空,177,0.177
踊り子,夜,蝶,舞う,54,0.054
踊り子,夜,蝶,羽,60,0.06
踊り子,夜,蝶,女性,93,0.093
踊り子,夜,蝶,飛ぶ,96,0.096
踊り子,夜,蝶,美しい,64,0.064
踊り子,夜,蝶,儚い,119,0.119
踊り子,夜,蝶,花,30,0.03
踊り子,夜,NA,NA,307,0.307
踊り子,舞台,蝶,飛ぶ,80,0.08
踊り子,舞台,蝶,儚い,119,0.119
踊り子,舞台,蝶,美しい,143,0.143
踊り子,舞台,蝶,空,69,0.069
踊り子,舞台,蝶,舞う,145,0.145
踊り子,舞台,蝶,羽,22,0.022
踊り子,舞台,蝶,女性,49,0.049
踊り子,舞台,蝶,花,66,0.066
踊り子,舞台,NA,NA,307,0.307
