B_dom,B_cod,A_dom,A_cod,count,probability
女性,夜,羽,空,31,0.031
女性,夜,女性,儚い,74,0.074
女性,夜,美しい,空,99,0.099
女性,夜,舞う,儚い,13,0.013
女性,夜,羽,飛ぶ,38,0.038
女性,夜,儚い,空,23,0.023
女性,夜,美しい,羽,22,0.022
女性,夜,女性,空,32,0.032
女性,夜,羽,儚い,22,0.022
女性,夜,女性,飛ぶ,51,0.051
女性,夜,美しい,女性,10,0.01
女性,夜,女性,美しい,35,0.035
女性,夜,女性,舞う,73,0.073
女性,夜,飛ぶ,羽,4,0.004
女性,夜,美しい,飛ぶ,24,0.024
女性,夜,花,空,29,0.029
女性,夜,花,美しい,12,0.012
女性,夜,花,飛ぶ,33,0.033
女性,夜,空,美しい,4,0.004
女性,夜,儚い,飛ぶ,20,0.02
女性,夜,花,儚い,23,0.023
女性,夜,儚い,女性,7,0.007
女性,夜,飛ぶ,儚い,9,0.009
女性,夜,舞う,花,6,0.006
女性,夜,舞う,女性,19,0.019
女性,夜,花,舞う,16,0.016
女性,夜,空,儚い,3,0.003
女性,夜,羽,舞う,10,0.01
女性,夜,舞う,羽,11,0.011
女性,夜,花,女性,17,0.017
女性,夜,羽,美しい,25,0.025
女性,夜,儚い,羽,4,0.004
女性,夜,羽,花,5,0.005
女性,夜,女性,花,20,0.02
女性,夜,飛ぶ,花,5,0.005
女性,夜,飛ぶ,空,5,0.005
女性,夜,舞う,空,8,0.008
女性,夜,飛ぶ,美しい,2,0.002
女性,夜,女性,羽,17,0.017
女性,夜,舞う,飛ぶ,3,0.003
女性,夜,羽,女性,17,0.017
女性,夜,空,舞う,4,0.004
女性,夜,花,羽,5,0.005
女性,夜,飛ぶ,女性,2,0.002
女性,夜,空,女性,1,0.001
女性,夜,舞う,美しい,6,0.006
女性,夜,空,羽,2,0.002
女性,夜,空,飛ぶ,1,0.001
女性,夜,NA,NA,98,0.098
踊り子,女性,蝶,羽,148,0.148
踊り子,女性,蝶,女性,302,0.302
踊り子,女性,蝶,美しい,155,0.155
踊り子,女性,蝶,舞う,66,0.066
踊り子,女性,蝶,儚い,54,0.054
踊り子,女性,蝶,飛ぶ,27,0.027
踊り子,女性,蝶,花,135,0.135
踊り子,女性,蝶,空,15,0.015
踊り子,女性,NA,NA,98,0.098
踊り子,夜,蝶,空,227,0.227
踊り子,夜,蝶,儚い,144,0.144
踊り子,夜,蝶,飛ぶ,170,0.17
踊り子,夜,蝶,羽,65,0.065
踊り子,夜,蝶,女性,73,0.073
踊り子,夜,蝶,美しい,84,0.084
踊り子,夜,蝶,舞う,103,0.103
踊り子,夜,蝶,花,36,0.036
踊り子,夜,NA,NA,98,0.098
