B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,空,204,0.204
踊り子,夜,蝶,儚い,156,0.156
踊り子,夜,蝶,女性,87,0.087
踊り子,夜,蝶,美しい,61,0.061
踊り子,夜,蝶,飛ぶ,112,0.112
踊り子,夜,蝶,花,26,0.026
踊り子,夜,蝶,舞う,77,0.077
踊り子,夜,蝶,羽,66,0.066
踊り子,夜,NA,NA,211,0.211
踊り子,スカート,蝶,美しい,103,0.103
踊り子,スカート,蝶,舞う,73,0.073
踊り子,スカート,蝶,飛ぶ,99,0.099
踊り子,スカート,蝶,花,50,0.05
踊り子,スカート,蝶,女性,253,0.253
踊り子,スカート,蝶,羽,92,0.092
踊り子,スカート,蝶,儚い,53,0.053
踊り子,スカート,蝶,空,66,0.066
踊り子,スカート,NA,NA,211,0.211
スカート,夜,美しい,空,58,0.058
スカート,夜,舞う,儚い,14,0.014
スカート,夜,飛ぶ,女性,25,0.025
スカート,夜,飛ぶ,美しい,12,0.012
スカート,夜,花,飛ぶ,15,0.015
スカート,夜,女性,空,60,0.06
スカート,夜,美しい,飛ぶ,10,0.01
スカート,夜,花,女性,13,0.013
スカート,夜,女性,花,9,0.009
スカート,夜,舞う,空,16,0.016
スカート,夜,舞う,女性,17,0.017
スカート,夜,羽,飛ぶ,17,0.017
スカート,夜,女性,舞う,41,0.041
スカート,夜,女性,飛ぶ,62,0.062
スカート,夜,羽,空,18,0.018
スカート,夜,花,空,11,0.011
スカート,夜,飛ぶ,儚い,31,0.031
スカート,夜,女性,儚い,53,0.053
スカート,夜,飛ぶ,空,14,0.014
スカート,夜,羽,舞う,14,0.014
スカート,夜,女性,羽,18,0.018
スカート,夜,花,舞う,2,0.002
スカート,夜,儚い,舞う,4,0.004
スカート,夜,空,美しい,15,0.015
スカート,夜,飛ぶ,羽,8,0.008
スカート,夜,舞う,羽,12,0.012
スカート,夜,空,儚い,21,0.021
スカート,夜,女性,美しい,10,0.01
スカート,夜,儚い,空,27,0.027
スカート,夜,儚い,羽,8,0.008
スカート,夜,舞う,美しい,12,0.012
スカート,夜,空,舞う,6,0.006
スカート,夜,舞う,花,2,0.002
スカート,夜,儚い,飛ぶ,5,0.005
スカート,夜,飛ぶ,舞う,2,0.002
スカート,夜,飛ぶ,花,7,0.007
スカート,夜,羽,儚い,27,0.027
スカート,夜,空,羽,7,0.007
スカート,夜,儚い,女性,7,0.007
スカート,夜,羽,女性,4,0.004
スカート,夜,空,女性,13,0.013
スカート,夜,羽,美しい,11,0.011
スカート,夜,美しい,儚い,3,0.003
スカート,夜,美しい,羽,11,0.011
スカート,夜,美しい,舞う,8,0.008
スカート,夜,美しい,女性,8,0.008
スカート,夜,花,儚い,7,0.007
スカート,夜,美しい,花,5,0.005
スカート,夜,空,花,1,0.001
スカート,夜,儚い,花,1,0.001
スカート,夜,羽,花,1,0.001
スカート,夜,空,飛ぶ,3,0.003
スカート,夜,花,羽,2,0.002
スカート,夜,儚い,美しい,1,0.001
スカート,夜,NA,NA,211,0.211
