B_dom,B_cod,A_dom,A_cod,count,probability
スカート,音楽,空,花,6,0.006
スカート,音楽,花,美しい,9,0.009
スカート,音楽,美しい,飛ぶ,6,0.006
スカート,音楽,花,儚い,7,0.007
スカート,音楽,飛ぶ,儚い,9,0.009
スカート,音楽,飛ぶ,女性,55,0.055
スカート,音楽,女性,儚い,52,0.052
スカート,音楽,羽,女性,14,0.014
スカート,音楽,美しい,女性,17,0.017
スカート,音楽,飛ぶ,花,6,0.006
スカート,音楽,美しい,空,6,0.006
スカート,音楽,女性,美しい,34,0.034
スカート,音楽,空,美しい,42,0.042
スカート,音楽,女性,空,13,0.013
スカート,音楽,美しい,舞う,7,0.007
スカート,音楽,飛ぶ,美しい,17,0.017
スカート,音楽,女性,花,32,0.032
スカート,音楽,空,女性,29,0.029
スカート,音楽,舞う,花,8,0.008
スカート,音楽,舞う,美しい,14,0.014
スカート,音楽,羽,儚い,27,0.027
スカート,音楽,空,儚い,7,0.007
スカート,音楽,女性,舞う,22,0.022
スカート,音楽,舞う,女性,35,0.035
スカート,音楽,儚い,女性,11,0.011
スカート,音楽,儚い,花,2,0.002
スカート,音楽,羽,美しい,28,0.028
スカート,音楽,羽,舞う,7,0.007
スカート,音楽,女性,飛ぶ,10,0.01
スカート,音楽,儚い,空,3,0.003
スカート,音楽,花,飛ぶ,3,0.003
スカート,音楽,羽,空,2,0.002
スカート,音楽,美しい,花,11,0.011
スカート,音楽,羽,花,3,0.003
スカート,音楽,美しい,儚い,6,0.006
スカート,音楽,花,空,1,0.001
スカート,音楽,舞う,飛ぶ,2,0.002
スカート,音楽,儚い,舞う,1,0.001
スカート,音楽,花,女性,14,0.014
スカート,音楽,儚い,美しい,10,0.01
スカート,音楽,儚い,飛ぶ,3,0.003
スカート,音楽,舞う,儚い,6,0.006
スカート,音楽,舞う,空,2,0.002
スカート,音楽,飛ぶ,空,1,0.001
スカート,音楽,空,舞う,3,0.003
スカート,音楽,羽,飛ぶ,4,0.004
スカート,音楽,飛ぶ,舞う,1,0.001
スカート,音楽,NA,NA,392,0.392
踊り子,音楽,蝶,花,68,0.068
踊り子,音楽,蝶,美しい,154,0.154
踊り子,音楽,蝶,飛ぶ,28,0.028
踊り子,音楽,蝶,儚い,114,0.114
踊り子,音楽,蝶,女性,175,0.175
踊り子,音楽,蝶,空,28,0.028
踊り子,音楽,蝶,舞う,41,0.041
踊り子,音楽,NA,NA,392,0.392
踊り子,スカート,蝶,空,87,0.087
踊り子,スカート,蝶,花,34,0.034
踊り子,スカート,蝶,美しい,53,0.053
踊り子,スカート,蝶,飛ぶ,89,0.089
踊り子,スカート,蝶,女性,163,0.163
踊り子,スカート,蝶,羽,85,0.085
踊り子,スカート,蝶,舞う,67,0.067
踊り子,スカート,蝶,儚い,30,0.03
踊り子,スカート,NA,NA,392,0.392
