B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,花,331,0.331
踊り子,踊り,蝶,舞う,127,0.127
踊り子,踊り,蝶,空,61,0.061
踊り子,踊り,蝶,儚い,36,0.036
踊り子,踊り,蝶,美しい,97,0.097
踊り子,踊り,蝶,羽,119,0.119
踊り子,踊り,蝶,飛ぶ,38,0.038
踊り子,踊り,蝶,女性,18,0.018
踊り子,踊り,NA,NA,173,0.173
踊り子,回る,蝶,儚い,117,0.117
踊り子,回る,蝶,花,36,0.036
踊り子,回る,蝶,飛ぶ,354,0.354
踊り子,回る,蝶,舞う,132,0.132
踊り子,回る,蝶,空,50,0.05
踊り子,回る,蝶,美しい,64,0.064
踊り子,回る,蝶,羽,49,0.049
踊り子,回る,蝶,女性,25,0.025
踊り子,回る,NA,NA,173,0.173
回る,踊り,儚い,花,65,0.065
回る,踊り,花,舞う,16,0.016
回る,踊り,飛ぶ,花,161,0.161
回る,踊り,飛ぶ,舞う,24,0.024
回る,踊り,舞う,空,13,0.013
回る,踊り,舞う,儚い,8,0.008
回る,踊り,空,美しい,10,0.01
回る,踊り,舞う,美しい,15,0.015
回る,踊り,飛ぶ,美しい,65,0.065
回る,踊り,美しい,空,12,0.012
回る,踊り,飛ぶ,空,18,0.018
回る,踊り,舞う,羽,36,0.036
回る,踊り,花,飛ぶ,11,0.011
回る,踊り,羽,舞う,35,0.035
回る,踊り,美しい,飛ぶ,7,0.007
回る,踊り,舞う,花,51,0.051
回る,踊り,飛ぶ,儚い,26,0.026
回る,踊り,儚い,美しい,2,0.002
回る,踊り,儚い,舞う,21,0.021
回る,踊り,羽,飛ぶ,5,0.005
回る,踊り,空,花,20,0.02
回る,踊り,女性,花,11,0.011
回る,踊り,羽,花,6,0.006
回る,踊り,儚い,飛ぶ,9,0.009
回る,踊り,飛ぶ,羽,54,0.054
回る,踊り,美しい,花,17,0.017
回る,踊り,儚い,女性,3,0.003
回る,踊り,儚い,空,15,0.015
回る,踊り,花,美しい,2,0.002
回る,踊り,女性,舞う,8,0.008
回る,踊り,空,舞う,9,0.009
回る,踊り,花,女性,3,0.003
回る,踊り,舞う,女性,6,0.006
回る,踊り,美しい,羽,14,0.014
回る,踊り,羽,空,2,0.002
回る,踊り,飛ぶ,女性,6,0.006
回る,踊り,美しい,舞う,14,0.014
回る,踊り,空,羽,8,0.008
回る,踊り,空,儚い,1,0.001
回る,踊り,女性,羽,2,0.002
回る,踊り,花,羽,3,0.003
回る,踊り,花,空,1,0.001
回る,踊り,舞う,飛ぶ,3,0.003
回る,踊り,女性,美しい,3,0.003
回る,踊り,儚い,羽,2,0.002
回る,踊り,羽,儚い,1,0.001
回る,踊り,空,飛ぶ,2,0.002
回る,踊り,女性,飛ぶ,1,0.001
回る,踊り,NA,NA,173,0.173
