B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,女性,110,0.11
踊り子,夜,蝶,美しい,77,0.077
踊り子,夜,蝶,舞う,60,0.06
踊り子,夜,蝶,花,55,0.055
踊り子,夜,蝶,儚い,148,0.148
踊り子,夜,蝶,羽,76,0.076
踊り子,夜,蝶,空,184,0.184
踊り子,夜,蝶,飛ぶ,77,0.077
踊り子,夜,NA,NA,213,0.213
踊り子,回る,蝶,舞う,136,0.136
踊り子,回る,蝶,儚い,114,0.114
踊り子,回る,蝶,飛ぶ,291,0.291
踊り子,回る,蝶,花,37,0.037
踊り子,回る,蝶,美しい,78,0.078
踊り子,回る,蝶,女性,34,0.034
踊り子,回る,蝶,空,56,0.056
踊り子,回る,蝶,羽,41,0.041
踊り子,回る,NA,NA,213,0.213
夜,回る,女性,舞う,41,0.041
夜,回る,女性,儚い,15,0.015
夜,回る,美しい,飛ぶ,47,0.047
夜,回る,舞う,花,7,0.007
夜,回る,花,美しい,6,0.006
夜,回る,儚い,飛ぶ,80,0.08
夜,回る,羽,儚い,6,0.006
夜,回る,空,美しい,45,0.045
夜,回る,飛ぶ,儚い,33,0.033
夜,回る,空,飛ぶ,47,0.047
夜,回る,舞う,女性,7,0.007
夜,回る,羽,飛ぶ,39,0.039
夜,回る,舞う,飛ぶ,15,0.015
夜,回る,女性,飛ぶ,40,0.04
夜,回る,儚い,舞う,27,0.027
夜,回る,舞う,儚い,12,0.012
夜,回る,美しい,空,17,0.017
夜,回る,空,舞う,23,0.023
夜,回る,女性,花,7,0.007
夜,回る,儚い,女性,10,0.01
夜,回る,花,舞う,11,0.011
夜,回る,空,儚い,40,0.04
夜,回る,羽,舞う,19,0.019
夜,回る,飛ぶ,花,8,0.008
夜,回る,花,儚い,7,0.007
夜,回る,儚い,羽,8,0.008
夜,回る,舞う,美しい,5,0.005
夜,回る,空,女性,7,0.007
夜,回る,空,羽,14,0.014
夜,回る,儚い,美しい,3,0.003
夜,回る,花,飛ぶ,23,0.023
夜,回る,儚い,空,14,0.014
夜,回る,女性,空,6,0.006
夜,回る,舞う,空,7,0.007
夜,回る,花,羽,1,0.001
夜,回る,美しい,羽,4,0.004
夜,回る,儚い,花,6,0.006
夜,回る,美しい,舞う,7,0.007
夜,回る,舞う,羽,7,0.007
夜,回る,美しい,儚い,1,0.001
夜,回る,空,花,8,0.008
夜,回る,飛ぶ,空,4,0.004
夜,回る,花,空,4,0.004
夜,回る,女性,美しい,1,0.001
夜,回る,羽,美しい,7,0.007
夜,回る,花,女性,3,0.003
夜,回る,羽,空,4,0.004
夜,回る,飛ぶ,美しい,11,0.011
夜,回る,飛ぶ,羽,7,0.007
夜,回る,飛ぶ,舞う,8,0.008
夜,回る,飛ぶ,女性,6,0.006
夜,回る,美しい,花,1,0.001
夜,回る,羽,女性,1,0.001
夜,回る,NA,NA,213,0.213
