B_dom,B_cod,A_dom,A_cod,count,probability
揺れる,スカート,舞う,女性,28,0.028
揺れる,スカート,儚い,女性,115,0.115
揺れる,スカート,女性,羽,15,0.015
揺れる,スカート,儚い,飛ぶ,56,0.056
揺れる,スカート,美しい,女性,51,0.051
揺れる,スカート,儚い,空,28,0.028
揺れる,スカート,儚い,羽,16,0.016
揺れる,スカート,飛ぶ,羽,28,0.028
揺れる,スカート,飛ぶ,花,26,0.026
揺れる,スカート,美しい,空,30,0.03
揺れる,スカート,女性,美しい,21,0.021
揺れる,スカート,女性,花,8,0.008
揺れる,スカート,儚い,舞う,24,0.024
揺れる,スカート,儚い,美しい,17,0.017
揺れる,スカート,飛ぶ,女性,44,0.044
揺れる,スカート,美しい,舞う,17,0.017
揺れる,スカート,空,美しい,40,0.04
揺れる,スカート,空,舞う,6,0.006
揺れる,スカート,飛ぶ,美しい,50,0.05
揺れる,スカート,舞う,飛ぶ,7,0.007
揺れる,スカート,舞う,羽,14,0.014
揺れる,スカート,羽,飛ぶ,2,0.002
揺れる,スカート,舞う,美しい,12,0.012
揺れる,スカート,飛ぶ,空,8,0.008
揺れる,スカート,美しい,花,6,0.006
揺れる,スカート,飛ぶ,儚い,26,0.026
揺れる,スカート,花,飛ぶ,6,0.006
揺れる,スカート,飛ぶ,舞う,5,0.005
揺れる,スカート,美しい,羽,26,0.026
揺れる,スカート,女性,飛ぶ,9,0.009
揺れる,スカート,羽,空,2,0.002
揺れる,スカート,女性,舞う,13,0.013
揺れる,スカート,舞う,空,7,0.007
揺れる,スカート,空,羽,4,0.004
揺れる,スカート,儚い,花,15,0.015
揺れる,スカート,羽,舞う,6,0.006
揺れる,スカート,美しい,飛ぶ,16,0.016
揺れる,スカート,空,花,2,0.002
揺れる,スカート,空,儚い,8,0.008
揺れる,スカート,美しい,儚い,4,0.004
揺れる,スカート,花,空,1,0.001
揺れる,スカート,女性,空,3,0.003
揺れる,スカート,女性,儚い,8,0.008
揺れる,スカート,花,女性,3,0.003
揺れる,スカート,空,女性,7,0.007
揺れる,スカート,舞う,儚い,2,0.002
揺れる,スカート,舞う,花,4,0.004
揺れる,スカート,羽,美しい,3,0.003
揺れる,スカート,空,飛ぶ,4,0.004
揺れる,スカート,羽,女性,2,0.002
揺れる,スカート,花,舞う,1,0.001
揺れる,スカート,NA,NA,144,0.144
踊り子,揺れる,蝶,舞う,74,0.074
踊り子,揺れる,蝶,儚い,271,0.271
踊り子,揺れる,蝶,女性,77,0.077
踊り子,揺れる,蝶,美しい,150,0.15
踊り子,揺れる,蝶,飛ぶ,187,0.187
踊り子,揺れる,蝶,空,71,0.071
踊り子,揺れる,蝶,羽,15,0.015
踊り子,揺れる,蝶,花,11,0.011
踊り子,揺れる,NA,NA,144,0.144
踊り子,スカート,蝶,女性,250,0.25
踊り子,スカート,蝶,羽,103,0.103
踊り子,スカート,蝶,飛ぶ,100,0.1
踊り子,スカート,蝶,空,79,0.079
踊り子,スカート,蝶,花,61,0.061
踊り子,スカート,蝶,美しい,143,0.143
踊り子,スカート,蝶,舞う,72,0.072
踊り子,スカート,蝶,儚い,48,0.048
踊り子,スカート,NA,NA,144,0.144
