B_dom,B_cod,A_dom,A_cod,count,probability
揺れる,踊り,儚い,花,117,0.117
揺れる,踊り,儚い,舞う,47,0.047
揺れる,踊り,飛ぶ,花,123,0.123
揺れる,踊り,羽,舞う,16,0.016
揺れる,踊り,飛ぶ,女性,2,0.002
揺れる,踊り,空,美しい,19,0.019
揺れる,踊り,美しい,羽,44,0.044
揺れる,踊り,儚い,空,37,0.037
揺れる,踊り,美しい,舞う,21,0.021
揺れる,踊り,儚い,飛ぶ,40,0.04
揺れる,踊り,女性,羽,8,0.008
揺れる,踊り,飛ぶ,羽,25,0.025
揺れる,踊り,女性,花,43,0.043
揺れる,踊り,舞う,儚い,7,0.007
揺れる,踊り,空,舞う,14,0.014
揺れる,踊り,空,花,26,0.026
揺れる,踊り,舞う,飛ぶ,7,0.007
揺れる,踊り,空,羽,7,0.007
揺れる,踊り,美しい,花,23,0.023
揺れる,踊り,美しい,空,24,0.024
揺れる,踊り,舞う,花,26,0.026
揺れる,踊り,飛ぶ,美しい,23,0.023
揺れる,踊り,美しい,飛ぶ,14,0.014
揺れる,踊り,女性,舞う,28,0.028
揺れる,踊り,飛ぶ,儚い,20,0.02
揺れる,踊り,空,飛ぶ,2,0.002
揺れる,踊り,花,舞う,5,0.005
揺れる,踊り,飛ぶ,舞う,15,0.015
揺れる,踊り,舞う,美しい,10,0.01
揺れる,踊り,儚い,羽,21,0.021
揺れる,踊り,花,羽,3,0.003
揺れる,踊り,儚い,美しい,2,0.002
揺れる,踊り,女性,飛ぶ,4,0.004
揺れる,踊り,舞う,羽,11,0.011
揺れる,踊り,儚い,女性,13,0.013
揺れる,踊り,舞う,空,5,0.005
揺れる,踊り,女性,儚い,3,0.003
揺れる,踊り,美しい,女性,4,0.004
揺れる,踊り,舞う,女性,6,0.006
揺れる,踊り,羽,美しい,4,0.004
揺れる,踊り,羽,儚い,1,0.001
揺れる,踊り,花,空,5,0.005
揺れる,踊り,女性,美しい,5,0.005
揺れる,踊り,空,儚い,3,0.003
揺れる,踊り,羽,空,1,0.001
揺れる,踊り,花,飛ぶ,6,0.006
揺れる,踊り,飛ぶ,空,3,0.003
揺れる,踊り,羽,花,1,0.001
揺れる,踊り,美しい,儚い,2,0.002
揺れる,踊り,花,女性,1,0.001
揺れる,踊り,NA,NA,103,0.103
踊り子,踊り,蝶,花,359,0.359
踊り子,踊り,蝶,舞う,146,0.146
踊り子,踊り,蝶,女性,26,0.026
踊り子,踊り,蝶,美しい,63,0.063
踊り子,踊り,蝶,羽,119,0.119
踊り子,踊り,蝶,空,75,0.075
踊り子,踊り,蝶,飛ぶ,73,0.073
踊り子,踊り,蝶,儚い,36,0.036
踊り子,踊り,NA,NA,103,0.103
踊り子,揺れる,蝶,儚い,277,0.277
踊り子,揺れる,蝶,飛ぶ,211,0.211
踊り子,揺れる,蝶,羽,23,0.023
踊り子,揺れる,蝶,空,71,0.071
踊り子,揺れる,蝶,美しい,132,0.132
踊り子,揺れる,蝶,女性,91,0.091
踊り子,揺れる,蝶,舞う,72,0.072
踊り子,揺れる,蝶,花,20,0.02
踊り子,揺れる,NA,NA,103,0.103
