B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,花,53,0.053
踊り子,舞台,蝶,舞う,120,0.12
踊り子,舞台,蝶,儚い,127,0.127
踊り子,舞台,蝶,飛ぶ,81,0.081
踊り子,舞台,蝶,空,82,0.082
踊り子,舞台,蝶,美しい,137,0.137
踊り子,舞台,蝶,女性,70,0.07
踊り子,舞台,蝶,羽,23,0.023
踊り子,舞台,NA,NA,307,0.307
踊り子,夜,蝶,羽,82,0.082
踊り子,夜,蝶,空,193,0.193
踊り子,夜,蝶,美しい,59,0.059
踊り子,夜,蝶,花,46,0.046
踊り子,夜,蝶,飛ぶ,86,0.086
踊り子,夜,蝶,儚い,91,0.091
踊り子,夜,蝶,女性,88,0.088
踊り子,夜,蝶,舞う,48,0.048
踊り子,夜,NA,NA,307,0.307
舞台,夜,花,羽,5,0.005
舞台,夜,舞う,羽,24,0.024
舞台,夜,儚い,空,54,0.054
舞台,夜,飛ぶ,美しい,14,0.014
舞台,夜,空,羽,9,0.009
舞台,夜,花,美しい,2,0.002
舞台,夜,美しい,羽,23,0.023
舞台,夜,女性,空,10,0.01
舞台,夜,舞う,花,7,0.007
舞台,夜,美しい,飛ぶ,13,0.013
舞台,夜,女性,儚い,21,0.021
舞台,夜,美しい,女性,7,0.007
舞台,夜,舞う,女性,37,0.037
舞台,夜,舞う,儚い,18,0.018
舞台,夜,飛ぶ,儚い,15,0.015
舞台,夜,儚い,舞う,6,0.006
舞台,夜,美しい,空,76,0.076
舞台,夜,飛ぶ,舞う,8,0.008
舞台,夜,女性,飛ぶ,8,0.008
舞台,夜,空,儚い,25,0.025
舞台,夜,美しい,舞う,9,0.009
舞台,夜,飛ぶ,空,18,0.018
舞台,夜,空,女性,10,0.01
舞台,夜,羽,舞う,2,0.002
舞台,夜,儚い,女性,21,0.021
舞台,夜,花,空,14,0.014
舞台,夜,儚い,飛ぶ,31,0.031
舞台,夜,空,飛ぶ,6,0.006
舞台,夜,女性,羽,3,0.003
舞台,夜,花,飛ぶ,17,0.017
舞台,夜,空,美しい,17,0.017
舞台,夜,儚い,花,8,0.008
舞台,夜,儚い,羽,6,0.006
舞台,夜,空,花,7,0.007
舞台,夜,羽,飛ぶ,6,0.006
舞台,夜,美しい,花,7,0.007
舞台,夜,女性,美しい,9,0.009
舞台,夜,女性,花,7,0.007
舞台,夜,舞う,空,19,0.019
舞台,夜,飛ぶ,女性,4,0.004
舞台,夜,女性,舞う,12,0.012
舞台,夜,飛ぶ,花,10,0.01
舞台,夜,花,儚い,7,0.007
舞台,夜,羽,美しい,6,0.006
舞台,夜,舞う,飛ぶ,5,0.005
舞台,夜,美しい,儚い,2,0.002
舞台,夜,飛ぶ,羽,12,0.012
舞台,夜,舞う,美しい,10,0.01
舞台,夜,空,舞う,8,0.008
舞台,夜,羽,女性,4,0.004
舞台,夜,花,舞う,3,0.003
舞台,夜,儚い,美しい,1,0.001
舞台,夜,花,女性,5,0.005
舞台,夜,羽,儚い,3,0.003
舞台,夜,羽,空,2,0.002
舞台,夜,NA,NA,307,0.307
