B_dom,B_cod,A_dom,A_cod,count,probability
踊り,女性,儚い,花,10,0.01
踊り,女性,舞う,花,49,0.049
踊り,女性,舞う,儚い,29,0.029
踊り,女性,花,女性,127,0.127
踊り,女性,美しい,舞う,14,0.014
踊り,女性,舞う,美しい,43,0.043
踊り,女性,羽,空,2,0.002
踊り,女性,羽,舞う,24,0.024
踊り,女性,羽,花,21,0.021
踊り,女性,舞う,羽,50,0.05
踊り,女性,美しい,女性,57,0.057
踊り,女性,花,飛ぶ,20,0.02
踊り,女性,舞う,飛ぶ,4,0.004
踊り,女性,花,舞う,40,0.04
踊り,女性,舞う,女性,43,0.043
踊り,女性,花,儚い,41,0.041
踊り,女性,花,美しい,66,0.066
踊り,女性,羽,女性,36,0.036
踊り,女性,空,花,35,0.035
踊り,女性,花,羽,70,0.07
踊り,女性,花,空,23,0.023
踊り,女性,舞う,空,11,0.011
踊り,女性,羽,美しい,23,0.023
踊り,女性,美しい,花,3,0.003
踊り,女性,美しい,飛ぶ,5,0.005
踊り,女性,空,舞う,12,0.012
踊り,女性,女性,美しい,5,0.005
踊り,女性,儚い,女性,12,0.012
踊り,女性,美しい,羽,7,0.007
踊り,女性,飛ぶ,羽,10,0.01
踊り,女性,空,女性,4,0.004
踊り,女性,飛ぶ,花,6,0.006
踊り,女性,儚い,羽,3,0.003
踊り,女性,飛ぶ,美しい,9,0.009
踊り,女性,美しい,儚い,3,0.003
踊り,女性,飛ぶ,儚い,6,0.006
踊り,女性,女性,羽,5,0.005
踊り,女性,空,羽,4,0.004
踊り,女性,儚い,美しい,7,0.007
踊り,女性,空,儚い,5,0.005
踊り,女性,飛ぶ,女性,5,0.005
踊り,女性,空,美しい,3,0.003
踊り,女性,女性,舞う,3,0.003
踊り,女性,儚い,舞う,3,0.003
踊り,女性,羽,飛ぶ,2,0.002
踊り,女性,美しい,空,1,0.001
踊り,女性,儚い,空,1,0.001
踊り,女性,空,飛ぶ,1,0.001
踊り,女性,女性,儚い,1,0.001
踊り,女性,NA,NA,36,0.036
踊り子,踊り,蝶,儚い,36,0.036
踊り子,踊り,蝶,舞う,229,0.229
踊り子,踊り,蝶,花,387,0.387
踊り子,踊り,蝶,美しい,90,0.09
踊り子,踊り,蝶,羽,108,0.108
踊り子,踊り,蝶,空,64,0.064
踊り子,踊り,蝶,女性,14,0.014
踊り子,踊り,蝶,飛ぶ,36,0.036
踊り子,踊り,NA,NA,36,0.036
踊り子,女性,蝶,花,124,0.124
踊り子,女性,蝶,儚い,85,0.085
踊り子,女性,蝶,女性,284,0.284
踊り子,女性,蝶,舞う,96,0.096
踊り子,女性,蝶,美しい,156,0.156
踊り子,女性,蝶,空,38,0.038
踊り子,女性,蝶,羽,149,0.149
踊り子,女性,蝶,飛ぶ,32,0.032
踊り子,女性,NA,NA,36,0.036
