B_dom,B_cod,A_dom,A_cod,count,probability
音楽,夜,舞う,儚い,7,0.007
音楽,夜,女性,舞う,63,0.063
音楽,夜,美しい,空,107,0.107
音楽,夜,女性,飛ぶ,25,0.025
音楽,夜,女性,花,9,0.009
音楽,夜,儚い,飛ぶ,28,0.028
音楽,夜,女性,空,33,0.033
音楽,夜,女性,羽,15,0.015
音楽,夜,飛ぶ,儚い,9,0.009
音楽,夜,舞う,空,11,0.011
音楽,夜,女性,儚い,38,0.038
音楽,夜,花,舞う,8,0.008
音楽,夜,美しい,羽,25,0.025
音楽,夜,美しい,女性,6,0.006
音楽,夜,花,美しい,6,0.006
音楽,夜,儚い,女性,12,0.012
音楽,夜,花,飛ぶ,16,0.016
音楽,夜,飛ぶ,空,5,0.005
音楽,夜,美しい,飛ぶ,22,0.022
音楽,夜,飛ぶ,羽,3,0.003
音楽,夜,美しい,舞う,16,0.016
音楽,夜,美しい,儚い,11,0.011
音楽,夜,儚い,花,10,0.01
音楽,夜,儚い,空,28,0.028
音楽,夜,舞う,羽,3,0.003
音楽,夜,花,儚い,13,0.013
音楽,夜,空,儚い,9,0.009
音楽,夜,舞う,美しい,3,0.003
音楽,夜,舞う,女性,15,0.015
音楽,夜,儚い,羽,11,0.011
音楽,夜,空,羽,3,0.003
音楽,夜,空,美しい,7,0.007
音楽,夜,儚い,舞う,5,0.005
音楽,夜,女性,美しい,7,0.007
音楽,夜,空,女性,3,0.003
音楽,夜,花,女性,18,0.018
音楽,夜,飛ぶ,美しい,6,0.006
音楽,夜,儚い,美しい,8,0.008
音楽,夜,花,空,9,0.009
音楽,夜,飛ぶ,花,4,0.004
音楽,夜,空,舞う,2,0.002
音楽,夜,飛ぶ,女性,5,0.005
音楽,夜,花,羽,1,0.001
音楽,夜,美しい,花,2,0.002
音楽,夜,飛ぶ,舞う,2,0.002
音楽,夜,舞う,花,1,0.001
音楽,夜,NA,NA,350,0.35
踊り子,夜,蝶,儚い,87,0.087
踊り子,夜,蝶,舞う,96,0.096
踊り子,夜,蝶,空,193,0.193
踊り子,夜,蝶,飛ぶ,91,0.091
踊り子,夜,蝶,花,26,0.026
踊り子,夜,蝶,羽,61,0.061
踊り子,夜,蝶,女性,59,0.059
踊り子,夜,蝶,美しい,37,0.037
踊り子,夜,NA,NA,350,0.35
踊り子,音楽,蝶,舞う,40,0.04
踊り子,音楽,蝶,女性,190,0.19
踊り子,音楽,蝶,美しい,189,0.189
踊り子,音楽,蝶,儚い,102,0.102
踊り子,音楽,蝶,飛ぶ,34,0.034
踊り子,音楽,蝶,花,71,0.071
踊り子,音楽,蝶,空,24,0.024
踊り子,音楽,NA,NA,350,0.35
