B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,美しい,43,0.043
踊り子,揺れる,蝶,女性,66,0.066
踊り子,揺れる,蝶,空,82,0.082
踊り子,揺れる,蝶,飛ぶ,228,0.228
踊り子,揺れる,蝶,儚い,141,0.141
踊り子,揺れる,蝶,舞う,82,0.082
踊り子,揺れる,蝶,羽,25,0.025
踊り子,揺れる,蝶,花,11,0.011
踊り子,揺れる,NA,NA,322,0.322
踊り子,音楽,蝶,花,77,0.077
踊り子,音楽,蝶,飛ぶ,27,0.027
踊り子,音楽,蝶,女性,256,0.256
踊り子,音楽,蝶,美しい,142,0.142
踊り子,音楽,蝶,儚い,97,0.097
踊り子,音楽,蝶,舞う,50,0.05
踊り子,音楽,蝶,空,29,0.029
踊り子,音楽,NA,NA,322,0.322
音楽,揺れる,花,美しい,7,0.007
音楽,揺れる,飛ぶ,女性,6,0.006
音楽,揺れる,女性,空,25,0.025
音楽,揺れる,美しい,飛ぶ,36,0.036
音楽,揺れる,美しい,空,43,0.043
音楽,揺れる,女性,儚い,47,0.047
音楽,揺れる,女性,飛ぶ,125,0.125
音楽,揺れる,儚い,舞う,10,0.01
音楽,揺れる,儚い,飛ぶ,43,0.043
音楽,揺れる,女性,舞う,47,0.047
音楽,揺れる,女性,羽,2,0.002
音楽,揺れる,美しい,儚い,23,0.023
音楽,揺れる,儚い,女性,17,0.017
音楽,揺れる,飛ぶ,美しい,3,0.003
音楽,揺れる,花,儚い,29,0.029
音楽,揺れる,舞う,儚い,13,0.013
音楽,揺れる,舞う,飛ぶ,4,0.004
音楽,揺れる,儚い,美しい,9,0.009
音楽,揺れる,儚い,羽,14,0.014
音楽,揺れる,美しい,舞う,11,0.011
音楽,揺れる,空,舞う,3,0.003
音楽,揺れる,舞う,女性,11,0.011
音楽,揺れる,花,舞う,10,0.01
音楽,揺れる,女性,美しい,4,0.004
音楽,揺れる,花,飛ぶ,19,0.019
音楽,揺れる,舞う,美しい,15,0.015
音楽,揺れる,空,女性,4,0.004
音楽,揺れる,女性,花,6,0.006
音楽,揺れる,美しい,花,3,0.003
音楽,揺れる,飛ぶ,空,2,0.002
音楽,揺れる,飛ぶ,儚い,14,0.014
音楽,揺れる,美しい,女性,20,0.02
音楽,揺れる,儚い,空,4,0.004
音楽,揺れる,美しい,羽,6,0.006
音楽,揺れる,空,儚い,15,0.015
音楽,揺れる,舞う,花,1,0.001
音楽,揺れる,舞う,空,4,0.004
音楽,揺れる,飛ぶ,舞う,1,0.001
音楽,揺れる,花,女性,8,0.008
音楽,揺れる,花,空,4,0.004
音楽,揺れる,空,美しい,5,0.005
音楽,揺れる,舞う,羽,2,0.002
音楽,揺れる,空,花,1,0.001
音楽,揺れる,飛ぶ,羽,1,0.001
音楽,揺れる,空,飛ぶ,1,0.001
音楽,揺れる,NA,NA,322,0.322
