B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,舞う,205,0.205
踊り子,踊り,蝶,花,314,0.314
踊り子,踊り,蝶,羽,61,0.061
踊り子,踊り,蝶,空,24,0.024
踊り子,踊り,蝶,美しい,45,0.045
踊り子,踊り,蝶,儚い,20,0.02
踊り子,踊り,蝶,女性,15,0.015
踊り子,踊り,蝶,飛ぶ,32,0.032
踊り子,踊り,NA,NA,284,0.284
踊り子,音楽,蝶,美しい,250,0.25
踊り子,音楽,蝶,女性,146,0.146
踊り子,音楽,蝶,花,87,0.087
踊り子,音楽,蝶,舞う,60,0.06
踊り子,音楽,蝶,空,35,0.035
踊り子,音楽,蝶,飛ぶ,15,0.015
踊り子,音楽,蝶,儚い,123,0.123
踊り子,音楽,NA,NA,284,0.284
音楽,踊り,美しい,舞う,86,0.086
音楽,踊り,女性,花,83,0.083
音楽,踊り,花,羽,21,0.021
音楽,踊り,舞う,羽,10,0.01
音楽,踊り,美しい,花,121,0.121
音楽,踊り,女性,舞う,20,0.02
音楽,踊り,花,空,11,0.011
音楽,踊り,空,花,20,0.02
音楽,踊り,女性,美しい,19,0.019
音楽,踊り,飛ぶ,美しい,3,0.003
音楽,踊り,女性,羽,17,0.017
音楽,踊り,花,舞う,41,0.041
音楽,踊り,儚い,舞う,45,0.045
音楽,踊り,舞う,美しい,8,0.008
音楽,踊り,美しい,儚い,13,0.013
音楽,踊り,儚い,女性,3,0.003
音楽,踊り,儚い,美しい,12,0.012
音楽,踊り,舞う,花,32,0.032
音楽,踊り,飛ぶ,舞う,4,0.004
音楽,踊り,儚い,花,53,0.053
音楽,踊り,美しい,女性,8,0.008
音楽,踊り,空,羽,4,0.004
音楽,踊り,花,飛ぶ,5,0.005
音楽,踊り,空,女性,1,0.001
音楽,踊り,美しい,羽,6,0.006
音楽,踊り,空,舞う,9,0.009
音楽,踊り,女性,飛ぶ,4,0.004
音楽,踊り,花,美しい,2,0.002
音楽,踊り,空,美しい,1,0.001
音楽,踊り,舞う,飛ぶ,5,0.005
音楽,踊り,美しい,飛ぶ,11,0.011
音楽,踊り,花,女性,3,0.003
音楽,踊り,女性,儚い,2,0.002
音楽,踊り,美しい,空,5,0.005
音楽,踊り,儚い,飛ぶ,7,0.007
音楽,踊り,飛ぶ,空,3,0.003
音楽,踊り,儚い,羽,3,0.003
音楽,踊り,舞う,空,4,0.004
音楽,踊り,飛ぶ,花,5,0.005
音楽,踊り,花,儚い,4,0.004
音楽,踊り,舞う,儚い,1,0.001
音楽,踊り,女性,空,1,0.001
音楽,踊り,NA,NA,284,0.284
