B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,花,309,0.309
踊り子,踊り,蝶,舞う,168,0.168
踊り子,踊り,蝶,美しい,74,0.074
踊り子,踊り,蝶,女性,33,0.033
踊り子,踊り,蝶,羽,128,0.128
踊り子,踊り,蝶,飛ぶ,53,0.053
踊り子,踊り,蝶,儚い,32,0.032
踊り子,踊り,蝶,空,52,0.052
踊り子,踊り,NA,NA,151,0.151
踊り子,スカート,蝶,女性,204,0.204
踊り子,スカート,蝶,羽,77,0.077
踊り子,スカート,蝶,空,93,0.093
踊り子,スカート,蝶,飛ぶ,155,0.155
踊り子,スカート,蝶,美しい,135,0.135
踊り子,スカート,蝶,舞う,76,0.076
踊り子,スカート,蝶,儚い,65,0.065
踊り子,スカート,蝶,花,44,0.044
踊り子,スカート,NA,NA,151,0.151
スカート,踊り,女性,花,88,0.088
スカート,踊り,羽,舞う,46,0.046
スカート,踊り,女性,舞う,63,0.063
スカート,踊り,空,美しい,14,0.014
スカート,踊り,飛ぶ,花,78,0.078
スカート,踊り,美しい,花,37,0.037
スカート,踊り,美しい,舞う,18,0.018
スカート,踊り,飛ぶ,女性,3,0.003
スカート,踊り,舞う,羽,23,0.023
スカート,踊り,儚い,飛ぶ,10,0.01
スカート,踊り,空,花,49,0.049
スカート,踊り,美しい,女性,9,0.009
スカート,踊り,女性,羽,18,0.018
スカート,踊り,羽,女性,2,0.002
スカート,踊り,儚い,花,27,0.027
スカート,踊り,女性,儚い,6,0.006
スカート,踊り,花,飛ぶ,14,0.014
スカート,踊り,飛ぶ,儚い,14,0.014
スカート,踊り,儚い,女性,2,0.002
スカート,踊り,女性,飛ぶ,5,0.005
スカート,踊り,美しい,羽,37,0.037
スカート,踊り,花,舞う,13,0.013
スカート,踊り,飛ぶ,羽,29,0.029
スカート,踊り,飛ぶ,美しい,18,0.018
スカート,踊り,羽,空,7,0.007
スカート,踊り,舞う,花,20,0.02
スカート,踊り,飛ぶ,舞う,8,0.008
スカート,踊り,花,美しい,3,0.003
スカート,踊り,儚い,舞う,12,0.012
スカート,踊り,美しい,空,18,0.018
スカート,踊り,女性,美しい,23,0.023
スカート,踊り,羽,飛ぶ,4,0.004
スカート,踊り,飛ぶ,空,5,0.005
スカート,踊り,舞う,儚い,3,0.003
スカート,踊り,舞う,女性,11,0.011
スカート,踊り,空,羽,15,0.015
スカート,踊り,羽,花,10,0.01
スカート,踊り,儚い,羽,1,0.001
スカート,踊り,花,女性,5,0.005
スカート,踊り,美しい,飛ぶ,15,0.015
スカート,踊り,儚い,空,10,0.01
スカート,踊り,空,女性,1,0.001
スカート,踊り,舞う,飛ぶ,2,0.002
スカート,踊り,舞う,空,8,0.008
スカート,踊り,舞う,美しい,9,0.009
スカート,踊り,花,羽,5,0.005
スカート,踊り,女性,空,1,0.001
スカート,踊り,空,舞う,8,0.008
スカート,踊り,羽,美しい,4,0.004
スカート,踊り,空,飛ぶ,3,0.003
スカート,踊り,羽,儚い,4,0.004
スカート,踊り,花,空,3,0.003
スカート,踊り,空,儚い,3,0.003
スカート,踊り,美しい,儚い,1,0.001
スカート,踊り,儚い,美しい,3,0.003
スカート,踊り,花,儚い,1,0.001
スカート,踊り,NA,NA,151,0.151
