B_dom,B_cod,A_dom,A_cod,count,probability
回る,スカート,儚い,飛ぶ,19,0.019
回る,スカート,飛ぶ,羽,42,0.042
回る,スカート,飛ぶ,女性,93,0.093
回る,スカート,儚い,女性,37,0.037
回る,スカート,美しい,舞う,7,0.007
回る,スカート,飛ぶ,美しい,79,0.079
回る,スカート,女性,美しい,10,0.01
回る,スカート,儚い,羽,14,0.014
回る,スカート,舞う,女性,49,0.049
回る,スカート,空,女性,8,0.008
回る,スカート,羽,儚い,2,0.002
回る,スカート,美しい,女性,18,0.018
回る,スカート,空,美しい,22,0.022
回る,スカート,飛ぶ,花,31,0.031
回る,スカート,舞う,羽,26,0.026
回る,スカート,羽,飛ぶ,6,0.006
回る,スカート,舞う,美しい,19,0.019
回る,スカート,飛ぶ,空,24,0.024
回る,スカート,飛ぶ,儚い,30,0.03
回る,スカート,美しい,飛ぶ,6,0.006
回る,スカート,空,飛ぶ,8,0.008
回る,スカート,舞う,飛ぶ,15,0.015
回る,スカート,羽,美しい,11,0.011
回る,スカート,美しい,空,14,0.014
回る,スカート,儚い,舞う,11,0.011
回る,スカート,花,女性,11,0.011
回る,スカート,花,飛ぶ,6,0.006
回る,スカート,舞う,儚い,6,0.006
回る,スカート,花,舞う,4,0.004
回る,スカート,飛ぶ,舞う,12,0.012
回る,スカート,羽,空,5,0.005
回る,スカート,美しい,儚い,3,0.003
回る,スカート,儚い,美しい,4,0.004
回る,スカート,美しい,羽,11,0.011
回る,スカート,儚い,空,8,0.008
回る,スカート,女性,空,4,0.004
回る,スカート,舞う,空,12,0.012
回る,スカート,花,美しい,1,0.001
回る,スカート,花,空,6,0.006
回る,スカート,舞う,花,5,0.005
回る,スカート,儚い,花,6,0.006
回る,スカート,空,羽,4,0.004
回る,スカート,女性,儚い,6,0.006
回る,スカート,羽,女性,3,0.003
回る,スカート,女性,花,5,0.005
回る,スカート,女性,飛ぶ,6,0.006
回る,スカート,羽,舞う,7,0.007
回る,スカート,花,羽,1,0.001
回る,スカート,空,花,3,0.003
回る,スカート,空,儚い,2,0.002
回る,スカート,空,舞う,1,0.001
回る,スカート,花,儚い,3,0.003
回る,スカート,美しい,花,2,0.002
回る,スカート,女性,舞う,2,0.002
回る,スカート,NA,NA,250,0.25
踊り子,回る,蝶,儚い,99,0.099
踊り子,回る,蝶,飛ぶ,311,0.311
踊り子,回る,蝶,美しい,61,0.061
踊り子,回る,蝶,女性,33,0.033
踊り子,回る,蝶,舞う,132,0.132
踊り子,回る,蝶,空,48,0.048
踊り子,回る,蝶,羽,34,0.034
踊り子,回る,蝶,花,32,0.032
踊り子,回る,NA,NA,250,0.25
踊り子,スカート,蝶,飛ぶ,66,0.066
踊り子,スカート,蝶,羽,98,0.098
踊り子,スカート,蝶,女性,219,0.219
踊り子,スカート,蝶,舞う,44,0.044
踊り子,スカート,蝶,美しい,146,0.146
踊り子,スカート,蝶,儚い,52,0.052
踊り子,スカート,蝶,花,52,0.052
踊り子,スカート,蝶,空,73,0.073
踊り子,スカート,NA,NA,250,0.25
