B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,美しい,67,0.067
踊り子,夜,蝶,空,184,0.184
踊り子,夜,蝶,羽,92,0.092
踊り子,夜,蝶,儚い,149,0.149
踊り子,夜,蝶,飛ぶ,83,0.083
踊り子,夜,蝶,女性,112,0.112
踊り子,夜,蝶,花,43,0.043
踊り子,夜,蝶,舞う,40,0.04
踊り子,夜,NA,NA,230,0.23
踊り子,回る,蝶,飛ぶ,297,0.297
踊り子,回る,蝶,舞う,152,0.152
踊り子,回る,蝶,空,44,0.044
踊り子,回る,蝶,儚い,114,0.114
踊り子,回る,蝶,羽,36,0.036
踊り子,回る,蝶,女性,35,0.035
踊り子,回る,蝶,美しい,66,0.066
踊り子,回る,蝶,花,26,0.026
踊り子,回る,NA,NA,230,0.23
回る,夜,飛ぶ,美しい,34,0.034
回る,夜,飛ぶ,空,62,0.062
回る,夜,舞う,羽,33,0.033
回る,夜,空,儚い,13,0.013
回る,夜,飛ぶ,儚い,88,0.088
回る,夜,儚い,羽,14,0.014
回る,夜,羽,飛ぶ,12,0.012
回る,夜,女性,儚い,8,0.008
回る,夜,舞う,女性,34,0.034
回る,夜,儚い,空,47,0.047
回る,夜,儚い,飛ぶ,28,0.028
回る,夜,飛ぶ,羽,31,0.031
回る,夜,舞う,儚い,26,0.026
回る,夜,飛ぶ,花,25,0.025
回る,夜,美しい,飛ぶ,13,0.013
回る,夜,舞う,美しい,10,0.01
回る,夜,空,舞う,4,0.004
回る,夜,飛ぶ,女性,48,0.048
回る,夜,羽,儚い,5,0.005
回る,夜,舞う,花,15,0.015
回る,夜,美しい,空,33,0.033
回る,夜,美しい,羽,6,0.006
回る,夜,花,飛ぶ,4,0.004
回る,夜,美しい,儚い,4,0.004
回る,夜,花,舞う,5,0.005
回る,夜,儚い,女性,16,0.016
回る,夜,空,美しい,11,0.011
回る,夜,舞う,飛ぶ,12,0.012
回る,夜,女性,羽,3,0.003
回る,夜,羽,空,8,0.008
回る,夜,女性,空,7,0.007
回る,夜,儚い,舞う,8,0.008
回る,夜,花,空,5,0.005
回る,夜,空,羽,5,0.005
回る,夜,羽,舞う,2,0.002
回る,夜,飛ぶ,舞う,9,0.009
回る,夜,舞う,空,22,0.022
回る,夜,空,飛ぶ,8,0.008
回る,夜,花,儚い,5,0.005
回る,夜,花,女性,4,0.004
回る,夜,美しい,女性,4,0.004
回る,夜,女性,美しい,3,0.003
回る,夜,羽,美しい,5,0.005
回る,夜,美しい,舞う,5,0.005
回る,夜,女性,飛ぶ,6,0.006
回る,夜,羽,女性,4,0.004
回る,夜,花,美しい,3,0.003
回る,夜,空,女性,2,0.002
回る,夜,女性,舞う,7,0.007
回る,夜,空,花,1,0.001
回る,夜,美しい,花,1,0.001
回る,夜,儚い,美しい,1,0.001
回る,夜,女性,花,1,0.001
回る,夜,NA,NA,230,0.23
