B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,夜,蝶,花,32,0.032
踊り子,夜,蝶,飛ぶ,108,0.108
踊り子,夜,蝶,空,193,0.193
踊り子,夜,蝶,羽,68,0.068
踊り子,夜,蝶,舞う,75,0.075
踊り子,夜,蝶,女性,61,0.061
踊り子,夜,蝶,美しい,30,0.03
踊り子,夜,蝶,儚い,90,0.09
踊り子,夜,NA,NA,343,0.343
踊り子,音楽,蝶,女性,179,0.179
踊り子,音楽,蝶,儚い,108,0.108
踊り子,音楽,蝶,美しい,203,0.203
踊り子,音楽,蝶,花,69,0.069
踊り子,音楽,蝶,舞う,49,0.049
踊り子,音楽,蝶,空,27,0.027
踊り子,音楽,蝶,飛ぶ,22,0.022
踊り子,音楽,NA,NA,343,0.343
夜,音楽,花,女性,9,0.009
夜,音楽,飛ぶ,儚い,26,0.026
夜,音楽,空,儚い,33,0.033
夜,音楽,空,美しい,103,0.103
夜,音楽,飛ぶ,美しい,32,0.032
夜,音楽,飛ぶ,花,16,0.016
夜,音楽,羽,儚い,16,0.016
夜,音楽,舞う,女性,41,0.041
夜,音楽,飛ぶ,女性,25,0.025
夜,音楽,空,女性,31,0.031
夜,音楽,女性,舞う,18,0.018
夜,音楽,美しい,女性,12,0.012
夜,音楽,花,空,2,0.002
夜,音楽,羽,美しい,34,0.034
夜,音楽,儚い,飛ぶ,4,0.004
夜,音楽,空,飛ぶ,3,0.003
夜,音楽,美しい,空,5,0.005
夜,音楽,羽,女性,7,0.007
夜,音楽,儚い,美しい,10,0.01
夜,音楽,舞う,花,10,0.01
夜,音楽,空,花,13,0.013
夜,音楽,舞う,美しい,11,0.011
夜,音楽,儚い,女性,54,0.054
夜,音楽,花,儚い,10,0.01
夜,音楽,空,舞う,10,0.01
夜,音楽,羽,花,2,0.002
夜,音楽,儚い,舞う,6,0.006
夜,音楽,女性,儚い,14,0.014
夜,音楽,舞う,儚い,7,0.007
夜,音楽,女性,美しい,8,0.008
夜,音楽,羽,飛ぶ,2,0.002
夜,音楽,女性,花,13,0.013
夜,音楽,女性,空,6,0.006
夜,音楽,美しい,飛ぶ,6,0.006
夜,音楽,羽,舞う,7,0.007
夜,音楽,美しい,舞う,3,0.003
夜,音楽,儚い,花,13,0.013
夜,音楽,花,美しい,5,0.005
夜,音楽,女性,飛ぶ,2,0.002
夜,音楽,花,飛ぶ,4,0.004
夜,音楽,美しい,花,2,0.002
夜,音楽,舞う,空,5,0.005
夜,音楽,儚い,空,3,0.003
夜,音楽,飛ぶ,空,6,0.006
夜,音楽,飛ぶ,舞う,3,0.003
夜,音楽,美しい,儚い,2,0.002
夜,音楽,舞う,飛ぶ,1,0.001
夜,音楽,花,舞う,2,0.002
夜,音楽,NA,NA,343,0.343
