B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,花,49,0.049
踊り子,舞台,蝶,儚い,93,0.093
踊り子,舞台,蝶,美しい,104,0.104
踊り子,舞台,蝶,舞う,178,0.178
踊り子,舞台,蝶,女性,69,0.069
踊り子,舞台,蝶,飛ぶ,86,0.086
踊り子,舞台,蝶,空,106,0.106
踊り子,舞台,蝶,羽,23,0.023
踊り子,舞台,NA,NA,292,0.292
踊り子,女性,蝶,女性,330,0.33
踊り子,女性,蝶,飛ぶ,16,0.016
踊り子,女性,蝶,空,16,0.016
踊り子,女性,蝶,舞う,62,0.062
踊り子,女性,蝶,儚い,31,0.031
踊り子,女性,蝶,花,94,0.094
踊り子,女性,蝶,羽,98,0.098
踊り子,女性,蝶,美しい,61,0.061
踊り子,女性,NA,NA,292,0.292
舞台,女性,花,女性,35,0.035
舞台,女性,儚い,飛ぶ,6,0.006
舞台,女性,美しい,空,9,0.009
舞台,女性,舞う,女性,144,0.144
舞台,女性,儚い,女性,42,0.042
舞台,女性,女性,舞う,17,0.017
舞台,女性,女性,儚い,6,0.006
舞台,女性,舞う,花,18,0.018
舞台,女性,儚い,羽,17,0.017
舞台,女性,飛ぶ,女性,22,0.022
舞台,女性,美しい,女性,44,0.044
舞台,女性,美しい,花,8,0.008
舞台,女性,飛ぶ,美しい,14,0.014
舞台,女性,空,美しい,27,0.027
舞台,女性,花,空,1,0.001
舞台,女性,花,羽,8,0.008
舞台,女性,女性,美しい,15,0.015
舞台,女性,空,女性,32,0.032
舞台,女性,儚い,花,17,0.017
舞台,女性,飛ぶ,羽,12,0.012
舞台,女性,空,花,16,0.016
舞台,女性,美しい,羽,20,0.02
舞台,女性,儚い,舞う,9,0.009
舞台,女性,花,舞う,4,0.004
舞台,女性,女性,羽,12,0.012
舞台,女性,空,羽,13,0.013
舞台,女性,飛ぶ,儚い,15,0.015
舞台,女性,飛ぶ,花,17,0.017
舞台,女性,美しい,舞う,16,0.016
舞台,女性,空,儚い,9,0.009
舞台,女性,羽,女性,11,0.011
舞台,女性,舞う,羽,16,0.016
舞台,女性,羽,舞う,5,0.005
舞台,女性,羽,空,1,0.001
舞台,女性,女性,花,18,0.018
舞台,女性,女性,空,1,0.001
舞台,女性,羽,美しい,5,0.005
舞台,女性,空,舞う,7,0.007
舞台,女性,飛ぶ,空,2,0.002
舞台,女性,美しい,飛ぶ,7,0.007
舞台,女性,空,飛ぶ,2,0.002
舞台,女性,飛ぶ,舞う,4,0.004
舞台,女性,花,飛ぶ,1,0.001
舞台,女性,羽,儚い,1,0.001
舞台,女性,儚い,空,2,0.002
舞台,女性,NA,NA,292,0.292
