B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,花,349,0.349
踊り子,踊り,蝶,羽,113,0.113
踊り子,踊り,蝶,空,64,0.064
踊り子,踊り,蝶,美しい,92,0.092
踊り子,踊り,蝶,飛ぶ,37,0.037
踊り子,踊り,蝶,舞う,111,0.111
踊り子,踊り,蝶,儚い,47,0.047
踊り子,踊り,蝶,女性,20,0.02
踊り子,踊り,NA,NA,167,0.167
踊り子,回る,蝶,飛ぶ,383,0.383
踊り子,回る,蝶,舞う,138,0.138
踊り子,回る,蝶,儚い,105,0.105
踊り子,回る,蝶,女性,17,0.017
踊り子,回る,蝶,美しい,67,0.067
踊り子,回る,蝶,空,61,0.061
踊り子,回る,蝶,花,27,0.027
踊り子,回る,蝶,羽,35,0.035
踊り子,回る,NA,NA,167,0.167
踊り,回る,花,飛ぶ,177,0.177
踊り,回る,花,舞う,56,0.056
踊り,回る,羽,飛ぶ,56,0.056
踊り,回る,空,舞う,14,0.014
踊り,回る,花,儚い,51,0.051
踊り,回る,花,女性,10,0.01
踊り,回る,羽,美しい,16,0.016
踊り,回る,花,美しい,23,0.023
踊り,回る,美しい,飛ぶ,64,0.064
踊り,回る,飛ぶ,舞う,4,0.004
踊り,回る,飛ぶ,美しい,6,0.006
踊り,回る,美しい,空,7,0.007
踊り,回る,花,空,28,0.028
踊り,回る,舞う,儚い,21,0.021
踊り,回る,儚い,飛ぶ,31,0.031
踊り,回る,舞う,空,17,0.017
踊り,回る,舞う,飛ぶ,30,0.03
踊り,回る,儚い,舞う,11,0.011
踊り,回る,女性,舞う,6,0.006
踊り,回る,空,飛ぶ,15,0.015
踊り,回る,羽,舞う,32,0.032
踊り,回る,飛ぶ,儚い,12,0.012
踊り,回る,美しい,舞う,15,0.015
踊り,回る,羽,空,3,0.003
踊り,回る,空,美しい,10,0.01
踊り,回る,空,儚い,17,0.017
踊り,回る,飛ぶ,花,7,0.007
踊り,回る,女性,飛ぶ,10,0.01
踊り,回る,舞う,羽,22,0.022
踊り,回る,羽,花,3,0.003
踊り,回る,飛ぶ,空,3,0.003
踊り,回る,儚い,空,3,0.003
踊り,回る,舞う,花,10,0.01
踊り,回る,舞う,女性,3,0.003
踊り,回る,空,羽,2,0.002
踊り,回る,羽,儚い,1,0.001
踊り,回る,空,花,6,0.006
踊り,回る,舞う,美しい,8,0.008
踊り,回る,美しい,儚い,2,0.002
踊り,回る,儚い,花,1,0.001
踊り,回る,花,羽,4,0.004
踊り,回る,羽,女性,2,0.002
踊り,回る,女性,美しい,3,0.003
踊り,回る,美しい,羽,2,0.002
踊り,回る,美しい,女性,2,0.002
踊り,回る,飛ぶ,羽,5,0.005
踊り,回る,女性,儚い,1,0.001
踊り,回る,儚い,美しい,1,0.001
踊り,回る,NA,NA,167,0.167
