B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,舞う,155,0.155
踊り子,舞台,蝶,美しい,105,0.105
踊り子,舞台,蝶,女性,43,0.043
踊り子,舞台,蝶,空,126,0.126
踊り子,舞台,蝶,儚い,130,0.13
踊り子,舞台,蝶,飛ぶ,87,0.087
踊り子,舞台,蝶,羽,20,0.02
踊り子,舞台,蝶,花,53,0.053
踊り子,舞台,NA,NA,281,0.281
踊り子,踊り,蝶,羽,97,0.097
踊り子,踊り,蝶,花,277,0.277
踊り子,踊り,蝶,舞う,137,0.137
踊り子,踊り,蝶,飛ぶ,34,0.034
踊り子,踊り,蝶,空,66,0.066
踊り子,踊り,蝶,美しい,58,0.058
踊り子,踊り,蝶,儚い,30,0.03
踊り子,踊り,蝶,女性,20,0.02
踊り子,踊り,NA,NA,281,0.281
踊り,舞台,羽,舞う,43,0.043
踊り,舞台,花,舞う,55,0.055
踊り,舞台,羽,美しい,20,0.02
踊り,舞台,花,女性,17,0.017
踊り,舞台,花,空,67,0.067
踊り,舞台,舞う,美しい,23,0.023
踊り,舞台,花,儚い,64,0.064
踊り,舞台,舞う,空,33,0.033
踊り,舞台,舞う,儚い,29,0.029
踊り,舞台,花,美しい,26,0.026
踊り,舞台,飛ぶ,儚い,6,0.006
踊り,舞台,花,飛ぶ,44,0.044
踊り,舞台,舞う,羽,14,0.014
踊り,舞台,空,舞う,15,0.015
踊り,舞台,美しい,空,11,0.011
踊り,舞台,羽,飛ぶ,8,0.008
踊り,舞台,舞う,女性,12,0.012
踊り,舞台,儚い,花,4,0.004
踊り,舞台,美しい,飛ぶ,18,0.018
踊り,舞台,儚い,舞う,12,0.012
踊り,舞台,女性,花,3,0.003
踊り,舞台,空,美しい,16,0.016
踊り,舞台,飛ぶ,美しい,14,0.014
踊り,舞台,美しい,舞う,21,0.021
踊り,舞台,舞う,花,22,0.022
踊り,舞台,女性,美しい,5,0.005
踊り,舞台,羽,空,9,0.009
踊り,舞台,羽,女性,7,0.007
踊り,舞台,飛ぶ,舞う,3,0.003
踊り,舞台,空,儚い,22,0.022
踊り,舞台,儚い,飛ぶ,7,0.007
踊り,舞台,舞う,飛ぶ,4,0.004
踊り,舞台,花,羽,4,0.004
踊り,舞台,女性,儚い,5,0.005
踊り,舞台,美しい,女性,5,0.005
踊り,舞台,羽,花,8,0.008
踊り,舞台,空,花,6,0.006
踊り,舞台,女性,舞う,6,0.006
踊り,舞台,飛ぶ,花,9,0.009
踊り,舞台,美しい,花,1,0.001
踊り,舞台,空,飛ぶ,6,0.006
踊り,舞台,羽,儚い,2,0.002
踊り,舞台,美しい,儚い,2,0.002
踊り,舞台,儚い,空,4,0.004
踊り,舞台,儚い,女性,2,0.002
踊り,舞台,飛ぶ,羽,1,0.001
踊り,舞台,儚い,美しい,1,0.001
踊り,舞台,女性,空,1,0.001
踊り,舞台,飛ぶ,空,1,0.001
踊り,舞台,空,羽,1,0.001
踊り,舞台,NA,NA,281,0.281
