B_dom,B_cod,A_dom,A_cod,count,probability
踊り,音楽,花,儚い,56,0.056
踊り,音楽,舞う,美しい,75,0.075
踊り,音楽,舞う,花,52,0.052
踊り,音楽,空,花,13,0.013
踊り,音楽,花,舞う,19,0.019
踊り,音楽,羽,女性,7,0.007
踊り,音楽,舞う,儚い,41,0.041
踊り,音楽,美しい,女性,16,0.016
踊り,音楽,花,美しい,130,0.13
踊り,音楽,花,女性,54,0.054
踊り,音楽,羽,美しい,13,0.013
踊り,音楽,儚い,女性,6,0.006
踊り,音楽,羽,空,2,0.002
踊り,音楽,羽,花,22,0.022
踊り,音楽,花,空,23,0.023
踊り,音楽,空,舞う,9,0.009
踊り,音楽,飛ぶ,儚い,4,0.004
踊り,音楽,舞う,空,7,0.007
踊り,音楽,羽,舞う,5,0.005
踊り,音楽,美しい,儚い,12,0.012
踊り,音楽,儚い,美しい,10,0.01
踊り,音楽,舞う,女性,24,0.024
踊り,音楽,舞う,飛ぶ,7,0.007
踊り,音楽,女性,美しい,12,0.012
踊り,音楽,空,美しい,11,0.011
踊り,音楽,空,儚い,2,0.002
踊り,音楽,羽,飛ぶ,5,0.005
踊り,音楽,飛ぶ,美しい,9,0.009
踊り,音楽,飛ぶ,花,6,0.006
踊り,音楽,美しい,舞う,10,0.01
踊り,音楽,儚い,舞う,2,0.002
踊り,音楽,飛ぶ,空,1,0.001
踊り,音楽,空,女性,1,0.001
踊り,音楽,儚い,花,3,0.003
踊り,音楽,花,飛ぶ,8,0.008
踊り,音楽,女性,儚い,3,0.003
踊り,音楽,女性,花,4,0.004
踊り,音楽,飛ぶ,舞う,2,0.002
踊り,音楽,美しい,花,6,0.006
踊り,音楽,空,飛ぶ,4,0.004
踊り,音楽,美しい,飛ぶ,2,0.002
踊り,音楽,飛ぶ,女性,2,0.002
踊り,音楽,羽,儚い,1,0.001
踊り,音楽,儚い,飛ぶ,1,0.001
踊り,音楽,女性,空,1,0.001
踊り,音楽,NA,NA,297,0.297
踊り子,踊り,蝶,花,290,0.29
踊り子,踊り,蝶,舞う,206,0.206
踊り子,踊り,蝶,空,40,0.04
踊り子,踊り,蝶,羽,55,0.055
踊り子,踊り,蝶,美しい,46,0.046
踊り子,踊り,蝶,儚い,22,0.022
踊り子,踊り,蝶,飛ぶ,24,0.024
踊り子,踊り,蝶,女性,20,0.02
踊り子,踊り,NA,NA,297,0.297
踊り子,音楽,蝶,儚い,119,0.119
踊り子,音楽,蝶,美しい,260,0.26
踊り子,音楽,蝶,花,106,0.106
踊り子,音楽,蝶,舞う,47,0.047
踊り子,音楽,蝶,女性,110,0.11
踊り子,音楽,蝶,空,34,0.034
踊り子,音楽,蝶,飛ぶ,27,0.027
踊り子,音楽,NA,NA,297,0.297
