B_dom,B_cod,A_dom,A_cod,count,probability
音楽,回る,女性,空,45,0.045
音楽,回る,儚い,飛ぶ,53,0.053
音楽,回る,女性,飛ぶ,134,0.134
音楽,回る,花,飛ぶ,31,0.031
音楽,回る,美しい,飛ぶ,56,0.056
音楽,回る,女性,舞う,53,0.053
音楽,回る,花,女性,4,0.004
音楽,回る,舞う,飛ぶ,11,0.011
音楽,回る,美しい,空,21,0.021
音楽,回る,花,儚い,10,0.01
音楽,回る,美しい,羽,6,0.006
音楽,回る,儚い,美しい,10,0.01
音楽,回る,女性,美しい,13,0.013
音楽,回る,儚い,舞う,13,0.013
音楽,回る,舞う,儚い,3,0.003
音楽,回る,美しい,儚い,6,0.006
音楽,回る,空,美しい,4,0.004
音楽,回る,儚い,花,4,0.004
音楽,回る,儚い,羽,15,0.015
音楽,回る,美しい,女性,7,0.007
音楽,回る,飛ぶ,花,5,0.005
音楽,回る,女性,儚い,20,0.02
音楽,回る,儚い,女性,3,0.003
音楽,回る,儚い,空,5,0.005
音楽,回る,女性,花,14,0.014
音楽,回る,舞う,花,2,0.002
音楽,回る,美しい,舞う,21,0.021
音楽,回る,花,舞う,13,0.013
音楽,回る,美しい,花,6,0.006
音楽,回る,舞う,美しい,4,0.004
音楽,回る,花,空,2,0.002
音楽,回る,飛ぶ,儚い,1,0.001
音楽,回る,空,儚い,4,0.004
音楽,回る,飛ぶ,美しい,3,0.003
音楽,回る,空,女性,2,0.002
音楽,回る,飛ぶ,舞う,4,0.004
音楽,回る,空,飛ぶ,5,0.005
音楽,回る,舞う,羽,7,0.007
音楽,回る,飛ぶ,空,3,0.003
音楽,回る,飛ぶ,羽,2,0.002
音楽,回る,飛ぶ,女性,2,0.002
音楽,回る,空,舞う,2,0.002
音楽,回る,舞う,女性,4,0.004
音楽,回る,花,羽,3,0.003
音楽,回る,NA,NA,364,0.364
踊り子,回る,蝶,空,76,0.076
踊り子,回る,蝶,飛ぶ,290,0.29
踊り子,回る,蝶,舞う,106,0.106
踊り子,回る,蝶,女性,22,0.022
踊り子,回る,蝶,儚い,44,0.044
踊り子,回る,蝶,羽,33,0.033
踊り子,回る,蝶,美しい,34,0.034
踊り子,回る,蝶,花,31,0.031
踊り子,回る,NA,NA,364,0.364
踊り子,音楽,蝶,女性,279,0.279
踊り子,音楽,蝶,儚い,103,0.103
踊り子,音楽,蝶,花,63,0.063
踊り子,音楽,蝶,美しい,123,0.123
踊り子,音楽,蝶,舞う,31,0.031
踊り子,音楽,蝶,空,17,0.017
踊り子,音楽,蝶,飛ぶ,20,0.02
踊り子,音楽,NA,NA,364,0.364
