B_dom,B_cod,A_dom,A_cod,count,probability
スカート,回る,飛ぶ,羽,11,0.011
スカート,回る,舞う,儚い,10,0.01
スカート,回る,女性,飛ぶ,74,0.074
スカート,回る,美しい,飛ぶ,64,0.064
スカート,回る,美しい,羽,8,0.008
スカート,回る,羽,花,3,0.003
スカート,回る,空,飛ぶ,27,0.027
スカート,回る,羽,舞う,24,0.024
スカート,回る,飛ぶ,空,6,0.006
スカート,回る,羽,飛ぶ,44,0.044
スカート,回る,女性,儚い,43,0.043
スカート,回る,女性,美しい,15,0.015
スカート,回る,女性,舞う,52,0.052
スカート,回る,儚い,舞う,9,0.009
スカート,回る,美しい,空,28,0.028
スカート,回る,花,飛ぶ,28,0.028
スカート,回る,空,花,3,0.003
スカート,回る,美しい,舞う,17,0.017
スカート,回る,花,儚い,7,0.007
スカート,回る,舞う,飛ぶ,10,0.01
スカート,回る,空,儚い,10,0.01
スカート,回る,美しい,女性,15,0.015
スカート,回る,空,舞う,10,0.01
スカート,回る,羽,空,4,0.004
スカート,回る,空,美しい,25,0.025
スカート,回る,儚い,飛ぶ,34,0.034
スカート,回る,飛ぶ,女性,6,0.006
スカート,回る,飛ぶ,儚い,27,0.027
スカート,回る,美しい,花,6,0.006
スカート,回る,花,舞う,10,0.01
スカート,回る,羽,女性,2,0.002
スカート,回る,美しい,儚い,6,0.006
スカート,回る,女性,羽,7,0.007
スカート,回る,舞う,女性,5,0.005
スカート,回る,舞う,美しい,11,0.011
スカート,回る,飛ぶ,花,10,0.01
スカート,回る,舞う,羽,9,0.009
スカート,回る,花,羽,1,0.001
スカート,回る,儚い,美しい,2,0.002
スカート,回る,羽,儚い,9,0.009
スカート,回る,女性,花,9,0.009
スカート,回る,花,空,5,0.005
スカート,回る,女性,空,8,0.008
スカート,回る,飛ぶ,舞う,8,0.008
スカート,回る,羽,美しい,10,0.01
スカート,回る,飛ぶ,美しい,12,0.012
スカート,回る,儚い,空,7,0.007
スカート,回る,儚い,羽,4,0.004
スカート,回る,花,女性,1,0.001
スカート,回る,舞う,空,5,0.005
スカート,回る,舞う,花,5,0.005
スカート,回る,花,美しい,1,0.001
スカート,回る,空,羽,1,0.001
スカート,回る,空,女性,1,0.001
スカート,回る,儚い,女性,2,0.002
スカート,回る,儚い,花,1,0.001
スカート,回る,NA,NA,228,0.228
踊り子,回る,蝶,羽,41,0.041
踊り子,回る,蝶,儚い,112,0.112
踊り子,回る,蝶,飛ぶ,281,0.281
踊り子,回る,蝶,花,37,0.037
踊り子,回る,蝶,舞う,130,0.13
踊り子,回る,蝶,空,63,0.063
踊り子,回る,蝶,美しい,76,0.076
踊り子,回る,蝶,女性,32,0.032
踊り子,回る,NA,NA,228,0.228
踊り子,スカート,蝶,飛ぶ,80,0.08
踊り子,スカート,蝶,舞う,55,0.055
踊り子,スカート,蝶,女性,208,0.208
踊り子,スカート,蝶,美しい,144,0.144
踊り子,スカート,蝶,羽,96,0.096
踊り子,スカート,蝶,空,77,0.077
踊り子,スカート,蝶,儚い,59,0.059
踊り子,スカート,蝶,花,53,0.053
踊り子,スカート,NA,NA,228,0.228
