B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,儚い,221,0.221
踊り子,揺れる,蝶,飛ぶ,135,0.135
踊り子,揺れる,蝶,美しい,218,0.218
踊り子,揺れる,蝶,空,80,0.08
踊り子,揺れる,蝶,舞う,81,0.081
踊り子,揺れる,蝶,女性,47,0.047
踊り子,揺れる,蝶,羽,12,0.012
踊り子,揺れる,蝶,花,11,0.011
踊り子,揺れる,NA,NA,195,0.195
踊り子,回る,蝶,飛ぶ,350,0.35
踊り子,回る,蝶,舞う,149,0.149
踊り子,回る,蝶,花,46,0.046
踊り子,回る,蝶,空,57,0.057
踊り子,回る,蝶,美しい,82,0.082
踊り子,回る,蝶,羽,31,0.031
踊り子,回る,蝶,儚い,75,0.075
踊り子,回る,蝶,女性,15,0.015
踊り子,回る,NA,NA,195,0.195
回る,揺れる,飛ぶ,儚い,99,0.099
回る,揺れる,舞う,飛ぶ,29,0.029
回る,揺れる,舞う,儚い,69,0.069
回る,揺れる,花,儚い,18,0.018
回る,揺れる,飛ぶ,美しい,142,0.142
回る,揺れる,飛ぶ,空,48,0.048
回る,揺れる,舞う,空,9,0.009
回る,揺れる,舞う,美しい,33,0.033
回る,揺れる,空,美しい,8,0.008
回る,揺れる,飛ぶ,舞う,36,0.036
回る,揺れる,美しい,女性,15,0.015
回る,揺れる,飛ぶ,羽,6,0.006
回る,揺れる,美しい,飛ぶ,35,0.035
回る,揺れる,空,飛ぶ,18,0.018
回る,揺れる,羽,美しい,3,0.003
回る,揺れる,儚い,美しい,21,0.021
回る,揺れる,儚い,舞う,12,0.012
回る,揺れる,羽,飛ぶ,14,0.014
回る,揺れる,儚い,空,9,0.009
回る,揺れる,女性,美しい,7,0.007
回る,揺れる,儚い,飛ぶ,23,0.023
回る,揺れる,羽,舞う,5,0.005
回る,揺れる,花,飛ぶ,10,0.01
回る,揺れる,羽,女性,2,0.002
回る,揺れる,美しい,儚い,17,0.017
回る,揺れる,空,羽,2,0.002
回る,揺れる,羽,空,6,0.006
回る,揺れる,飛ぶ,花,4,0.004
回る,揺れる,花,美しい,4,0.004
回る,揺れる,空,舞う,9,0.009
回る,揺れる,飛ぶ,女性,15,0.015
回る,揺れる,儚い,女性,7,0.007
回る,揺れる,舞う,女性,5,0.005
回る,揺れる,美しい,舞う,11,0.011
回る,揺れる,女性,飛ぶ,6,0.006
回る,揺れる,空,儚い,17,0.017
回る,揺れる,美しい,空,3,0.003
回る,揺れる,花,舞う,7,0.007
回る,揺れる,空,花,2,0.002
回る,揺れる,花,空,5,0.005
回る,揺れる,美しい,羽,1,0.001
回る,揺れる,女性,舞う,1,0.001
回る,揺れる,舞う,花,2,0.002
回る,揺れる,舞う,羽,2,0.002
回る,揺れる,花,女性,2,0.002
回る,揺れる,空,女性,1,0.001
回る,揺れる,羽,儚い,1,0.001
回る,揺れる,儚い,花,3,0.003
回る,揺れる,女性,羽,1,0.001
回る,揺れる,NA,NA,195,0.195
