B_dom,B_cod,A_dom,A_cod,count,probability
夜,揺れる,儚い,飛ぶ,55,0.055
夜,揺れる,美しい,女性,15,0.015
夜,揺れる,儚い,女性,26,0.026
夜,揺れる,空,儚い,109,0.109
夜,揺れる,飛ぶ,儚い,75,0.075
夜,揺れる,空,女性,8,0.008
夜,揺れる,飛ぶ,空,12,0.012
夜,揺れる,空,飛ぶ,35,0.035
夜,揺れる,花,舞う,7,0.007
夜,揺れる,女性,舞う,16,0.016
夜,揺れる,花,空,3,0.003
夜,揺れる,空,美しい,90,0.09
夜,揺れる,女性,美しい,12,0.012
夜,揺れる,羽,飛ぶ,22,0.022
夜,揺れる,舞う,美しい,12,0.012
夜,揺れる,羽,美しい,26,0.026
夜,揺れる,羽,舞う,16,0.016
夜,揺れる,空,舞う,14,0.014
夜,揺れる,儚い,舞う,18,0.018
夜,揺れる,舞う,女性,24,0.024
夜,揺れる,舞う,儚い,20,0.02
夜,揺れる,女性,飛ぶ,9,0.009
夜,揺れる,美しい,空,18,0.018
夜,揺れる,儚い,羽,2,0.002
夜,揺れる,美しい,儚い,8,0.008
夜,揺れる,花,儚い,13,0.013
夜,揺れる,儚い,空,22,0.022
夜,揺れる,花,美しい,4,0.004
夜,揺れる,飛ぶ,羽,5,0.005
夜,揺れる,羽,儚い,6,0.006
夜,揺れる,飛ぶ,女性,7,0.007
夜,揺れる,女性,儚い,28,0.028
夜,揺れる,花,飛ぶ,26,0.026
夜,揺れる,舞う,羽,3,0.003
夜,揺れる,美しい,飛ぶ,25,0.025
夜,揺れる,美しい,羽,1,0.001
夜,揺れる,舞う,飛ぶ,6,0.006
夜,揺れる,儚い,花,3,0.003
夜,揺れる,飛ぶ,美しい,15,0.015
夜,揺れる,美しい,舞う,2,0.002
夜,揺れる,女性,花,1,0.001
夜,揺れる,羽,空,7,0.007
夜,揺れる,舞う,空,5,0.005
夜,揺れる,羽,女性,3,0.003
夜,揺れる,飛ぶ,花,6,0.006
夜,揺れる,飛ぶ,舞う,4,0.004
夜,揺れる,空,羽,5,0.005
夜,揺れる,空,花,3,0.003
夜,揺れる,儚い,美しい,7,0.007
夜,揺れる,花,女性,3,0.003
夜,揺れる,舞う,花,2,0.002
夜,揺れる,美しい,花,1,0.001
夜,揺れる,NA,NA,135,0.135
踊り子,夜,蝶,儚い,133,0.133
踊り子,夜,蝶,美しい,70,0.07
踊り子,夜,蝶,空,264,0.264
踊り子,夜,蝶,飛ぶ,124,0.124
踊り子,夜,蝶,花,56,0.056
踊り子,夜,蝶,女性,66,0.066
踊り子,夜,蝶,羽,80,0.08
踊り子,夜,蝶,舞う,72,0.072
踊り子,夜,NA,NA,135,0.135
踊り子,揺れる,蝶,飛ぶ,178,0.178
踊り子,揺れる,蝶,女性,86,0.086
踊り子,揺れる,蝶,儚い,259,0.259
踊り子,揺れる,蝶,空,67,0.067
踊り子,揺れる,蝶,舞う,77,0.077
踊り子,揺れる,蝶,美しい,166,0.166
踊り子,揺れる,蝶,羽,16,0.016
踊り子,揺れる,蝶,花,16,0.016
踊り子,揺れる,NA,NA,135,0.135
