B_dom,B_cod,A_dom,A_cod,count,probability
舞台,回る,美しい,舞う,33,0.033
舞台,回る,女性,飛ぶ,17,0.017
舞台,回る,女性,儚い,21,0.021
舞台,回る,女性,舞う,18,0.018
舞台,回る,儚い,女性,8,0.008
舞台,回る,花,空,4,0.004
舞台,回る,飛ぶ,儚い,12,0.012
舞台,回る,飛ぶ,花,8,0.008
舞台,回る,美しい,飛ぶ,54,0.054
舞台,回る,空,飛ぶ,20,0.02
舞台,回る,儚い,飛ぶ,71,0.071
舞台,回る,舞う,飛ぶ,26,0.026
舞台,回る,空,美しい,12,0.012
舞台,回る,美しい,空,14,0.014
舞台,回る,羽,飛ぶ,4,0.004
舞台,回る,羽,舞う,6,0.006
舞台,回る,空,羽,6,0.006
舞台,回る,舞う,羽,8,0.008
舞台,回る,花,儚い,9,0.009
舞台,回る,飛ぶ,空,7,0.007
舞台,回る,儚い,舞う,11,0.011
舞台,回る,儚い,空,11,0.011
舞台,回る,舞う,儚い,21,0.021
舞台,回る,花,舞う,6,0.006
舞台,回る,空,儚い,17,0.017
舞台,回る,舞う,女性,7,0.007
舞台,回る,舞う,空,6,0.006
舞台,回る,空,舞う,14,0.014
舞台,回る,飛ぶ,美しい,6,0.006
舞台,回る,飛ぶ,舞う,7,0.007
舞台,回る,儚い,美しい,5,0.005
舞台,回る,花,飛ぶ,29,0.029
舞台,回る,女性,美しい,9,0.009
舞台,回る,美しい,花,3,0.003
舞台,回る,舞う,花,4,0.004
舞台,回る,花,女性,1,0.001
舞台,回る,舞う,美しい,18,0.018
舞台,回る,美しい,女性,5,0.005
舞台,回る,飛ぶ,羽,9,0.009
舞台,回る,女性,空,2,0.002
舞台,回る,羽,美しい,4,0.004
舞台,回る,儚い,羽,8,0.008
舞台,回る,空,花,5,0.005
舞台,回る,美しい,儚い,1,0.001
舞台,回る,羽,儚い,4,0.004
舞台,回る,美しい,羽,6,0.006
舞台,回る,女性,花,7,0.007
舞台,回る,儚い,花,2,0.002
舞台,回る,羽,女性,1,0.001
舞台,回る,花,美しい,3,0.003
舞台,回る,花,羽,2,0.002
舞台,回る,空,女性,1,0.001
舞台,回る,羽,空,3,0.003
舞台,回る,NA,NA,404,0.404
踊り子,舞台,蝶,美しい,116,0.116
踊り子,舞台,蝶,女性,74,0.074
踊り子,舞台,蝶,儚い,116,0.116
踊り子,舞台,蝶,花,54,0.054
踊り子,舞台,蝶,飛ぶ,49,0.049
踊り子,舞台,蝶,空,75,0.075
踊り子,舞台,蝶,舞う,90,0.09
踊り子,舞台,蝶,羽,22,0.022
踊り子,舞台,NA,NA,404,0.404
踊り子,回る,蝶,舞う,95,0.095
踊り子,回る,蝶,飛ぶ,221,0.221
踊り子,回る,蝶,儚い,85,0.085
踊り子,回る,蝶,女性,23,0.023
踊り子,回る,蝶,空,47,0.047
踊り子,回る,蝶,花,29,0.029
踊り子,回る,蝶,美しい,57,0.057
踊り子,回る,蝶,羽,39,0.039
踊り子,回る,NA,NA,404,0.404
