B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,美しい,84,0.084
踊り子,舞台,蝶,空,63,0.063
踊り子,舞台,蝶,花,49,0.049
踊り子,舞台,蝶,舞う,102,0.102
踊り子,舞台,蝶,儚い,72,0.072
踊り子,舞台,蝶,羽,11,0.011
踊り子,舞台,蝶,飛ぶ,70,0.07
踊り子,舞台,蝶,女性,39,0.039
踊り子,舞台,NA,NA,510,0.51
踊り子,音楽,蝶,舞う,36,0.036
踊り子,音楽,蝶,女性,127,0.127
踊り子,音楽,蝶,儚い,101,0.101
踊り子,音楽,蝶,飛ぶ,22,0.022
踊り子,音楽,蝶,美しい,139,0.139
踊り子,音楽,蝶,空,16,0.016
踊り子,音楽,蝶,花,49,0.049
踊り子,音楽,NA,NA,510,0.51
舞台,音楽,美しい,舞う,6,0.006
舞台,音楽,美しい,女性,50,0.05
舞台,音楽,美しい,儚い,11,0.011
舞台,音楽,空,飛ぶ,2,0.002
舞台,音楽,空,美しい,20,0.02
舞台,音楽,花,女性,11,0.011
舞台,音楽,舞う,飛ぶ,3,0.003
舞台,音楽,空,儚い,19,0.019
舞台,音楽,儚い,女性,31,0.031
舞台,音楽,舞う,儚い,26,0.026
舞台,音楽,羽,空,2,0.002
舞台,音楽,飛ぶ,儚い,18,0.018
舞台,音楽,女性,美しい,22,0.022
舞台,音楽,舞う,美しい,45,0.045
舞台,音楽,舞う,女性,17,0.017
舞台,音楽,花,儚い,18,0.018
舞台,音楽,儚い,飛ぶ,9,0.009
舞台,音楽,飛ぶ,美しい,25,0.025
舞台,音楽,儚い,花,8,0.008
舞台,音楽,舞う,花,9,0.009
舞台,音楽,花,舞う,6,0.006
舞台,音楽,飛ぶ,花,14,0.014
舞台,音楽,空,舞う,8,0.008
舞台,音楽,羽,儚い,2,0.002
舞台,音楽,空,花,8,0.008
舞台,音楽,羽,女性,2,0.002
舞台,音楽,美しい,空,7,0.007
舞台,音楽,女性,舞う,3,0.003
舞台,音楽,羽,美しい,4,0.004
舞台,音楽,花,美しい,12,0.012
舞台,音楽,女性,飛ぶ,1,0.001
舞台,音楽,儚い,美しい,11,0.011
舞台,音楽,女性,花,5,0.005
舞台,音楽,儚い,舞う,10,0.01
舞台,音楽,羽,舞う,1,0.001
舞台,音楽,空,女性,6,0.006
舞台,音楽,美しい,飛ぶ,5,0.005
舞台,音楽,飛ぶ,女性,10,0.01
舞台,音楽,美しい,花,5,0.005
舞台,音楽,女性,儚い,7,0.007
舞台,音楽,飛ぶ,舞う,2,0.002
舞台,音楽,儚い,空,3,0.003
舞台,音楽,舞う,空,2,0.002
舞台,音楽,女性,空,1,0.001
舞台,音楽,飛ぶ,空,1,0.001
舞台,音楽,花,飛ぶ,2,0.002
舞台,音楽,NA,NA,510,0.51
