B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,空,71,0.071
踊り子,踊り,蝶,舞う,128,0.128
踊り子,踊り,蝶,花,377,0.377
踊り子,踊り,蝶,美しい,72,0.072
踊り子,踊り,蝶,飛ぶ,55,0.055
踊り子,踊り,蝶,女性,28,0.028
踊り子,踊り,蝶,羽,145,0.145
踊り子,踊り,蝶,儚い,32,0.032
踊り子,踊り,NA,NA,92,0.092
踊り子,揺れる,蝶,儚い,295,0.295
踊り子,揺れる,蝶,美しい,146,0.146
踊り子,揺れる,蝶,飛ぶ,204,0.204
踊り子,揺れる,蝶,舞う,65,0.065
踊り子,揺れる,蝶,空,79,0.079
踊り子,揺れる,蝶,女性,90,0.09
踊り子,揺れる,蝶,花,12,0.012
踊り子,揺れる,蝶,羽,17,0.017
踊り子,揺れる,NA,NA,92,0.092
踊り,揺れる,空,儚い,26,0.026
踊り,揺れる,舞う,美しい,23,0.023
踊り,揺れる,花,飛ぶ,112,0.112
踊り,揺れる,美しい,飛ぶ,24,0.024
踊り,揺れる,飛ぶ,美しい,12,0.012
踊り,揺れる,女性,舞う,10,0.01
踊り,揺れる,舞う,飛ぶ,13,0.013
踊り,揺れる,花,舞う,24,0.024
踊り,揺れる,舞う,儚い,42,0.042
踊り,揺れる,美しい,空,28,0.028
踊り,揺れる,飛ぶ,空,2,0.002
踊り,揺れる,飛ぶ,儚い,36,0.036
踊り,揺れる,女性,儚い,9,0.009
踊り,揺れる,花,女性,44,0.044
踊り,揺れる,花,美しい,20,0.02
踊り,揺れる,花,儚い,149,0.149
踊り,揺れる,羽,儚い,28,0.028
踊り,揺れる,花,空,28,0.028
踊り,揺れる,羽,美しい,56,0.056
踊り,揺れる,羽,空,7,0.007
踊り,揺れる,舞う,花,5,0.005
踊り,揺れる,舞う,羽,14,0.014
踊り,揺れる,女性,飛ぶ,4,0.004
踊り,揺れる,儚い,飛ぶ,21,0.021
踊り,揺れる,羽,飛ぶ,23,0.023
踊り,揺れる,儚い,舞う,4,0.004
踊り,揺れる,空,美しい,27,0.027
踊り,揺れる,飛ぶ,花,2,0.002
踊り,揺れる,舞う,空,13,0.013
踊り,揺れる,儚い,花,1,0.001
踊り,揺れる,空,飛ぶ,7,0.007
踊り,揺れる,美しい,女性,4,0.004
踊り,揺れる,舞う,女性,18,0.018
踊り,揺れる,美しい,舞う,8,0.008
踊り,揺れる,羽,女性,17,0.017
踊り,揺れる,飛ぶ,女性,3,0.003
踊り,揺れる,羽,舞う,12,0.012
踊り,揺れる,美しい,儚い,5,0.005
踊り,揺れる,儚い,女性,2,0.002
踊り,揺れる,美しい,羽,3,0.003
踊り,揺れる,空,花,2,0.002
踊り,揺れる,羽,花,2,0.002
踊り,揺れる,女性,美しい,4,0.004
踊り,揺れる,空,舞う,7,0.007
踊り,揺れる,儚い,美しい,4,0.004
踊り,揺れる,空,女性,2,0.002
踊り,揺れる,女性,空,1,0.001
踊り,揺れる,NA,NA,92,0.092
