B_dom,B_cod,A_dom,A_cod,count,probability
音楽,女性,女性,羽,29,0.029
音楽,女性,美しい,女性,125,0.125
音楽,女性,美しい,舞う,18,0.018
音楽,女性,女性,舞う,18,0.018
音楽,女性,儚い,女性,46,0.046
音楽,女性,儚い,美しい,13,0.013
音楽,女性,美しい,飛ぶ,11,0.011
音楽,女性,美しい,羽,30,0.03
音楽,女性,飛ぶ,美しい,11,0.011
音楽,女性,空,女性,4,0.004
音楽,女性,空,花,7,0.007
音楽,女性,美しい,空,10,0.01
音楽,女性,女性,花,25,0.025
音楽,女性,儚い,飛ぶ,5,0.005
音楽,女性,花,儚い,12,0.012
音楽,女性,儚い,花,24,0.024
音楽,女性,女性,儚い,16,0.016
音楽,女性,舞う,飛ぶ,3,0.003
音楽,女性,儚い,舞う,12,0.012
音楽,女性,女性,空,1,0.001
音楽,女性,空,儚い,2,0.002
音楽,女性,舞う,花,6,0.006
音楽,女性,花,羽,11,0.011
音楽,女性,飛ぶ,羽,9,0.009
音楽,女性,女性,美しい,52,0.052
音楽,女性,舞う,儚い,4,0.004
音楽,女性,飛ぶ,女性,6,0.006
音楽,女性,空,美しい,13,0.013
音楽,女性,花,女性,39,0.039
音楽,女性,花,美しい,13,0.013
音楽,女性,舞う,羽,8,0.008
音楽,女性,花,舞う,4,0.004
音楽,女性,空,羽,8,0.008
音楽,女性,儚い,羽,14,0.014
音楽,女性,舞う,美しい,7,0.007
音楽,女性,女性,飛ぶ,1,0.001
音楽,女性,花,空,2,0.002
音楽,女性,舞う,女性,18,0.018
音楽,女性,美しい,花,17,0.017
音楽,女性,空,舞う,3,0.003
音楽,女性,花,飛ぶ,5,0.005
音楽,女性,舞う,空,1,0.001
音楽,女性,飛ぶ,花,6,0.006
音楽,女性,儚い,空,2,0.002
音楽,女性,飛ぶ,儚い,2,0.002
音楽,女性,NA,NA,327,0.327
踊り子,女性,蝶,羽,109,0.109
踊り子,女性,蝶,女性,238,0.238
踊り子,女性,蝶,舞う,55,0.055
踊り子,女性,蝶,美しい,109,0.109
踊り子,女性,蝶,飛ぶ,25,0.025
踊り子,女性,蝶,花,85,0.085
踊り子,女性,蝶,空,16,0.016
踊り子,女性,蝶,儚い,36,0.036
踊り子,女性,NA,NA,327,0.327
踊り子,音楽,蝶,女性,142,0.142
踊り子,音楽,蝶,美しい,211,0.211
踊り子,音楽,蝶,儚い,116,0.116
踊り子,音楽,蝶,飛ぶ,34,0.034
踊り子,音楽,蝶,空,37,0.037
踊り子,音楽,蝶,花,86,0.086
踊り子,音楽,蝶,舞う,47,0.047
踊り子,音楽,NA,NA,327,0.327
