B_dom,B_cod,A_dom,A_cod,count,probability
スカート,女性,羽,舞う,11,0.011
スカート,女性,美しい,女性,97,0.097
スカート,女性,飛ぶ,美しい,36,0.036
スカート,女性,女性,花,51,0.051
スカート,女性,花,女性,21,0.021
スカート,女性,羽,美しい,23,0.023
スカート,女性,美しい,舞う,12,0.012
スカート,女性,飛ぶ,女性,40,0.04
スカート,女性,女性,美しい,56,0.056
スカート,女性,舞う,羽,11,0.011
スカート,女性,美しい,花,12,0.012
スカート,女性,空,羽,26,0.026
スカート,女性,空,女性,27,0.027
スカート,女性,女性,羽,22,0.022
スカート,女性,空,舞う,5,0.005
スカート,女性,美しい,空,11,0.011
スカート,女性,儚い,美しい,12,0.012
スカート,女性,女性,舞う,24,0.024
スカート,女性,舞う,美しい,11,0.011
スカート,女性,美しい,羽,28,0.028
スカート,女性,花,儚い,11,0.011
スカート,女性,飛ぶ,羽,26,0.026
スカート,女性,花,飛ぶ,2,0.002
スカート,女性,空,美しい,15,0.015
スカート,女性,舞う,空,3,0.003
スカート,女性,舞う,女性,52,0.052
スカート,女性,舞う,儚い,9,0.009
スカート,女性,空,花,15,0.015
スカート,女性,美しい,飛ぶ,11,0.011
スカート,女性,儚い,女性,14,0.014
スカート,女性,飛ぶ,花,29,0.029
スカート,女性,儚い,花,20,0.02
スカート,女性,花,舞う,11,0.011
スカート,女性,儚い,空,3,0.003
スカート,女性,羽,空,5,0.005
スカート,女性,羽,女性,23,0.023
スカート,女性,舞う,花,16,0.016
スカート,女性,飛ぶ,儚い,17,0.017
スカート,女性,女性,儚い,8,0.008
スカート,女性,舞う,飛ぶ,2,0.002
スカート,女性,花,羽,5,0.005
スカート,女性,空,儚い,8,0.008
スカート,女性,羽,花,5,0.005
スカート,女性,飛ぶ,舞う,5,0.005
スカート,女性,女性,飛ぶ,2,0.002
スカート,女性,儚い,飛ぶ,3,0.003
スカート,女性,羽,飛ぶ,2,0.002
スカート,女性,儚い,舞う,4,0.004
スカート,女性,羽,儚い,1,0.001
スカート,女性,儚い,羽,3,0.003
スカート,女性,空,飛ぶ,2,0.002
スカート,女性,花,空,1,0.001
スカート,女性,花,美しい,1,0.001
スカート,女性,NA,NA,130,0.13
踊り子,女性,蝶,舞う,72,0.072
踊り子,女性,蝶,女性,274,0.274
踊り子,女性,蝶,美しい,154,0.154
踊り子,女性,蝶,花,148,0.148
踊り子,女性,蝶,羽,121,0.121
踊り子,女性,蝶,空,23,0.023
踊り子,女性,蝶,儚い,54,0.054
踊り子,女性,蝶,飛ぶ,24,0.024
踊り子,女性,NA,NA,130,0.13
踊り子,スカート,蝶,羽,70,0.07
踊り子,スカート,蝶,美しい,171,0.171
踊り子,スカート,蝶,飛ぶ,153,0.153
踊り子,スカート,蝶,女性,163,0.163
踊り子,スカート,蝶,花,52,0.052
踊り子,スカート,蝶,舞う,104,0.104
踊り子,スカート,蝶,空,98,0.098
踊り子,スカート,蝶,儚い,59,0.059
踊り子,スカート,NA,NA,130,0.13
