B_dom,B_cod,A_dom,A_cod,count,probability
回る,音楽,舞う,女性,47,0.047
回る,音楽,空,美しい,26,0.026
回る,音楽,空,女性,32,0.032
回る,音楽,女性,花,8,0.008
回る,音楽,飛ぶ,美しい,57,0.057
回る,音楽,羽,美しい,15,0.015
回る,音楽,飛ぶ,儚い,54,0.054
回る,音楽,飛ぶ,女性,120,0.12
回る,音楽,儚い,飛ぶ,3,0.003
回る,音楽,儚い,女性,21,0.021
回る,音楽,空,花,3,0.003
回る,音楽,舞う,美しい,14,0.014
回る,音楽,舞う,儚い,19,0.019
回る,音楽,舞う,花,17,0.017
回る,音楽,空,飛ぶ,2,0.002
回る,音楽,飛ぶ,空,3,0.003
回る,音楽,羽,飛ぶ,2,0.002
回る,音楽,飛ぶ,花,26,0.026
回る,音楽,美しい,飛ぶ,4,0.004
回る,音楽,飛ぶ,舞う,9,0.009
回る,音楽,花,女性,8,0.008
回る,音楽,女性,空,3,0.003
回る,音楽,美しい,女性,6,0.006
回る,音楽,美しい,儚い,4,0.004
回る,音楽,空,儚い,7,0.007
回る,音楽,羽,女性,2,0.002
回る,音楽,儚い,花,12,0.012
回る,音楽,女性,美しい,8,0.008
回る,音楽,花,儚い,5,0.005
回る,音楽,美しい,空,5,0.005
回る,音楽,羽,儚い,22,0.022
回る,音楽,女性,儚い,7,0.007
回る,音楽,儚い,舞う,4,0.004
回る,音楽,花,飛ぶ,4,0.004
回る,音楽,花,舞う,2,0.002
回る,音楽,空,舞う,3,0.003
回る,音楽,美しい,舞う,3,0.003
回る,音楽,女性,舞う,2,0.002
回る,音楽,儚い,空,4,0.004
回る,音楽,美しい,花,4,0.004
回る,音楽,花,美しい,3,0.003
回る,音楽,儚い,美しい,6,0.006
回る,音楽,舞う,飛ぶ,4,0.004
回る,音楽,羽,花,2,0.002
回る,音楽,舞う,空,5,0.005
回る,音楽,羽,舞う,2,0.002
回る,音楽,NA,NA,381,0.381
踊り子,回る,蝶,舞う,106,0.106
踊り子,回る,蝶,空,73,0.073
踊り子,回る,蝶,女性,28,0.028
踊り子,回る,蝶,飛ぶ,269,0.269
踊り子,回る,蝶,羽,45,0.045
踊り子,回る,蝶,儚い,50,0.05
踊り子,回る,蝶,美しい,26,0.026
踊り子,回る,蝶,花,22,0.022
踊り子,回る,NA,NA,381,0.381
踊り子,音楽,蝶,女性,236,0.236
踊り子,音楽,蝶,美しい,129,0.129
踊り子,音楽,蝶,花,72,0.072
踊り子,音楽,蝶,儚い,118,0.118
踊り子,音楽,蝶,飛ぶ,19,0.019
踊り子,音楽,蝶,空,20,0.02
踊り子,音楽,蝶,舞う,25,0.025
踊り子,音楽,NA,NA,381,0.381
