B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,花,386,0.386
踊り子,踊り,蝶,美しい,61,0.061
踊り子,踊り,蝶,空,56,0.056
踊り子,踊り,蝶,飛ぶ,35,0.035
踊り子,踊り,蝶,羽,74,0.074
踊り子,踊り,蝶,儚い,23,0.023
踊り子,踊り,蝶,舞う,227,0.227
踊り子,踊り,蝶,女性,17,0.017
踊り子,踊り,NA,NA,121,0.121
踊り子,夜,蝶,空,317,0.317
踊り子,夜,蝶,儚い,151,0.151
踊り子,夜,蝶,舞う,90,0.09
踊り子,夜,蝶,飛ぶ,94,0.094
踊り子,夜,蝶,羽,53,0.053
踊り子,夜,蝶,美しい,83,0.083
踊り子,夜,蝶,花,48,0.048
踊り子,夜,蝶,女性,43,0.043
踊り子,夜,NA,NA,121,0.121
夜,踊り,空,花,171,0.171
夜,踊り,空,美しい,16,0.016
夜,踊り,儚い,空,16,0.016
夜,踊り,舞う,空,10,0.01
夜,踊り,飛ぶ,花,34,0.034
夜,踊り,儚い,美しい,3,0.003
夜,踊り,空,飛ぶ,10,0.01
夜,踊り,儚い,花,58,0.058
夜,踊り,空,羽,47,0.047
夜,踊り,舞う,儚い,6,0.006
夜,踊り,羽,舞う,20,0.02
夜,踊り,空,舞う,63,0.063
夜,踊り,儚い,舞う,66,0.066
夜,踊り,美しい,舞う,34,0.034
夜,踊り,美しい,飛ぶ,14,0.014
夜,踊り,舞う,花,54,0.054
夜,踊り,美しい,花,24,0.024
夜,踊り,美しい,空,2,0.002
夜,踊り,飛ぶ,美しい,21,0.021
夜,踊り,美しい,女性,6,0.006
夜,踊り,羽,花,26,0.026
夜,踊り,花,空,15,0.015
夜,踊り,女性,美しい,6,0.006
夜,踊り,飛ぶ,舞う,15,0.015
夜,踊り,舞う,羽,8,0.008
夜,踊り,女性,花,19,0.019
夜,踊り,花,舞う,16,0.016
夜,踊り,空,儚い,7,0.007
夜,踊り,女性,舞う,13,0.013
夜,踊り,花,女性,3,0.003
夜,踊り,飛ぶ,女性,2,0.002
夜,踊り,舞う,美しい,10,0.01
夜,踊り,舞う,飛ぶ,1,0.001
夜,踊り,儚い,飛ぶ,5,0.005
夜,踊り,飛ぶ,空,9,0.009
夜,踊り,花,美しい,3,0.003
夜,踊り,羽,美しい,2,0.002
夜,踊り,儚い,羽,1,0.001
夜,踊り,舞う,女性,1,0.001
夜,踊り,花,羽,6,0.006
夜,踊り,女性,儚い,2,0.002
夜,踊り,羽,飛ぶ,1,0.001
夜,踊り,羽,空,4,0.004
夜,踊り,花,飛ぶ,4,0.004
夜,踊り,美しい,羽,1,0.001
夜,踊り,飛ぶ,儚い,5,0.005
夜,踊り,飛ぶ,羽,8,0.008
夜,踊り,女性,羽,3,0.003
夜,踊り,空,女性,3,0.003
夜,踊り,儚い,女性,2,0.002
夜,踊り,美しい,儚い,2,0.002
夜,踊り,花,儚い,1,0.001
夜,踊り,NA,NA,121,0.121
