B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,空,107,0.107
踊り子,舞台,蝶,女性,66,0.066
踊り子,舞台,蝶,美しい,116,0.116
踊り子,舞台,蝶,儚い,116,0.116
踊り子,舞台,蝶,飛ぶ,81,0.081
踊り子,舞台,蝶,舞う,178,0.178
踊り子,舞台,蝶,羽,10,0.01
踊り子,舞台,蝶,花,54,0.054
踊り子,舞台,NA,NA,272,0.272
踊り子,女性,蝶,羽,124,0.124
踊り子,女性,蝶,舞う,57,0.057
踊り子,女性,蝶,儚い,35,0.035
踊り子,女性,蝶,花,103,0.103
踊り子,女性,蝶,女性,320,0.32
踊り子,女性,蝶,飛ぶ,24,0.024
踊り子,女性,蝶,美しい,48,0.048
踊り子,女性,蝶,空,17,0.017
踊り子,女性,NA,NA,272,0.272
女性,舞台,羽,空,18,0.018
女性,舞台,舞う,女性,16,0.016
女性,舞台,舞う,美しい,16,0.016
女性,舞台,儚い,女性,9,0.009
女性,舞台,舞う,儚い,7,0.007
女性,舞台,花,飛ぶ,18,0.018
女性,舞台,女性,美しい,43,0.043
女性,舞台,儚い,空,11,0.011
女性,舞台,女性,舞う,147,0.147
女性,舞台,女性,羽,4,0.004
女性,舞台,飛ぶ,美しい,7,0.007
女性,舞台,花,空,18,0.018
女性,舞台,美しい,空,26,0.026
女性,舞台,飛ぶ,女性,1,0.001
女性,舞台,花,舞う,14,0.014
女性,舞台,花,美しい,15,0.015
女性,舞台,美しい,飛ぶ,14,0.014
女性,舞台,女性,儚い,52,0.052
女性,舞台,羽,舞う,17,0.017
女性,舞台,羽,女性,14,0.014
女性,舞台,儚い,飛ぶ,14,0.014
女性,舞台,飛ぶ,花,10,0.01
女性,舞台,女性,花,34,0.034
女性,舞台,空,儚い,7,0.007
女性,舞台,羽,儚い,25,0.025
女性,舞台,空,女性,2,0.002
女性,舞台,女性,空,21,0.021
女性,舞台,儚い,羽,1,0.001
女性,舞台,羽,花,6,0.006
女性,舞台,羽,美しい,30,0.03
女性,舞台,花,女性,17,0.017
女性,舞台,舞う,空,11,0.011
女性,舞台,空,飛ぶ,1,0.001
女性,舞台,舞う,花,2,0.002
女性,舞台,羽,飛ぶ,14,0.014
女性,舞台,女性,飛ぶ,19,0.019
女性,舞台,空,花,2,0.002
女性,舞台,空,美しい,5,0.005
女性,舞台,花,儚い,21,0.021
女性,舞台,美しい,女性,7,0.007
女性,舞台,飛ぶ,儚い,4,0.004
女性,舞台,飛ぶ,空,2,0.002
女性,舞台,舞う,羽,4,0.004
女性,舞台,美しい,羽,1,0.001
女性,舞台,舞う,飛ぶ,1,0.001
女性,舞台,NA,NA,272,0.272
