B_dom,B_cod,A_dom,A_cod,count,probability
女性,音楽,花,美しい,16,0.016
女性,音楽,儚い,女性,18,0.018
女性,音楽,女性,美しい,123,0.123
女性,音楽,舞う,女性,14,0.014
女性,音楽,女性,花,33,0.033
女性,音楽,美しい,飛ぶ,13,0.013
女性,音楽,花,舞う,10,0.01
女性,音楽,羽,儚い,19,0.019
女性,音楽,羽,美しい,40,0.04
女性,音楽,女性,儚い,41,0.041
女性,音楽,羽,女性,29,0.029
女性,音楽,花,女性,24,0.024
女性,音楽,花,儚い,34,0.034
女性,音楽,空,舞う,2,0.002
女性,音楽,美しい,花,16,0.016
女性,音楽,女性,舞う,16,0.016
女性,音楽,飛ぶ,儚い,11,0.011
女性,音楽,美しい,女性,30,0.03
女性,音楽,舞う,美しい,25,0.025
女性,音楽,儚い,花,10,0.01
女性,音楽,美しい,儚い,10,0.01
女性,音楽,羽,飛ぶ,7,0.007
女性,音楽,女性,空,4,0.004
女性,音楽,舞う,儚い,9,0.009
女性,音楽,女性,飛ぶ,10,0.01
女性,音楽,舞う,花,8,0.008
女性,音楽,羽,空,5,0.005
女性,音楽,空,花,4,0.004
女性,音楽,空,美しい,7,0.007
女性,音楽,飛ぶ,女性,3,0.003
女性,音楽,羽,花,6,0.006
女性,音楽,儚い,空,3,0.003
女性,音楽,舞う,空,5,0.005
女性,音楽,飛ぶ,舞う,1,0.001
女性,音楽,花,飛ぶ,6,0.006
女性,音楽,飛ぶ,美しい,14,0.014
女性,音楽,美しい,空,9,0.009
女性,音楽,舞う,飛ぶ,2,0.002
女性,音楽,儚い,飛ぶ,1,0.001
女性,音楽,羽,舞う,10,0.01
女性,音楽,空,儚い,4,0.004
女性,音楽,儚い,舞う,5,0.005
女性,音楽,空,女性,1,0.001
女性,音楽,花,空,3,0.003
女性,音楽,飛ぶ,花,5,0.005
女性,音楽,美しい,舞う,9,0.009
女性,音楽,飛ぶ,空,2,0.002
女性,音楽,NA,NA,323,0.323
踊り子,音楽,蝶,美しい,225,0.225
踊り子,音楽,蝶,女性,119,0.119
踊り子,音楽,蝶,花,82,0.082
踊り子,音楽,蝶,飛ぶ,39,0.039
踊り子,音楽,蝶,舞う,53,0.053
踊り子,音楽,蝶,儚い,128,0.128
踊り子,音楽,蝶,空,31,0.031
踊り子,音楽,NA,NA,323,0.323
踊り子,女性,蝶,花,93,0.093
踊り子,女性,蝶,儚い,37,0.037
踊り子,女性,蝶,女性,227,0.227
踊り子,女性,蝶,舞う,63,0.063
踊り子,女性,蝶,美しい,87,0.087
踊り子,女性,蝶,羽,116,0.116
踊り子,女性,蝶,空,18,0.018
踊り子,女性,蝶,飛ぶ,36,0.036
踊り子,女性,NA,NA,323,0.323
