B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,揺れる,蝶,舞う,84,0.084
踊り子,揺れる,蝶,飛ぶ,191,0.191
踊り子,揺れる,蝶,女性,65,0.065
踊り子,揺れる,蝶,儚い,266,0.266
踊り子,揺れる,蝶,空,70,0.07
踊り子,揺れる,蝶,美しい,149,0.149
踊り子,揺れる,蝶,花,13,0.013
踊り子,揺れる,蝶,羽,20,0.02
踊り子,揺れる,NA,NA,142,0.142
踊り子,夜,蝶,儚い,127,0.127
踊り子,夜,蝶,女性,63,0.063
踊り子,夜,蝶,羽,104,0.104
踊り子,夜,蝶,空,258,0.258
踊り子,夜,蝶,美しい,82,0.082
踊り子,夜,蝶,花,51,0.051
踊り子,夜,蝶,飛ぶ,113,0.113
踊り子,夜,蝶,舞う,60,0.06
踊り子,夜,NA,NA,142,0.142
揺れる,夜,舞う,儚い,24,0.024
揺れる,夜,舞う,女性,9,0.009
揺れる,夜,飛ぶ,羽,35,0.035
揺れる,夜,飛ぶ,空,31,0.031
揺れる,夜,女性,儚い,16,0.016
揺れる,夜,女性,羽,4,0.004
揺れる,夜,儚い,空,110,0.11
揺れる,夜,空,美しい,27,0.027
揺れる,夜,飛ぶ,儚い,63,0.063
揺れる,夜,儚い,花,14,0.014
揺れる,夜,儚い,女性,34,0.034
揺れる,夜,舞う,羽,15,0.015
揺れる,夜,美しい,空,85,0.085
揺れる,夜,飛ぶ,女性,9,0.009
揺れる,夜,舞う,飛ぶ,6,0.006
揺れる,夜,花,飛ぶ,7,0.007
揺れる,夜,羽,美しい,2,0.002
揺れる,夜,美しい,儚い,8,0.008
揺れる,夜,儚い,飛ぶ,65,0.065
揺れる,夜,美しい,飛ぶ,13,0.013
揺れる,夜,舞う,花,8,0.008
揺れる,夜,飛ぶ,美しい,26,0.026
揺れる,夜,美しい,舞う,9,0.009
揺れる,夜,儚い,舞う,22,0.022
揺れる,夜,空,飛ぶ,8,0.008
揺れる,夜,空,儚い,14,0.014
揺れる,夜,飛ぶ,花,23,0.023
揺れる,夜,舞う,空,15,0.015
揺れる,夜,美しい,羽,25,0.025
揺れる,夜,空,舞う,5,0.005
揺れる,夜,羽,舞う,3,0.003
揺れる,夜,女性,舞う,17,0.017
揺れる,夜,女性,美しい,13,0.013
揺れる,夜,羽,飛ぶ,8,0.008
揺れる,夜,儚い,美しい,7,0.007
揺れる,夜,飛ぶ,舞う,4,0.004
揺れる,夜,花,空,4,0.004
揺れる,夜,空,羽,11,0.011
揺れる,夜,美しい,女性,8,0.008
揺れる,夜,舞う,美しい,7,0.007
揺れる,夜,空,女性,3,0.003
揺れる,夜,女性,飛ぶ,6,0.006
揺れる,夜,儚い,羽,14,0.014
揺れる,夜,花,儚い,2,0.002
揺れる,夜,空,花,2,0.002
揺れる,夜,女性,空,6,0.006
揺れる,夜,女性,花,3,0.003
揺れる,夜,美しい,花,1,0.001
揺れる,夜,羽,空,7,0.007
揺れる,夜,NA,NA,142,0.142
