B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,儚い,115,0.115
踊り子,舞台,蝶,舞う,128,0.128
踊り子,舞台,蝶,美しい,118,0.118
踊り子,舞台,蝶,女性,85,0.085
踊り子,舞台,蝶,空,94,0.094
踊り子,舞台,蝶,飛ぶ,97,0.097
踊り子,舞台,蝶,羽,22,0.022
踊り子,舞台,蝶,花,50,0.05
踊り子,舞台,NA,NA,291,0.291
踊り子,揺れる,蝶,花,13,0.013
踊り子,揺れる,蝶,美しい,86,0.086
踊り子,揺れる,蝶,空,68,0.068
踊り子,揺れる,蝶,儚い,193,0.193
踊り子,揺れる,蝶,飛ぶ,152,0.152
踊り子,揺れる,蝶,女性,88,0.088
踊り子,揺れる,蝶,舞う,76,0.076
踊り子,揺れる,蝶,羽,33,0.033
踊り子,揺れる,NA,NA,291,0.291
揺れる,舞台,花,儚い,1,0.001
揺れる,舞台,美しい,舞う,23,0.023
揺れる,舞台,空,美しい,31,0.031
揺れる,舞台,儚い,女性,39,0.039
揺れる,舞台,飛ぶ,儚い,56,0.056
揺れる,舞台,儚い,空,40,0.04
揺れる,舞台,女性,儚い,12,0.012
揺れる,舞台,儚い,飛ぶ,35,0.035
揺れる,舞台,女性,舞う,26,0.026
揺れる,舞台,美しい,儚い,6,0.006
揺れる,舞台,空,女性,8,0.008
揺れる,舞台,飛ぶ,美しい,43,0.043
揺れる,舞台,儚い,舞う,50,0.05
揺れる,舞台,飛ぶ,女性,14,0.014
揺れる,舞台,舞う,女性,20,0.02
揺れる,舞台,美しい,空,21,0.021
揺れる,舞台,空,舞う,10,0.01
揺れる,舞台,美しい,羽,3,0.003
揺れる,舞台,儚い,美しい,8,0.008
揺れる,舞台,女性,空,12,0.012
揺れる,舞台,花,美しい,2,0.002
揺れる,舞台,美しい,飛ぶ,26,0.026
揺れる,舞台,舞う,飛ぶ,8,0.008
揺れる,舞台,空,儚い,13,0.013
揺れる,舞台,飛ぶ,舞う,9,0.009
揺れる,舞台,儚い,花,18,0.018
揺れる,舞台,飛ぶ,花,13,0.013
揺れる,舞台,儚い,羽,3,0.003
揺れる,舞台,羽,美しい,8,0.008
揺れる,舞台,美しい,花,6,0.006
揺れる,舞台,舞う,儚い,16,0.016
揺れる,舞台,舞う,空,10,0.01
揺れる,舞台,羽,舞う,8,0.008
揺れる,舞台,飛ぶ,羽,9,0.009
揺れる,舞台,女性,飛ぶ,17,0.017
揺れる,舞台,女性,羽,4,0.004
揺れる,舞台,空,飛ぶ,4,0.004
揺れる,舞台,女性,美しい,13,0.013
揺れる,舞台,羽,女性,1,0.001
揺れる,舞台,舞う,美しい,13,0.013
揺れる,舞台,花,女性,2,0.002
揺れる,舞台,羽,儚い,11,0.011
揺れる,舞台,女性,花,4,0.004
揺れる,舞台,羽,飛ぶ,4,0.004
揺れる,舞台,花,空,3,0.003
揺れる,舞台,舞う,花,7,0.007
揺れる,舞台,飛ぶ,空,8,0.008
揺れる,舞台,羽,花,1,0.001
揺れる,舞台,舞う,羽,2,0.002
揺れる,舞台,美しい,女性,1,0.001
揺れる,舞台,花,飛ぶ,3,0.003
揺れる,舞台,空,花,1,0.001
揺れる,舞台,花,舞う,2,0.002
揺れる,舞台,空,羽,1,0.001
揺れる,舞台,NA,NA,291,0.291
