B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,舞う,125,0.125
踊り子,舞台,蝶,飛ぶ,84,0.084
踊り子,舞台,蝶,儚い,114,0.114
踊り子,舞台,蝶,空,79,0.079
踊り子,舞台,蝶,花,45,0.045
踊り子,舞台,蝶,美しい,102,0.102
踊り子,舞台,蝶,女性,73,0.073
踊り子,舞台,蝶,羽,20,0.02
踊り子,舞台,NA,NA,358,0.358
踊り子,スカート,蝶,美しい,87,0.087
踊り子,スカート,蝶,羽,85,0.085
踊り子,スカート,蝶,女性,191,0.191
踊り子,スカート,蝶,舞う,52,0.052
踊り子,スカート,蝶,儚い,33,0.033
踊り子,スカート,蝶,飛ぶ,81,0.081
踊り子,スカート,蝶,空,73,0.073
踊り子,スカート,蝶,花,40,0.04
踊り子,スカート,NA,NA,358,0.358
舞台,スカート,舞う,美しい,24,0.024
舞台,スカート,飛ぶ,美しい,16,0.016
舞台,スカート,儚い,羽,29,0.029
舞台,スカート,飛ぶ,女性,35,0.035
舞台,スカート,空,女性,30,0.03
舞台,スカート,花,美しい,9,0.009
舞台,スカート,飛ぶ,舞う,3,0.003
舞台,スカート,舞う,羽,13,0.013
舞台,スカート,儚い,美しい,10,0.01
舞台,スカート,空,美しい,19,0.019
舞台,スカート,舞う,女性,60,0.06
舞台,スカート,舞う,儚い,6,0.006
舞台,スカート,儚い,女性,33,0.033
舞台,スカート,儚い,飛ぶ,21,0.021
舞台,スカート,美しい,女性,14,0.014
舞台,スカート,花,女性,12,0.012
舞台,スカート,儚い,舞う,8,0.008
舞台,スカート,女性,舞う,17,0.017
舞台,スカート,羽,儚い,4,0.004
舞台,スカート,花,飛ぶ,9,0.009
舞台,スカート,空,舞う,7,0.007
舞台,スカート,美しい,空,35,0.035
舞台,スカート,舞う,空,10,0.01
舞台,スカート,美しい,羽,18,0.018
舞台,スカート,飛ぶ,儚い,6,0.006
舞台,スカート,空,飛ぶ,4,0.004
舞台,スカート,女性,飛ぶ,28,0.028
舞台,スカート,女性,美しい,5,0.005
舞台,スカート,美しい,舞う,10,0.01
舞台,スカート,飛ぶ,花,11,0.011
舞台,スカート,花,舞う,5,0.005
舞台,スカート,羽,女性,7,0.007
舞台,スカート,空,羽,11,0.011
舞台,スカート,女性,儚い,5,0.005
舞台,スカート,女性,空,15,0.015
舞台,スカート,羽,舞う,2,0.002
舞台,スカート,羽,美しい,4,0.004
舞台,スカート,美しい,花,10,0.01
舞台,スカート,羽,空,2,0.002
舞台,スカート,美しい,飛ぶ,12,0.012
舞台,スカート,空,花,6,0.006
舞台,スカート,飛ぶ,羽,11,0.011
舞台,スカート,舞う,飛ぶ,6,0.006
舞台,スカート,儚い,空,7,0.007
舞台,スカート,飛ぶ,空,2,0.002
舞台,スカート,花,儚い,7,0.007
舞台,スカート,舞う,花,6,0.006
舞台,スカート,儚い,花,6,0.006
舞台,スカート,美しい,儚い,3,0.003
舞台,スカート,羽,飛ぶ,1,0.001
舞台,スカート,女性,羽,2,0.002
舞台,スカート,花,羽,1,0.001
舞台,スカート,女性,花,1,0.001
舞台,スカート,空,儚い,2,0.002
舞台,スカート,花,空,2,0.002
舞台,スカート,NA,NA,358,0.358
