B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,美しい,114,0.114
踊り子,舞台,蝶,飛ぶ,67,0.067
踊り子,舞台,蝶,儚い,120,0.12
踊り子,舞台,蝶,女性,87,0.087
踊り子,舞台,蝶,花,68,0.068
踊り子,舞台,蝶,空,95,0.095
踊り子,舞台,蝶,舞う,105,0.105
踊り子,舞台,蝶,羽,26,0.026
踊り子,舞台,NA,NA,318,0.318
踊り子,揺れる,蝶,飛ぶ,182,0.182
踊り子,揺れる,蝶,空,87,0.087
踊り子,揺れる,蝶,美しい,76,0.076
踊り子,揺れる,蝶,儚い,177,0.177
踊り子,揺れる,蝶,花,18,0.018
踊り子,揺れる,蝶,女性,73,0.073
踊り子,揺れる,蝶,舞う,57,0.057
踊り子,揺れる,蝶,羽,12,0.012
踊り子,揺れる,NA,NA,318,0.318
舞台,揺れる,美しい,飛ぶ,42,0.042
舞台,揺れる,飛ぶ,空,7,0.007
舞台,揺れる,儚い,空,22,0.022
舞台,揺れる,儚い,飛ぶ,66,0.066
舞台,揺れる,女性,空,7,0.007
舞台,揺れる,花,美しい,6,0.006
舞台,揺れる,飛ぶ,儚い,30,0.03
舞台,揺れる,女性,儚い,36,0.036
舞台,揺れる,美しい,花,2,0.002
舞台,揺れる,美しい,女性,5,0.005
舞台,揺れる,空,舞う,6,0.006
舞台,揺れる,花,空,8,0.008
舞台,揺れる,舞う,儚い,29,0.029
舞台,揺れる,空,儚い,38,0.038
舞台,揺れる,花,飛ぶ,18,0.018
舞台,揺れる,空,女性,14,0.014
舞台,揺れる,羽,美しい,7,0.007
舞台,揺れる,儚い,舞う,11,0.011
舞台,揺れる,儚い,女性,7,0.007
舞台,揺れる,舞う,女性,26,0.026
舞台,揺れる,花,舞う,6,0.006
舞台,揺れる,空,美しい,21,0.021
舞台,揺れる,美しい,空,35,0.035
舞台,揺れる,飛ぶ,女性,11,0.011
舞台,揺れる,空,飛ぶ,13,0.013
舞台,揺れる,美しい,舞う,19,0.019
舞台,揺れる,女性,舞う,11,0.011
舞台,揺れる,舞う,飛ぶ,13,0.013
舞台,揺れる,飛ぶ,美しい,13,0.013
舞台,揺れる,舞う,美しい,19,0.019
舞台,揺れる,羽,儚い,11,0.011
舞台,揺れる,女性,飛ぶ,28,0.028
舞台,揺れる,花,儚い,24,0.024
舞台,揺れる,飛ぶ,花,4,0.004
舞台,揺れる,空,花,2,0.002
舞台,揺れる,舞う,空,8,0.008
舞台,揺れる,儚い,花,5,0.005
舞台,揺れる,羽,飛ぶ,2,0.002
舞台,揺れる,舞う,花,4,0.004
舞台,揺れる,花,女性,6,0.006
舞台,揺れる,飛ぶ,舞う,2,0.002
舞台,揺れる,美しい,儚い,9,0.009
舞台,揺れる,羽,女性,4,0.004
舞台,揺れる,女性,美しい,4,0.004
舞台,揺れる,空,羽,1,0.001
舞台,揺れる,儚い,羽,3,0.003
舞台,揺れる,儚い,美しい,6,0.006
舞台,揺れる,舞う,羽,6,0.006
舞台,揺れる,女性,花,1,0.001
舞台,揺れる,羽,舞う,2,0.002
舞台,揺れる,美しい,羽,2,0.002
舞台,揺れる,NA,NA,318,0.318
