B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,舞う,137,0.137
踊り子,舞台,蝶,飛ぶ,83,0.083
踊り子,舞台,蝶,女性,69,0.069
踊り子,舞台,蝶,空,110,0.11
踊り子,舞台,蝶,美しい,141,0.141
踊り子,舞台,蝶,羽,21,0.021
踊り子,舞台,蝶,儚い,128,0.128
踊り子,舞台,蝶,花,49,0.049
踊り子,舞台,NA,NA,262,0.262
踊り子,踊り,蝶,羽,105,0.105
踊り子,踊り,蝶,美しい,60,0.06
踊り子,踊り,蝶,花,290,0.29
踊り子,踊り,蝶,舞う,129,0.129
踊り子,踊り,蝶,飛ぶ,43,0.043
踊り子,踊り,蝶,女性,25,0.025
踊り子,踊り,蝶,儚い,24,0.024
踊り子,踊り,蝶,空,62,0.062
踊り子,踊り,NA,NA,262,0.262
舞台,踊り,舞う,羽,43,0.043
舞台,踊り,飛ぶ,美しい,17,0.017
舞台,踊り,女性,花,31,0.031
舞台,踊り,舞う,花,48,0.048
舞台,踊り,飛ぶ,花,42,0.042
舞台,踊り,空,花,51,0.051
舞台,踊り,美しい,舞う,24,0.024
舞台,踊り,羽,舞う,10,0.01
舞台,踊り,儚い,飛ぶ,11,0.011
舞台,踊り,女性,舞う,16,0.016
舞台,踊り,空,美しい,9,0.009
舞台,踊り,儚い,女性,6,0.006
舞台,踊り,花,舞う,14,0.014
舞台,踊り,儚い,花,63,0.063
舞台,踊り,空,舞う,34,0.034
舞台,踊り,女性,美しい,7,0.007
舞台,踊り,舞う,儚い,9,0.009
舞台,踊り,花,空,9,0.009
舞台,踊り,女性,羽,14,0.014
舞台,踊り,美しい,花,52,0.052
舞台,踊り,儚い,舞う,25,0.025
舞台,踊り,美しい,空,20,0.02
舞台,踊り,空,羽,12,0.012
舞台,踊り,花,飛ぶ,10,0.01
舞台,踊り,美しい,羽,19,0.019
舞台,踊り,舞う,美しい,20,0.02
舞台,踊り,花,女性,2,0.002
舞台,踊り,美しい,女性,11,0.011
舞台,踊り,飛ぶ,羽,9,0.009
舞台,踊り,儚い,空,18,0.018
舞台,踊り,花,羽,7,0.007
舞台,踊り,美しい,飛ぶ,14,0.014
舞台,踊り,儚い,美しい,4,0.004
舞台,踊り,飛ぶ,空,4,0.004
舞台,踊り,飛ぶ,女性,1,0.001
舞台,踊り,羽,女性,2,0.002
舞台,踊り,舞う,空,11,0.011
舞台,踊り,飛ぶ,舞う,6,0.006
舞台,踊り,飛ぶ,儚い,4,0.004
舞台,踊り,羽,花,3,0.003
舞台,踊り,花,美しい,1,0.001
舞台,踊り,儚い,羽,1,0.001
舞台,踊り,花,儚い,6,0.006
舞台,踊り,舞う,女性,3,0.003
舞台,踊り,空,飛ぶ,1,0.001
舞台,踊り,羽,美しい,2,0.002
舞台,踊り,羽,飛ぶ,4,0.004
舞台,踊り,美しい,儚い,1,0.001
舞台,踊り,舞う,飛ぶ,3,0.003
舞台,踊り,空,儚い,3,0.003
舞台,踊り,女性,儚い,1,0.001
舞台,踊り,NA,NA,262,0.262
