B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,花,353,0.353
踊り子,踊り,蝶,舞う,208,0.208
踊り子,踊り,蝶,美しい,56,0.056
踊り子,踊り,蝶,飛ぶ,39,0.039
踊り子,踊り,蝶,儚い,37,0.037
踊り子,踊り,蝶,女性,20,0.02
踊り子,踊り,蝶,羽,86,0.086
踊り子,踊り,蝶,空,65,0.065
踊り子,踊り,NA,NA,136,0.136
踊り子,スカート,蝶,儚い,77,0.077
踊り子,スカート,蝶,飛ぶ,135,0.135
踊り子,スカート,蝶,女性,219,0.219
踊り子,スカート,蝶,羽,85,0.085
踊り子,スカート,蝶,美しい,128,0.128
踊り子,スカート,蝶,花,56,0.056
踊り子,スカート,蝶,空,86,0.086
踊り子,スカート,蝶,舞う,78,0.078
踊り子,スカート,NA,NA,136,0.136
踊り,スカート,花,儚い,39,0.039
踊り,スカート,舞う,飛ぶ,7,0.007
踊り,スカート,美しい,女性,13,0.013
踊り,スカート,飛ぶ,羽,5,0.005
踊り,スカート,舞う,女性,78,0.078
踊り,スカート,飛ぶ,美しい,15,0.015
踊り,スカート,花,女性,107,0.107
踊り,スカート,舞う,花,18,0.018
踊り,スカート,美しい,空,16,0.016
踊り,スカート,儚い,美しい,6,0.006
踊り,スカート,女性,美しい,8,0.008
踊り,スカート,花,飛ぶ,88,0.088
踊り,スカート,舞う,羽,59,0.059
踊り,スカート,羽,美しい,26,0.026
踊り,スカート,飛ぶ,儚い,8,0.008
踊り,スカート,美しい,儚い,1,0.001
踊り,スカート,空,花,11,0.011
踊り,スカート,花,羽,11,0.011
踊り,スカート,女性,舞う,5,0.005
踊り,スカート,花,空,44,0.044
踊り,スカート,花,舞う,35,0.035
踊り,スカート,儚い,羽,3,0.003
踊り,スカート,羽,女性,11,0.011
踊り,スカート,美しい,飛ぶ,9,0.009
踊り,スカート,空,美しい,26,0.026
踊り,スカート,美しい,花,9,0.009
踊り,スカート,飛ぶ,空,1,0.001
踊り,スカート,舞う,美しい,18,0.018
踊り,スカート,空,羽,6,0.006
踊り,スカート,花,美しい,29,0.029
踊り,スカート,羽,飛ぶ,19,0.019
踊り,スカート,美しい,舞う,7,0.007
踊り,スカート,儚い,女性,9,0.009
踊り,スカート,空,女性,1,0.001
踊り,スカート,儚い,飛ぶ,8,0.008
踊り,スカート,飛ぶ,花,8,0.008
踊り,スカート,舞う,空,10,0.01
踊り,スカート,羽,花,4,0.004
踊り,スカート,羽,空,10,0.01
踊り,スカート,儚い,空,4,0.004
踊り,スカート,羽,舞う,15,0.015
踊り,スカート,空,飛ぶ,3,0.003
踊り,スカート,舞う,儚い,18,0.018
踊り,スカート,女性,花,3,0.003
踊り,スカート,空,儚い,8,0.008
踊り,スカート,女性,飛ぶ,1,0.001
踊り,スカート,空,舞う,10,0.01
踊り,スカート,儚い,花,3,0.003
踊り,スカート,女性,儚い,2,0.002
踊り,スカート,儚い,舞う,4,0.004
踊り,スカート,羽,儚い,1,0.001
踊り,スカート,飛ぶ,舞う,2,0.002
踊り,スカート,女性,空,1,0.001
踊り,スカート,美しい,羽,1,0.001
踊り,スカート,NA,NA,136,0.136
