B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,踊り,蝶,花,379,0.379
踊り子,踊り,蝶,舞う,233,0.233
踊り子,踊り,蝶,空,46,0.046
踊り子,踊り,蝶,飛ぶ,46,0.046
踊り子,踊り,蝶,羽,69,0.069
踊り子,踊り,蝶,美しい,83,0.083
踊り子,踊り,蝶,儚い,19,0.019
踊り子,踊り,蝶,女性,11,0.011
踊り子,踊り,NA,NA,114,0.114
踊り子,夜,蝶,舞う,97,0.097
踊り子,夜,蝶,空,331,0.331
踊り子,夜,蝶,花,34,0.034
踊り子,夜,蝶,儚い,163,0.163
踊り子,夜,蝶,美しい,97,0.097
踊り子,夜,蝶,羽,47,0.047
踊り子,夜,蝶,飛ぶ,84,0.084
踊り子,夜,蝶,女性,33,0.033
踊り子,夜,NA,NA,114,0.114
踊り,夜,花,舞う,50,0.05
踊り,夜,花,空,175,0.175
踊り,夜,舞う,花,10,0.01
踊り,夜,舞う,空,74,0.074
踊り,夜,舞う,儚い,74,0.074
踊り,夜,空,儚い,16,0.016
踊り,夜,飛ぶ,舞う,5,0.005
踊り,夜,花,美しい,40,0.04
踊り,夜,羽,花,9,0.009
踊り,夜,花,羽,18,0.018
踊り,夜,飛ぶ,空,13,0.013
踊り,夜,花,飛ぶ,34,0.034
踊り,夜,花,儚い,51,0.051
踊り,夜,空,飛ぶ,6,0.006
踊り,夜,空,花,8,0.008
踊り,夜,舞う,美しい,41,0.041
踊り,夜,美しい,空,25,0.025
踊り,夜,飛ぶ,美しい,9,0.009
踊り,夜,羽,空,35,0.035
踊り,夜,儚い,飛ぶ,4,0.004
踊り,夜,飛ぶ,儚い,13,0.013
踊り,夜,舞う,女性,7,0.007
踊り,夜,美しい,飛ぶ,23,0.023
踊り,夜,空,舞う,7,0.007
踊り,夜,花,女性,11,0.011
踊り,夜,儚い,空,8,0.008
踊り,夜,美しい,儚い,7,0.007
踊り,夜,美しい,舞う,16,0.016
踊り,夜,空,美しい,5,0.005
踊り,夜,美しい,女性,9,0.009
踊り,夜,儚い,女性,1,0.001
踊り,夜,羽,飛ぶ,8,0.008
踊り,夜,女性,空,1,0.001
踊り,夜,舞う,羽,18,0.018
踊り,夜,舞う,飛ぶ,9,0.009
踊り,夜,儚い,花,1,0.001
踊り,夜,羽,舞う,12,0.012
踊り,夜,美しい,羽,2,0.002
踊り,夜,女性,花,2,0.002
踊り,夜,飛ぶ,花,3,0.003
踊り,夜,女性,儚い,2,0.002
踊り,夜,羽,美しい,1,0.001
踊り,夜,空,羽,3,0.003
踊り,夜,羽,女性,4,0.004
踊り,夜,美しい,花,1,0.001
踊り,夜,儚い,羽,2,0.002
踊り,夜,儚い,舞う,3,0.003
踊り,夜,女性,羽,1,0.001
踊り,夜,女性,舞う,4,0.004
踊り,夜,飛ぶ,羽,3,0.003
踊り,夜,空,女性,1,0.001
踊り,夜,女性,美しい,1,0.001
踊り,夜,NA,NA,114,0.114
