B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,スカート,蝶,女性,159,0.159
踊り子,スカート,蝶,舞う,64,0.064
踊り子,スカート,蝶,羽,83,0.083
踊り子,スカート,蝶,空,102,0.102
踊り子,スカート,蝶,飛ぶ,94,0.094
踊り子,スカート,蝶,美しい,71,0.071
踊り子,スカート,蝶,花,33,0.033
踊り子,スカート,蝶,儚い,19,0.019
踊り子,スカート,NA,NA,375,0.375
踊り子,音楽,蝶,舞う,44,0.044
踊り子,音楽,蝶,儚い,115,0.115
踊り子,音楽,蝶,女性,174,0.174
踊り子,音楽,蝶,美しい,153,0.153
踊り子,音楽,蝶,花,80,0.08
踊り子,音楽,蝶,飛ぶ,32,0.032
踊り子,音楽,蝶,空,27,0.027
踊り子,音楽,NA,NA,375,0.375
音楽,スカート,舞う,女性,22,0.022
音楽,スカート,儚い,舞う,6,0.006
音楽,スカート,儚い,羽,25,0.025
音楽,スカート,女性,空,35,0.035
音楽,スカート,儚い,飛ぶ,14,0.014
音楽,スカート,美しい,女性,40,0.04
音楽,スカート,女性,飛ぶ,56,0.056
音楽,スカート,美しい,羽,30,0.03
音楽,スカート,女性,美しい,22,0.022
音楽,スカート,女性,羽,8,0.008
音楽,スカート,舞う,羽,9,0.009
音楽,スカート,儚い,美しい,15,0.015
音楽,スカート,花,女性,28,0.028
音楽,スカート,美しい,空,43,0.043
音楽,スカート,女性,舞う,33,0.033
音楽,スカート,飛ぶ,女性,16,0.016
音楽,スカート,美しい,花,12,0.012
音楽,スカート,飛ぶ,美しい,7,0.007
音楽,スカート,儚い,女性,44,0.044
音楽,スカート,空,美しい,12,0.012
音楽,スカート,美しい,舞う,16,0.016
音楽,スカート,花,飛ぶ,12,0.012
音楽,スカート,舞う,美しい,4,0.004
音楽,スカート,空,女性,9,0.009
音楽,スカート,女性,花,11,0.011
音楽,スカート,花,羽,7,0.007
音楽,スカート,花,舞う,7,0.007
音楽,スカート,花,美しい,11,0.011
音楽,スカート,美しい,儚い,4,0.004
音楽,スカート,飛ぶ,羽,3,0.003
音楽,スカート,美しい,飛ぶ,8,0.008
音楽,スカート,儚い,空,6,0.006
音楽,スカート,花,空,13,0.013
音楽,スカート,女性,儚い,9,0.009
音楽,スカート,空,儚い,2,0.002
音楽,スカート,花,儚い,2,0.002
音楽,スカート,舞う,花,2,0.002
音楽,スカート,儚い,花,5,0.005
音楽,スカート,飛ぶ,花,3,0.003
音楽,スカート,飛ぶ,儚い,2,0.002
音楽,スカート,空,舞う,1,0.001
音楽,スカート,舞う,空,5,0.005
音楽,スカート,飛ぶ,舞う,1,0.001
音楽,スカート,空,飛ぶ,2,0.002
音楽,スカート,空,羽,1,0.001
音楽,スカート,舞う,飛ぶ,2,0.002
音楽,スカート,NA,NA,375,0.375
