B_dom,B_cod,A_dom,A_cod,count,probability
踊り子,舞台,蝶,空,69,0.069
踊り子,舞台,蝶,飛ぶ,56,0.056
踊り子,舞台,蝶,女性,41,0.041
踊り子,舞台,蝶,花,43,0.043
踊り子,舞台,蝶,儚い,91,0.091
踊り子,舞台,蝶,美しい,79,0.079
踊り子,舞台,蝶,舞う,123,0.123
踊り子,舞台,蝶,羽,21,0.021
踊り子,舞台,NA,NA,477,0.477
踊り子,音楽,蝶,儚い,83,0.083
踊り子,音楽,蝶,花,57,0.057
踊り子,音楽,蝶,美しい,164,0.164
踊り子,音楽,蝶,女性,137,0.137
踊り子,音楽,蝶,飛ぶ,22,0.022
踊り子,音楽,蝶,空,33,0.033
踊り子,音楽,蝶,舞う,27,0.027
踊り子,音楽,NA,NA,477,0.477
音楽,舞台,儚い,空,18,0.018
音楽,舞台,花,飛ぶ,12,0.012
音楽,舞台,儚い,女性,6,0.006
音楽,舞台,美しい,花,10,0.01
音楽,舞台,女性,儚い,40,0.04
音楽,舞台,美しい,女性,21,0.021
音楽,舞台,女性,美しい,39,0.039
音楽,舞台,儚い,飛ぶ,10,0.01
音楽,舞台,美しい,空,24,0.024
音楽,舞台,儚い,舞う,21,0.021
音楽,舞台,美しい,儚い,23,0.023
音楽,舞台,美しい,舞う,53,0.053
音楽,舞台,女性,飛ぶ,9,0.009
音楽,舞台,飛ぶ,舞う,3,0.003
音楽,舞台,花,儚い,10,0.01
音楽,舞台,花,舞う,6,0.006
音楽,舞台,儚い,花,17,0.017
音楽,舞台,女性,舞う,34,0.034
音楽,舞台,儚い,美しい,9,0.009
音楽,舞台,飛ぶ,儚い,8,0.008
音楽,舞台,花,美しい,11,0.011
音楽,舞台,花,女性,7,0.007
音楽,舞台,花,空,11,0.011
音楽,舞台,美しい,飛ぶ,23,0.023
音楽,舞台,空,舞う,6,0.006
音楽,舞台,空,儚い,7,0.007
音楽,舞台,美しい,羽,10,0.01
音楽,舞台,空,女性,3,0.003
音楽,舞台,舞う,女性,4,0.004
音楽,舞台,舞う,美しい,6,0.006
音楽,舞台,舞う,羽,4,0.004
音楽,舞台,舞う,儚い,3,0.003
音楽,舞台,空,飛ぶ,1,0.001
音楽,舞台,飛ぶ,花,3,0.003
音楽,舞台,空,美しい,10,0.01
音楽,舞台,女性,花,8,0.008
音楽,舞台,儚い,羽,2,0.002
音楽,舞台,女性,空,5,0.005
音楽,舞台,飛ぶ,羽,2,0.002
音楽,舞台,舞う,飛ぶ,1,0.001
音楽,舞台,空,花,5,0.005
音楽,舞台,舞う,空,9,0.009
音楽,舞台,飛ぶ,空,2,0.002
音楽,舞台,飛ぶ,美しい,4,0.004
音楽,舞台,空,羽,1,0.001
音楽,舞台,女性,羽,2,0.002
音楽,舞台,NA,NA,477,0.477
