B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Parisara	Illana	Dan_Miracola	37	0.037
Abounding_Grace	Parisara	Illana	Jenna_Werdell	83	0.083
Abounding_Grace	Parisara	Illana	Chabad_rabbi	104	0.104
Abounding_Grace	Parisara	Illana	Thaye	281	0.281
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	69	0.069
Abounding_Grace	Parisara	Illana	Patrice_Luzi	76	0.076
Abounding_Grace	Parisara	Illana	Guttierrez	87	0.087
Abounding_Grace	Parisara	Illana	SUNDOWNS	57	0.057
Abounding_Grace	Parisara	NA	NA	206	0.206
Abounding_Grace	ATWOOD	Illana	SUNDOWNS	106	0.106
Abounding_Grace	ATWOOD	Illana	Patrice_Luzi	59	0.059
Abounding_Grace	ATWOOD	Illana	Thaye	56	0.056
Abounding_Grace	ATWOOD	Illana	Guttierrez	171	0.171
Abounding_Grace	ATWOOD	Illana	Trygve_Olson_cartoon	97	0.097
Abounding_Grace	ATWOOD	Illana	Jenna_Werdell	166	0.166
Abounding_Grace	ATWOOD	Illana	Dan_Miracola	119	0.119
Abounding_Grace	ATWOOD	Illana	Chabad_rabbi	20	0.02
Abounding_Grace	ATWOOD	NA	NA	206	0.206
ATWOOD	Parisara	SUNDOWNS	Dan_Miracola	14	0.014
ATWOOD	Parisara	Patrice_Luzi	Jenna_Werdell	26	0.026
ATWOOD	Parisara	Thaye	Chabad_rabbi	5	0.005
ATWOOD	Parisara	Thaye	Dan_Miracola	6	0.006
ATWOOD	Parisara	Guttierrez	Thaye	97	0.097
ATWOOD	Parisara	SUNDOWNS	Trygve_Olson_cartoon	6	0.006
ATWOOD	Parisara	Guttierrez	Chabad_rabbi	15	0.015
ATWOOD	Parisara	Trygve_Olson_cartoon	Thaye	16	0.016
ATWOOD	Parisara	Patrice_Luzi	Chabad_rabbi	5	0.005
ATWOOD	Parisara	Jenna_Werdell	Patrice_Luzi	50	0.05
ATWOOD	Parisara	Dan_Miracola	Thaye	68	0.068
ATWOOD	Parisara	SUNDOWNS	Thaye	40	0.04
ATWOOD	Parisara	SUNDOWNS	Jenna_Werdell	14	0.014
ATWOOD	Parisara	Jenna_Werdell	Thaye	50	0.05
ATWOOD	Parisara	Thaye	Trygve_Olson_cartoon	4	0.004
ATWOOD	Parisara	Jenna_Werdell	Chabad_rabbi	25	0.025
ATWOOD	Parisara	Dan_Miracola	Chabad_rabbi	25	0.025
ATWOOD	Parisara	Thaye	Guttierrez	15	0.015
ATWOOD	Parisara	Trygve_Olson_cartoon	Dan_Miracola	7	0.007
ATWOOD	Parisara	Thaye	SUNDOWNS	7	0.007
ATWOOD	Parisara	Trygve_Olson_cartoon	Guttierrez	25	0.025
ATWOOD	Parisara	Chabad_rabbi	Dan_Miracola	4	0.004
ATWOOD	Parisara	SUNDOWNS	Guttierrez	25	0.025
ATWOOD	Parisara	Dan_Miracola	Trygve_Olson_cartoon	9	0.009
ATWOOD	Parisara	Guttierrez	Trygve_Olson_cartoon	22	0.022
ATWOOD	Parisara	Jenna_Werdell	Guttierrez	11	0.011
ATWOOD	Parisara	Jenna_Werdell	SUNDOWNS	15	0.015
ATWOOD	Parisara	Guttierrez	Patrice_Luzi	7	0.007
ATWOOD	Parisara	Trygve_Olson_cartoon	Chabad_rabbi	24	0.024
ATWOOD	Parisara	Dan_Miracola	SUNDOWNS	11	0.011
ATWOOD	Parisara	Thaye	Patrice_Luzi	4	0.004
ATWOOD	Parisara	Trygve_Olson_cartoon	SUNDOWNS	4	0.004
ATWOOD	Parisara	Jenna_Werdell	Dan_Miracola	3	0.003
ATWOOD	Parisara	Trygve_Olson_cartoon	Patrice_Luzi	11	0.011
ATWOOD	Parisara	Patrice_Luzi	Trygve_Olson_cartoon	11	0.011
ATWOOD	Parisara	Thaye	Jenna_Werdell	15	0.015
ATWOOD	Parisara	Chabad_rabbi	Trygve_Olson_cartoon	5	0.005
ATWOOD	Parisara	Guttierrez	SUNDOWNS	18	0.018
ATWOOD	Parisara	Chabad_rabbi	Jenna_Werdell	6	0.006
ATWOOD	Parisara	Jenna_Werdell	Trygve_Olson_cartoon	12	0.012
ATWOOD	Parisara	Guttierrez	Dan_Miracola	3	0.003
ATWOOD	Parisara	Patrice_Luzi	Thaye	9	0.009
ATWOOD	Parisara	Trygve_Olson_cartoon	Jenna_Werdell	10	0.01
ATWOOD	Parisara	Chabad_rabbi	Guttierrez	4	0.004
ATWOOD	Parisara	SUNDOWNS	Patrice_Luzi	2	0.002
ATWOOD	Parisara	Dan_Miracola	Jenna_Werdell	3	0.003
ATWOOD	Parisara	Guttierrez	Jenna_Werdell	9	0.009
ATWOOD	Parisara	Dan_Miracola	Patrice_Luzi	2	0.002
ATWOOD	Parisara	SUNDOWNS	Chabad_rabbi	5	0.005
ATWOOD	Parisara	Chabad_rabbi	Thaye	1	0.001
ATWOOD	Parisara	Dan_Miracola	Guttierrez	1	0.001
ATWOOD	Parisara	Patrice_Luzi	SUNDOWNS	2	0.002
ATWOOD	Parisara	Patrice_Luzi	Guttierrez	6	0.006
ATWOOD	Parisara	NA	NA	206	0.206
