B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	ATWOOD	Illana	Dan_Miracola	128	0.128
Abounding_Grace	ATWOOD	Illana	SUNDOWNS	201	0.201
Abounding_Grace	ATWOOD	Illana	Trygve_Olson_cartoon	125	0.125
Abounding_Grace	ATWOOD	Illana	Jenna_Werdell	251	0.251
Abounding_Grace	ATWOOD	Illana	Patrice_Luzi	76	0.076
Abounding_Grace	ATWOOD	Illana	Thaye	49	0.049
Abounding_Grace	ATWOOD	Illana	Guttierrez	48	0.048
Abounding_Grace	ATWOOD	Illana	Chabad_rabbi	2	0.002
Abounding_Grace	ATWOOD	NA	NA	120	0.12
Abounding_Grace	Trygve_Olson_cartoon	Illana	Trygve_Olson_cartoon	275	0.275
Abounding_Grace	Trygve_Olson_cartoon	Illana	Thaye	29	0.029
Abounding_Grace	Trygve_Olson_cartoon	Illana	Jenna_Werdell	119	0.119
Abounding_Grace	Trygve_Olson_cartoon	Illana	SUNDOWNS	253	0.253
Abounding_Grace	Trygve_Olson_cartoon	Illana	Dan_Miracola	94	0.094
Abounding_Grace	Trygve_Olson_cartoon	Illana	Patrice_Luzi	90	0.09
Abounding_Grace	Trygve_Olson_cartoon	Illana	Guttierrez	19	0.019
Abounding_Grace	Trygve_Olson_cartoon	Illana	Chabad_rabbi	1	0.001
Abounding_Grace	Trygve_Olson_cartoon	NA	NA	120	0.12
ATWOOD	Trygve_Olson_cartoon	Dan_Miracola	Trygve_Olson_cartoon	43	0.043
ATWOOD	Trygve_Olson_cartoon	SUNDOWNS	Trygve_Olson_cartoon	72	0.072
ATWOOD	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Thaye	27	0.027
ATWOOD	Trygve_Olson_cartoon	SUNDOWNS	Jenna_Werdell	101	0.101
ATWOOD	Trygve_Olson_cartoon	Jenna_Werdell	SUNDOWNS	170	0.17
ATWOOD	Trygve_Olson_cartoon	Patrice_Luzi	Dan_Miracola	35	0.035
ATWOOD	Trygve_Olson_cartoon	SUNDOWNS	Patrice_Luzi	28	0.028
ATWOOD	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Jenna_Werdell	13	0.013
ATWOOD	Trygve_Olson_cartoon	Trygve_Olson_cartoon	SUNDOWNS	42	0.042
ATWOOD	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Dan_Miracola	24	0.024
ATWOOD	Trygve_Olson_cartoon	Thaye	Trygve_Olson_cartoon	49	0.049
ATWOOD	Trygve_Olson_cartoon	Patrice_Luzi	Trygve_Olson_cartoon	23	0.023
ATWOOD	Trygve_Olson_cartoon	Dan_Miracola	Patrice_Luzi	44	0.044
ATWOOD	Trygve_Olson_cartoon	Guttierrez	Trygve_Olson_cartoon	7	0.007
ATWOOD	Trygve_Olson_cartoon	Jenna_Werdell	Trygve_Olson_cartoon	81	0.081
ATWOOD	Trygve_Olson_cartoon	Guttierrez	Dan_Miracola	35	0.035
ATWOOD	Trygve_Olson_cartoon	Patrice_Luzi	SUNDOWNS	18	0.018
ATWOOD	Trygve_Olson_cartoon	Dan_Miracola	SUNDOWNS	23	0.023
ATWOOD	Trygve_Olson_cartoon	Dan_Miracola	Guttierrez	18	0.018
ATWOOD	Trygve_Olson_cartoon	Chabad_rabbi	Thaye	2	0.002
ATWOOD	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Patrice_Luzi	17	0.017
ATWOOD	Trygve_Olson_cartoon	Guttierrez	Patrice_Luzi	1	0.001
ATWOOD	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Chabad_rabbi	1	0.001
ATWOOD	Trygve_Olson_cartoon	Guttierrez	Jenna_Werdell	5	0.005
ATWOOD	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Guttierrez	1	0.001
ATWOOD	Trygve_Olson_cartoon	NA	NA	120	0.12
