B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	ATWOOD	Illana	Dan_Miracola	65	0.065
Abounding_Grace	ATWOOD	Illana	SUNDOWNS	68	0.068
Abounding_Grace	ATWOOD	Illana	Trygve_Olson_cartoon	148	0.148
Abounding_Grace	ATWOOD	Illana	Guttierrez	69	0.069
Abounding_Grace	ATWOOD	Illana	Jenna_Werdell	117	0.117
Abounding_Grace	ATWOOD	Illana	Thaye	51	0.051
Abounding_Grace	ATWOOD	Illana	Patrice_Luzi	67	0.067
Abounding_Grace	ATWOOD	Illana	Chabad_rabbi	5	0.005
Abounding_Grace	ATWOOD	NA	NA	410	0.41
Abounding_Grace	chaplin	Illana	Thaye	71	0.071
Abounding_Grace	chaplin	Illana	SUNDOWNS	57	0.057
Abounding_Grace	chaplin	Illana	Chabad_rabbi	133	0.133
Abounding_Grace	chaplin	Illana	Patrice_Luzi	93	0.093
Abounding_Grace	chaplin	Illana	Dan_Miracola	56	0.056
Abounding_Grace	chaplin	Illana	Guttierrez	35	0.035
Abounding_Grace	chaplin	Illana	Trygve_Olson_cartoon	92	0.092
Abounding_Grace	chaplin	Illana	Jenna_Werdell	53	0.053
Abounding_Grace	chaplin	NA	NA	410	0.41
ATWOOD	chaplin	Dan_Miracola	Thaye	5	0.005
ATWOOD	chaplin	Dan_Miracola	SUNDOWNS	23	0.023
ATWOOD	chaplin	SUNDOWNS	Chabad_rabbi	8	0.008
ATWOOD	chaplin	Trygve_Olson_cartoon	Patrice_Luzi	48	0.048
ATWOOD	chaplin	Guttierrez	Dan_Miracola	14	0.014
ATWOOD	chaplin	SUNDOWNS	Dan_Miracola	20	0.02
ATWOOD	chaplin	Dan_Miracola	Guttierrez	8	0.008
ATWOOD	chaplin	SUNDOWNS	Thaye	9	0.009
ATWOOD	chaplin	Dan_Miracola	Chabad_rabbi	20	0.02
ATWOOD	chaplin	Guttierrez	Chabad_rabbi	7	0.007
ATWOOD	chaplin	Jenna_Werdell	Chabad_rabbi	29	0.029
ATWOOD	chaplin	SUNDOWNS	Guttierrez	2	0.002
ATWOOD	chaplin	Jenna_Werdell	Patrice_Luzi	22	0.022
ATWOOD	chaplin	Guttierrez	Patrice_Luzi	16	0.016
ATWOOD	chaplin	Dan_Miracola	Trygve_Olson_cartoon	6	0.006
ATWOOD	chaplin	Trygve_Olson_cartoon	Chabad_rabbi	43	0.043
ATWOOD	chaplin	Guttierrez	Jenna_Werdell	15	0.015
ATWOOD	chaplin	Guttierrez	SUNDOWNS	7	0.007
ATWOOD	chaplin	SUNDOWNS	Jenna_Werdell	16	0.016
ATWOOD	chaplin	Trygve_Olson_cartoon	Thaye	36	0.036
ATWOOD	chaplin	Trygve_Olson_cartoon	Jenna_Werdell	5	0.005
ATWOOD	chaplin	Guttierrez	Trygve_Olson_cartoon	10	0.01
ATWOOD	chaplin	Jenna_Werdell	Guttierrez	13	0.013
ATWOOD	chaplin	Thaye	Chabad_rabbi	24	0.024
ATWOOD	chaplin	Patrice_Luzi	Guttierrez	8	0.008
ATWOOD	chaplin	Thaye	SUNDOWNS	7	0.007
ATWOOD	chaplin	Patrice_Luzi	Jenna_Werdell	13	0.013
ATWOOD	chaplin	Jenna_Werdell	Dan_Miracola	13	0.013
ATWOOD	chaplin	Chabad_rabbi	Dan_Miracola	1	0.001
ATWOOD	chaplin	Trygve_Olson_cartoon	SUNDOWNS	6	0.006
ATWOOD	chaplin	Patrice_Luzi	Trygve_Olson_cartoon	34	0.034
ATWOOD	chaplin	Jenna_Werdell	SUNDOWNS	12	0.012
ATWOOD	chaplin	SUNDOWNS	Trygve_Olson_cartoon	10	0.01
ATWOOD	chaplin	Trygve_Olson_cartoon	Dan_Miracola	6	0.006
ATWOOD	chaplin	Chabad_rabbi	Thaye	1	0.001
ATWOOD	chaplin	Thaye	Trygve_Olson_cartoon	16	0.016
ATWOOD	chaplin	Dan_Miracola	Jenna_Werdell	2	0.002
ATWOOD	chaplin	Patrice_Luzi	Thaye	7	0.007
ATWOOD	chaplin	Jenna_Werdell	Trygve_Olson_cartoon	15	0.015
ATWOOD	chaplin	Jenna_Werdell	Thaye	13	0.013
ATWOOD	chaplin	Thaye	Dan_Miracola	1	0.001
ATWOOD	chaplin	Thaye	Patrice_Luzi	2	0.002
ATWOOD	chaplin	SUNDOWNS	Patrice_Luzi	3	0.003
ATWOOD	chaplin	Patrice_Luzi	Chabad_rabbi	2	0.002
ATWOOD	chaplin	Chabad_rabbi	Trygve_Olson_cartoon	1	0.001
ATWOOD	chaplin	Thaye	Jenna_Werdell	1	0.001
ATWOOD	chaplin	Chabad_rabbi	Jenna_Werdell	1	0.001
ATWOOD	chaplin	Trygve_Olson_cartoon	Guttierrez	4	0.004
ATWOOD	chaplin	Patrice_Luzi	SUNDOWNS	2	0.002
ATWOOD	chaplin	Dan_Miracola	Patrice_Luzi	1	0.001
ATWOOD	chaplin	Patrice_Luzi	Dan_Miracola	1	0.001
ATWOOD	chaplin	Chabad_rabbi	Patrice_Luzi	1	0.001
ATWOOD	chaplin	NA	NA	410	0.41
