B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	ATWOOD	Illana	SUNDOWNS	172	0.172
Abounding_Grace	ATWOOD	Illana	Trygve_Olson_cartoon	171	0.171
Abounding_Grace	ATWOOD	Illana	Patrice_Luzi	91	0.091
Abounding_Grace	ATWOOD	Illana	Jenna_Werdell	184	0.184
Abounding_Grace	ATWOOD	Illana	Dan_Miracola	133	0.133
Abounding_Grace	ATWOOD	Illana	Guttierrez	34	0.034
Abounding_Grace	ATWOOD	Illana	Thaye	21	0.021
Abounding_Grace	ATWOOD	Illana	Chabad_rabbi	4	0.004
Abounding_Grace	ATWOOD	NA	NA	190	0.19
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	231	0.231
Abounding_Grace	Cruiz	Illana	Dan_Miracola	122	0.122
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	125	0.125
Abounding_Grace	Cruiz	Illana	SUNDOWNS	164	0.164
Abounding_Grace	Cruiz	Illana	Guttierrez	80	0.08
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	62	0.062
Abounding_Grace	Cruiz	Illana	Thaye	24	0.024
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	2	0.002
Abounding_Grace	Cruiz	NA	NA	190	0.19
Cruiz	ATWOOD	Trygve_Olson_cartoon	SUNDOWNS	79	0.079
Cruiz	ATWOOD	Dan_Miracola	Trygve_Olson_cartoon	47	0.047
Cruiz	ATWOOD	Patrice_Luzi	SUNDOWNS	55	0.055
Cruiz	ATWOOD	SUNDOWNS	Patrice_Luzi	42	0.042
Cruiz	ATWOOD	Guttierrez	Trygve_Olson_cartoon	14	0.014
Cruiz	ATWOOD	SUNDOWNS	Jenna_Werdell	48	0.048
Cruiz	ATWOOD	Patrice_Luzi	Jenna_Werdell	5	0.005
Cruiz	ATWOOD	Patrice_Luzi	Dan_Miracola	49	0.049
Cruiz	ATWOOD	Dan_Miracola	Guttierrez	8	0.008
Cruiz	ATWOOD	SUNDOWNS	Trygve_Olson_cartoon	64	0.064
Cruiz	ATWOOD	Trygve_Olson_cartoon	Jenna_Werdell	76	0.076
Cruiz	ATWOOD	Jenna_Werdell	Trygve_Olson_cartoon	23	0.023
Cruiz	ATWOOD	Dan_Miracola	Patrice_Luzi	30	0.03
Cruiz	ATWOOD	Dan_Miracola	SUNDOWNS	11	0.011
Cruiz	ATWOOD	Guttierrez	Dan_Miracola	24	0.024
Cruiz	ATWOOD	Thaye	SUNDOWNS	4	0.004
Cruiz	ATWOOD	Trygve_Olson_cartoon	Thaye	13	0.013
Cruiz	ATWOOD	Patrice_Luzi	Trygve_Olson_cartoon	8	0.008
Cruiz	ATWOOD	Jenna_Werdell	SUNDOWNS	19	0.019
Cruiz	ATWOOD	Thaye	Trygve_Olson_cartoon	15	0.015
Cruiz	ATWOOD	Dan_Miracola	Jenna_Werdell	25	0.025
Cruiz	ATWOOD	SUNDOWNS	Dan_Miracola	5	0.005
Cruiz	ATWOOD	Patrice_Luzi	Guttierrez	8	0.008
Cruiz	ATWOOD	Guttierrez	SUNDOWNS	4	0.004
Cruiz	ATWOOD	Trygve_Olson_cartoon	Chabad_rabbi	2	0.002
Cruiz	ATWOOD	Trygve_Olson_cartoon	Dan_Miracola	44	0.044
Cruiz	ATWOOD	Guttierrez	Jenna_Werdell	27	0.027
Cruiz	ATWOOD	Trygve_Olson_cartoon	Patrice_Luzi	9	0.009
Cruiz	ATWOOD	SUNDOWNS	Thaye	4	0.004
Cruiz	ATWOOD	Jenna_Werdell	Dan_Miracola	11	0.011
Cruiz	ATWOOD	Guttierrez	Chabad_rabbi	1	0.001
Cruiz	ATWOOD	Thaye	Guttierrez	1	0.001
Cruiz	ATWOOD	Guttierrez	Patrice_Luzi	9	0.009
Cruiz	ATWOOD	Thaye	Jenna_Werdell	3	0.003
Cruiz	ATWOOD	Jenna_Werdell	Guttierrez	8	0.008
Cruiz	ATWOOD	Trygve_Olson_cartoon	Guttierrez	8	0.008
Cruiz	ATWOOD	Thaye	Patrice_Luzi	1	0.001
Cruiz	ATWOOD	Jenna_Werdell	Thaye	1	0.001
Cruiz	ATWOOD	Dan_Miracola	Chabad_rabbi	1	0.001
Cruiz	ATWOOD	Chabad_rabbi	Thaye	2	0.002
Cruiz	ATWOOD	Guttierrez	Thaye	1	0.001
Cruiz	ATWOOD	SUNDOWNS	Guttierrez	1	0.001
Cruiz	ATWOOD	NA	NA	190	0.19
