B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Fishcreek_Road_Stow	Illana	Trygve_Olson_cartoon	233	0.233
Abounding_Grace	Fishcreek_Road_Stow	Illana	Dan_Miracola	166	0.166
Abounding_Grace	Fishcreek_Road_Stow	Illana	Jenna_Werdell	121	0.121
Abounding_Grace	Fishcreek_Road_Stow	Illana	SUNDOWNS	150	0.15
Abounding_Grace	Fishcreek_Road_Stow	Illana	Guttierrez	8	0.008
Abounding_Grace	Fishcreek_Road_Stow	Illana	Chabad_rabbi	28	0.028
Abounding_Grace	Fishcreek_Road_Stow	Illana	Patrice_Luzi	86	0.086
Abounding_Grace	Fishcreek_Road_Stow	Illana	Thaye	23	0.023
Abounding_Grace	Fishcreek_Road_Stow	NA	NA	185	0.185
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	77	0.077
Abounding_Grace	Cruiz	Illana	Dan_Miracola	128	0.128
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	90	0.09
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	8	0.008
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	227	0.227
Abounding_Grace	Cruiz	Illana	Guttierrez	87	0.087
Abounding_Grace	Cruiz	Illana	SUNDOWNS	173	0.173
Abounding_Grace	Cruiz	Illana	Thaye	25	0.025
Abounding_Grace	Cruiz	NA	NA	185	0.185
Cruiz	Fishcreek_Road_Stow	Jenna_Werdell	Trygve_Olson_cartoon	32	0.032
Cruiz	Fishcreek_Road_Stow	Dan_Miracola	Trygve_Olson_cartoon	58	0.058
Cruiz	Fishcreek_Road_Stow	Patrice_Luzi	Dan_Miracola	42	0.042
Cruiz	Fishcreek_Road_Stow	Chabad_rabbi	Jenna_Werdell	2	0.002
Cruiz	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Jenna_Werdell	39	0.039
Cruiz	Fishcreek_Road_Stow	Guttierrez	Trygve_Olson_cartoon	14	0.014
Cruiz	Fishcreek_Road_Stow	Trygve_Olson_cartoon	SUNDOWNS	86	0.086
Cruiz	Fishcreek_Road_Stow	SUNDOWNS	Trygve_Olson_cartoon	106	0.106
Cruiz	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Guttierrez	1	0.001
Cruiz	Fishcreek_Road_Stow	Guttierrez	Dan_Miracola	28	0.028
Cruiz	Fishcreek_Road_Stow	Patrice_Luzi	SUNDOWNS	32	0.032
Cruiz	Fishcreek_Road_Stow	Jenna_Werdell	Dan_Miracola	15	0.015
Cruiz	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Dan_Miracola	68	0.068
Cruiz	Fishcreek_Road_Stow	Guttierrez	Chabad_rabbi	3	0.003
Cruiz	Fishcreek_Road_Stow	Dan_Miracola	Patrice_Luzi	37	0.037
Cruiz	Fishcreek_Road_Stow	Guttierrez	Jenna_Werdell	20	0.02
Cruiz	Fishcreek_Road_Stow	Patrice_Luzi	Guttierrez	2	0.002
Cruiz	Fishcreek_Road_Stow	Dan_Miracola	Jenna_Werdell	16	0.016
Cruiz	Fishcreek_Road_Stow	SUNDOWNS	Patrice_Luzi	16	0.016
Cruiz	Fishcreek_Road_Stow	SUNDOWNS	Dan_Miracola	11	0.011
Cruiz	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Thaye	11	0.011
Cruiz	Fishcreek_Road_Stow	Guttierrez	Patrice_Luzi	17	0.017
Cruiz	Fishcreek_Road_Stow	SUNDOWNS	Jenna_Werdell	37	0.037
Cruiz	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Chabad_rabbi	11	0.011
Cruiz	Fishcreek_Road_Stow	Thaye	Trygve_Olson_cartoon	11	0.011
Cruiz	Fishcreek_Road_Stow	Trygve_Olson_cartoon	Patrice_Luzi	11	0.011
Cruiz	Fishcreek_Road_Stow	Dan_Miracola	Chabad_rabbi	5	0.005
Cruiz	Fishcreek_Road_Stow	Jenna_Werdell	SUNDOWNS	19	0.019
Cruiz	Fishcreek_Road_Stow	Jenna_Werdell	Thaye	3	0.003
Cruiz	Fishcreek_Road_Stow	Chabad_rabbi	Trygve_Olson_cartoon	5	0.005
Cruiz	Fishcreek_Road_Stow	Thaye	SUNDOWNS	3	0.003
