B_dom	B_cod	A_dom	A_cod	count	probability
Cruiz	Jenna_Werdell	Thaye	Trygve_Olson_cartoon	25	0.025
Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	Thaye	46	0.046
Cruiz	Jenna_Werdell	SUNDOWNS	Dan_Miracola	136	0.136
Cruiz	Jenna_Werdell	Dan_Miracola	Jenna_Werdell	7	0.007
Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	Dan_Miracola	21	0.021
Cruiz	Jenna_Werdell	Patrice_Luzi	Guttierrez	14	0.014
Cruiz	Jenna_Werdell	Guttierrez	Dan_Miracola	108	0.108
Cruiz	Jenna_Werdell	Patrice_Luzi	Jenna_Werdell	27	0.027
Cruiz	Jenna_Werdell	Patrice_Luzi	Trygve_Olson_cartoon	55	0.055
Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	Chabad_rabbi	7	0.007
Cruiz	Jenna_Werdell	Guttierrez	Jenna_Werdell	126	0.126
Cruiz	Jenna_Werdell	Thaye	SUNDOWNS	9	0.009
Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	Patrice_Luzi	56	0.056
Cruiz	Jenna_Werdell	Dan_Miracola	Trygve_Olson_cartoon	10	0.01
Cruiz	Jenna_Werdell	SUNDOWNS	Jenna_Werdell	39	0.039
Cruiz	Jenna_Werdell	Dan_Miracola	Guttierrez	25	0.025
Cruiz	Jenna_Werdell	Thaye	Jenna_Werdell	16	0.016
Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	Guttierrez	8	0.008
Cruiz	Jenna_Werdell	Dan_Miracola	SUNDOWNS	80	0.08
Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	Jenna_Werdell	19	0.019
Cruiz	Jenna_Werdell	Guttierrez	Patrice_Luzi	18	0.018
Cruiz	Jenna_Werdell	Jenna_Werdell	Dan_Miracola	4	0.004
Cruiz	Jenna_Werdell	Jenna_Werdell	Guttierrez	9	0.009
Cruiz	Jenna_Werdell	Trygve_Olson_cartoon	SUNDOWNS	8	0.008
Cruiz	Jenna_Werdell	Chabad_rabbi	Trygve_Olson_cartoon	1	0.001
Cruiz	Jenna_Werdell	Jenna_Werdell	Thaye	3	0.003
Cruiz	Jenna_Werdell	Jenna_Werdell	Chabad_rabbi	1	0.001
Cruiz	Jenna_Werdell	Jenna_Werdell	SUNDOWNS	7	0.007
Cruiz	Jenna_Werdell	Jenna_Werdell	Patrice_Luzi	4	0.004
Cruiz	Jenna_Werdell	SUNDOWNS	Thaye	5	0.005
Cruiz	Jenna_Werdell	Dan_Miracola	Patrice_Luzi	1	0.001
Cruiz	Jenna_Werdell	Jenna_Werdell	Trygve_Olson_cartoon	2	0.002
Cruiz	Jenna_Werdell	Dan_Miracola	Thaye	3	0.003
Cruiz	Jenna_Werdell	Chabad_rabbi	Thaye	1	0.001
Cruiz	Jenna_Werdell	Chabad_rabbi	Guttierrez	1	0.001
Cruiz	Jenna_Werdell	NA	NA	98	0.098
Abounding_Grace	Jenna_Werdell	Illana	Trygve_Olson_cartoon	93	0.093
Abounding_Grace	Jenna_Werdell	Illana	Thaye	58	0.058
Abounding_Grace	Jenna_Werdell	Illana	Dan_Miracola	269	0.269
Abounding_Grace	Jenna_Werdell	Illana	Jenna_Werdell	234	0.234
Abounding_Grace	Jenna_Werdell	Illana	Guttierrez	57	0.057
Abounding_Grace	Jenna_Werdell	Illana	Chabad_rabbi	8	0.008
Abounding_Grace	Jenna_Werdell	Illana	SUNDOWNS	104	0.104
Abounding_Grace	Jenna_Werdell	Illana	Patrice_Luzi	79	0.079
Abounding_Grace	Jenna_Werdell	NA	NA	98	0.098
Abounding_Grace	Cruiz	Illana	Thaye	50	0.05
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	165	0.165
Abounding_Grace	Cruiz	Illana	SUNDOWNS	180	0.18
Abounding_Grace	Cruiz	Illana	Dan_Miracola	126	0.126
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	96	0.096
Abounding_Grace	Cruiz	Illana	Guttierrez	252	0.252
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	30	0.03
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	3	0.003
Abounding_Grace	Cruiz	NA	NA	98	0.098
