B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Oneco_Elementary	Illana	Jenna_Werdell	185	0.185
Abounding_Grace	Oneco_Elementary	Illana	Dan_Miracola	181	0.181
Abounding_Grace	Oneco_Elementary	Illana	Guttierrez	55	0.055
Abounding_Grace	Oneco_Elementary	Illana	Chabad_rabbi	31	0.031
Abounding_Grace	Oneco_Elementary	Illana	Trygve_Olson_cartoon	126	0.126
Abounding_Grace	Oneco_Elementary	Illana	SUNDOWNS	81	0.081
Abounding_Grace	Oneco_Elementary	Illana	Patrice_Luzi	53	0.053
Abounding_Grace	Oneco_Elementary	Illana	Thaye	34	0.034
Abounding_Grace	Oneco_Elementary	NA	NA	254	0.254
Abounding_Grace	Cruiz	Illana	Guttierrez	116	0.116
Abounding_Grace	Cruiz	Illana	SUNDOWNS	165	0.165
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	97	0.097
Abounding_Grace	Cruiz	Illana	Dan_Miracola	111	0.111
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	151	0.151
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	68	0.068
Abounding_Grace	Cruiz	Illana	Thaye	36	0.036
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	2	0.002
Abounding_Grace	Cruiz	NA	NA	254	0.254
Cruiz	Oneco_Elementary	Guttierrez	Jenna_Werdell	17	0.017
Cruiz	Oneco_Elementary	Guttierrez	Dan_Miracola	69	0.069
Cruiz	Oneco_Elementary	SUNDOWNS	Jenna_Werdell	93	0.093
Cruiz	Oneco_Elementary	Patrice_Luzi	Dan_Miracola	58	0.058
Cruiz	Oneco_Elementary	Dan_Miracola	Guttierrez	32	0.032
Cruiz	Oneco_Elementary	Trygve_Olson_cartoon	Jenna_Werdell	49	0.049
Cruiz	Oneco_Elementary	Jenna_Werdell	Guttierrez	5	0.005
Cruiz	Oneco_Elementary	Trygve_Olson_cartoon	Chabad_rabbi	9	0.009
Cruiz	Oneco_Elementary	Jenna_Werdell	Trygve_Olson_cartoon	19	0.019
Cruiz	Oneco_Elementary	Trygve_Olson_cartoon	SUNDOWNS	19	0.019
Cruiz	Oneco_Elementary	SUNDOWNS	Trygve_Olson_cartoon	36	0.036
Cruiz	Oneco_Elementary	Guttierrez	Chabad_rabbi	9	0.009
Cruiz	Oneco_Elementary	Trygve_Olson_cartoon	Patrice_Luzi	17	0.017
Cruiz	Oneco_Elementary	SUNDOWNS	Dan_Miracola	16	0.016
Cruiz	Oneco_Elementary	Trygve_Olson_cartoon	Guttierrez	7	0.007
Cruiz	Oneco_Elementary	Jenna_Werdell	Thaye	5	0.005
Cruiz	Oneco_Elementary	Guttierrez	Patrice_Luzi	3	0.003
Cruiz	Oneco_Elementary	Patrice_Luzi	Jenna_Werdell	2	0.002
Cruiz	Oneco_Elementary	Patrice_Luzi	Trygve_Olson_cartoon	15	0.015
Cruiz	Oneco_Elementary	Dan_Miracola	Trygve_Olson_cartoon	22	0.022
Cruiz	Oneco_Elementary	Dan_Miracola	Jenna_Werdell	22	0.022
Cruiz	Oneco_Elementary	Jenna_Werdell	SUNDOWNS	30	0.03
Cruiz	Oneco_Elementary	Guttierrez	Trygve_Olson_cartoon	13	0.013
Cruiz	Oneco_Elementary	Trygve_Olson_cartoon	Thaye	21	0.021
Cruiz	Oneco_Elementary	Dan_Miracola	Patrice_Luzi	15	0.015
Cruiz	Oneco_Elementary	Jenna_Werdell	Dan_Miracola	6	0.006
Cruiz	Oneco_Elementary	Thaye	SUNDOWNS	4	0.004
Cruiz	Oneco_Elementary	SUNDOWNS	Patrice_Luzi	16	0.016
Cruiz	Oneco_Elementary	Patrice_Luzi	Thaye	1	0.001
Cruiz	Oneco_Elementary	Trygve_Olson_cartoon	Dan_Miracola	29	0.029
Cruiz	Oneco_Elementary	Patrice_Luzi	Guttierrez	8	0.008
Cruiz	Oneco_Elementary	Patrice_Luzi	SUNDOWNS	13	0.013
Cruiz	Oneco_Elementary	Dan_Miracola	SUNDOWNS	12	0.012
Cruiz	Oneco_Elementary	Guttierrez	Thaye	2	0.002
Cruiz	Oneco_Elementary	Thaye	Jenna_Werdell	2	0.002
Cruiz	Oneco_Elementary	Thaye	Trygve_Olson_cartoon	21	0.021
Cruiz	Oneco_Elementary	Thaye	Chabad_rabbi	5	0.005
Cruiz	Oneco_Elementary	Thaye	Dan_Miracola	2	0.002
Cruiz	Oneco_Elementary	Guttierrez	SUNDOWNS	3	0.003
Cruiz	Oneco_Elementary	Dan_Miracola	Chabad_rabbi	6	0.006
Cruiz	Oneco_Elementary	Jenna_Werdell	Chabad_rabbi	2	0.002
Cruiz	Oneco_Elementary	Chabad_rabbi	Dan_Miracola	1	0.001
Cruiz	Oneco_Elementary	Chabad_rabbi	Guttierrez	1	0.001
Cruiz	Oneco_Elementary	SUNDOWNS	Thaye	3	0.003
Cruiz	Oneco_Elementary	Thaye	Patrice_Luzi	1	0.001
Cruiz	Oneco_Elementary	Jenna_Werdell	Patrice_Luzi	1	0.001
Cruiz	Oneco_Elementary	Thaye	Guttierrez	1	0.001
Cruiz	Oneco_Elementary	Dan_Miracola	Thaye	2	0.002
Cruiz	Oneco_Elementary	SUNDOWNS	Guttierrez	1	0.001
Cruiz	Oneco_Elementary	NA	NA	254	0.254
