B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	Parisara	Illana	Jenna_Werdell	175	0.175
Abounding_Grace	Parisara	Illana	Dan_Miracola	23	0.023
Abounding_Grace	Parisara	Illana	Thaye	230	0.23
Abounding_Grace	Parisara	Illana	Trygve_Olson_cartoon	96	0.096
Abounding_Grace	Parisara	Illana	SUNDOWNS	73	0.073
Abounding_Grace	Parisara	Illana	Chabad_rabbi	40	0.04
Abounding_Grace	Parisara	Illana	Patrice_Luzi	85	0.085
Abounding_Grace	Parisara	Illana	Guttierrez	86	0.086
Abounding_Grace	Parisara	NA	NA	192	0.192
Abounding_Grace	Cruiz	Illana	Guttierrez	282	0.282
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	94	0.094
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	100	0.1
Abounding_Grace	Cruiz	Illana	SUNDOWNS	120	0.12
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	83	0.083
Abounding_Grace	Cruiz	Illana	Dan_Miracola	66	0.066
Abounding_Grace	Cruiz	Illana	Thaye	52	0.052
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	11	0.011
Abounding_Grace	Cruiz	NA	NA	192	0.192
Cruiz	Parisara	Guttierrez	Jenna_Werdell	128	0.128
Cruiz	Parisara	Guttierrez	Dan_Miracola	8	0.008
Cruiz	Parisara	Trygve_Olson_cartoon	Jenna_Werdell	10	0.01
Cruiz	Parisara	Patrice_Luzi	Thaye	36	0.036
Cruiz	Parisara	SUNDOWNS	Jenna_Werdell	14	0.014
Cruiz	Parisara	Patrice_Luzi	Trygve_Olson_cartoon	15	0.015
Cruiz	Parisara	Jenna_Werdell	SUNDOWNS	4	0.004
Cruiz	Parisara	Jenna_Werdell	Thaye	31	0.031
Cruiz	Parisara	Guttierrez	Chabad_rabbi	4	0.004
Cruiz	Parisara	Dan_Miracola	Thaye	33	0.033
Cruiz	Parisara	Trygve_Olson_cartoon	Chabad_rabbi	17	0.017
Cruiz	Parisara	Thaye	SUNDOWNS	26	0.026
Cruiz	Parisara	Guttierrez	Patrice_Luzi	57	0.057
Cruiz	Parisara	SUNDOWNS	Thaye	90	0.09
Cruiz	Parisara	Trygve_Olson_cartoon	Patrice_Luzi	8	0.008
Cruiz	Parisara	Jenna_Werdell	Chabad_rabbi	4	0.004
Cruiz	Parisara	Dan_Miracola	SUNDOWNS	16	0.016
Cruiz	Parisara	Jenna_Werdell	Guttierrez	27	0.027
Cruiz	Parisara	Jenna_Werdell	Patrice_Luzi	12	0.012
Cruiz	Parisara	Dan_Miracola	Trygve_Olson_cartoon	6	0.006
Cruiz	Parisara	Guttierrez	Trygve_Olson_cartoon	61	0.061
Cruiz	Parisara	Trygve_Olson_cartoon	Dan_Miracola	2	0.002
Cruiz	Parisara	Trygve_Olson_cartoon	Thaye	27	0.027
Cruiz	Parisara	Patrice_Luzi	Jenna_Werdell	14	0.014
Cruiz	Parisara	SUNDOWNS	Patrice_Luzi	2	0.002
Cruiz	Parisara	Trygve_Olson_cartoon	Guttierrez	21	0.021
Cruiz	Parisara	Trygve_Olson_cartoon	SUNDOWNS	9	0.009
Cruiz	Parisara	Guttierrez	Thaye	7	0.007
Cruiz	Parisara	SUNDOWNS	Trygve_Olson_cartoon	6	0.006
Cruiz	Parisara	Thaye	Dan_Miracola	5	0.005
Cruiz	Parisara	Thaye	Chabad_rabbi	8	0.008
Cruiz	Parisara	Jenna_Werdell	Trygve_Olson_cartoon	3	0.003
Cruiz	Parisara	Chabad_rabbi	Trygve_Olson_cartoon	3	0.003
Cruiz	Parisara	Chabad_rabbi	Thaye	6	0.006
Cruiz	Parisara	Guttierrez	SUNDOWNS	17	0.017
Cruiz	Parisara	Thaye	Jenna_Werdell	4	0.004
Cruiz	Parisara	Dan_Miracola	Jenna_Werdell	3	0.003
Cruiz	Parisara	Patrice_Luzi	Guttierrez	32	0.032
Cruiz	Parisara	SUNDOWNS	Dan_Miracola	4	0.004
Cruiz	Parisara	Dan_Miracola	Patrice_Luzi	1	0.001
Cruiz	Parisara	Dan_Miracola	Chabad_rabbi	7	0.007
Cruiz	Parisara	SUNDOWNS	Guttierrez	4	0.004
Cruiz	Parisara	Thaye	Guttierrez	2	0.002
Cruiz	Parisara	Thaye	Trygve_Olson_cartoon	2	0.002
Cruiz	Parisara	Jenna_Werdell	Dan_Miracola	2	0.002
Cruiz	Parisara	Thaye	Patrice_Luzi	5	0.005
Cruiz	Parisara	Chabad_rabbi	Jenna_Werdell	2	0.002
Cruiz	Parisara	Patrice_Luzi	Dan_Miracola	2	0.002
Cruiz	Parisara	Patrice_Luzi	SUNDOWNS	1	0.001
Cruiz	Parisara	NA	NA	192	0.192
