B_dom	B_cod	A_dom	A_cod	count	probability
Cruiz	Trygve_Olson_cartoon	Guttierrez	Trygve_Olson_cartoon	19	0.019
Cruiz	Trygve_Olson_cartoon	Dan_Miracola	Trygve_Olson_cartoon	234	0.234
Cruiz	Trygve_Olson_cartoon	Guttierrez	Dan_Miracola	36	0.036
Cruiz	Trygve_Olson_cartoon	Thaye	Trygve_Olson_cartoon	22	0.022
Cruiz	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Dan_Miracola	185	0.185
Cruiz	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Jenna_Werdell	80	0.08
Cruiz	Trygve_Olson_cartoon	Guttierrez	Jenna_Werdell	25	0.025
Cruiz	Trygve_Olson_cartoon	Jenna_Werdell	Trygve_Olson_cartoon	143	0.143
Cruiz	Trygve_Olson_cartoon	Guttierrez	Patrice_Luzi	13	0.013
Cruiz	Trygve_Olson_cartoon	Patrice_Luzi	Dan_Miracola	9	0.009
Cruiz	Trygve_Olson_cartoon	SUNDOWNS	Trygve_Olson_cartoon	80	0.08
Cruiz	Trygve_Olson_cartoon	Patrice_Luzi	SUNDOWNS	17	0.017
Cruiz	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Thaye	11	0.011
Cruiz	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Patrice_Luzi	5	0.005
Cruiz	Trygve_Olson_cartoon	Trygve_Olson_cartoon	SUNDOWNS	22	0.022
Cruiz	Trygve_Olson_cartoon	Patrice_Luzi	Trygve_Olson_cartoon	15	0.015
Cruiz	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Guttierrez	1	0.001
Cruiz	Trygve_Olson_cartoon	Chabad_rabbi	Thaye	3	0.003
Cruiz	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Chabad_rabbi	1	0.001
Cruiz	Trygve_Olson_cartoon	Chabad_rabbi	Trygve_Olson_cartoon	1	0.001
Cruiz	Trygve_Olson_cartoon	NA	NA	78	0.078
Abounding_Grace	Trygve_Olson_cartoon	Illana	Trygve_Olson_cartoon	514	0.514
Abounding_Grace	Trygve_Olson_cartoon	Illana	Dan_Miracola	230	0.23
Abounding_Grace	Trygve_Olson_cartoon	Illana	Jenna_Werdell	105	0.105
Abounding_Grace	Trygve_Olson_cartoon	Illana	Patrice_Luzi	18	0.018
Abounding_Grace	Trygve_Olson_cartoon	Illana	SUNDOWNS	39	0.039
Abounding_Grace	Trygve_Olson_cartoon	Illana	Thaye	14	0.014
Abounding_Grace	Trygve_Olson_cartoon	Illana	Guttierrez	1	0.001
Abounding_Grace	Trygve_Olson_cartoon	Illana	Chabad_rabbi	1	0.001
Abounding_Grace	Trygve_Olson_cartoon	NA	NA	78	0.078
Abounding_Grace	Cruiz	Illana	Guttierrez	93	0.093
Abounding_Grace	Cruiz	Illana	Dan_Miracola	234	0.234
Abounding_Grace	Cruiz	Illana	Thaye	22	0.022
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	305	0.305
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	143	0.143
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	41	0.041
Abounding_Grace	Cruiz	Illana	SUNDOWNS	80	0.08
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	4	0.004
Abounding_Grace	Cruiz	NA	NA	78	0.078
