B_dom	B_cod	A_dom	A_cod	count	probability
Cruiz	chaplin	Thaye	Trygve_Olson_cartoon	4	0.004
Cruiz	chaplin	Guttierrez	Trygve_Olson_cartoon	52	0.052
Cruiz	chaplin	Guttierrez	Thaye	10	0.01
Cruiz	chaplin	Guttierrez	SUNDOWNS	32	0.032
Cruiz	chaplin	Guttierrez	Dan_Miracola	8	0.008
Cruiz	chaplin	Patrice_Luzi	Thaye	7	0.007
Cruiz	chaplin	Trygve_Olson_cartoon	Chabad_rabbi	93	0.093
Cruiz	chaplin	SUNDOWNS	Thaye	9	0.009
Cruiz	chaplin	Thaye	Dan_Miracola	8	0.008
Cruiz	chaplin	Dan_Miracola	Thaye	14	0.014
Cruiz	chaplin	Patrice_Luzi	SUNDOWNS	2	0.002
Cruiz	chaplin	Jenna_Werdell	Thaye	7	0.007
Cruiz	chaplin	Patrice_Luzi	Jenna_Werdell	20	0.02
Cruiz	chaplin	Chabad_rabbi	Dan_Miracola	1	0.001
Cruiz	chaplin	Dan_Miracola	Chabad_rabbi	43	0.043
Cruiz	chaplin	Guttierrez	Chabad_rabbi	19	0.019
Cruiz	chaplin	Chabad_rabbi	Jenna_Werdell	2	0.002
Cruiz	chaplin	Guttierrez	Jenna_Werdell	27	0.027
Cruiz	chaplin	Trygve_Olson_cartoon	Guttierrez	16	0.016
Cruiz	chaplin	Dan_Miracola	SUNDOWNS	4	0.004
Cruiz	chaplin	Chabad_rabbi	Thaye	4	0.004
Cruiz	chaplin	Thaye	Jenna_Werdell	8	0.008
Cruiz	chaplin	Jenna_Werdell	Patrice_Luzi	23	0.023
Cruiz	chaplin	Guttierrez	Patrice_Luzi	18	0.018
Cruiz	chaplin	Dan_Miracola	Trygve_Olson_cartoon	6	0.006
Cruiz	chaplin	Patrice_Luzi	Dan_Miracola	4	0.004
Cruiz	chaplin	Dan_Miracola	Patrice_Luzi	3	0.003
Cruiz	chaplin	Thaye	Chabad_rabbi	16	0.016
Cruiz	chaplin	Trygve_Olson_cartoon	Dan_Miracola	2	0.002
Cruiz	chaplin	Chabad_rabbi	Trygve_Olson_cartoon	5	0.005
Cruiz	chaplin	SUNDOWNS	Patrice_Luzi	5	0.005
Cruiz	chaplin	Trygve_Olson_cartoon	Thaye	4	0.004
Cruiz	chaplin	Patrice_Luzi	Trygve_Olson_cartoon	12	0.012
Cruiz	chaplin	Thaye	Patrice_Luzi	7	0.007
Cruiz	chaplin	Jenna_Werdell	Chabad_rabbi	6	0.006
Cruiz	chaplin	SUNDOWNS	Chabad_rabbi	4	0.004
Cruiz	chaplin	Trygve_Olson_cartoon	Jenna_Werdell	5	0.005
Cruiz	chaplin	Dan_Miracola	Jenna_Werdell	4	0.004
Cruiz	chaplin	Patrice_Luzi	Chabad_rabbi	3	0.003
Cruiz	chaplin	Jenna_Werdell	SUNDOWNS	4	0.004
Cruiz	chaplin	SUNDOWNS	Jenna_Werdell	6	0.006
Cruiz	chaplin	SUNDOWNS	Dan_Miracola	9	0.009
Cruiz	chaplin	SUNDOWNS	Trygve_Olson_cartoon	5	0.005
Cruiz	chaplin	Trygve_Olson_cartoon	SUNDOWNS	7	0.007
Cruiz	chaplin	SUNDOWNS	Guttierrez	14	0.014
Cruiz	chaplin	Patrice_Luzi	Guttierrez	4	0.004
Cruiz	chaplin	Trygve_Olson_cartoon	Patrice_Luzi	10	0.01
Cruiz	chaplin	Thaye	SUNDOWNS	3	0.003
Cruiz	chaplin	Dan_Miracola	Guttierrez	2	0.002
Cruiz	chaplin	Chabad_rabbi	Patrice_Luzi	1	0.001
Cruiz	chaplin	Jenna_Werdell	Trygve_Olson_cartoon	1	0.001
Cruiz	chaplin	Jenna_Werdell	Guttierrez	1	0.001
Cruiz	chaplin	NA	NA	416	0.416
Abounding_Grace	chaplin	Illana	Trygve_Olson_cartoon	85	0.085
Abounding_Grace	chaplin	Illana	Thaye	55	0.055
Abounding_Grace	chaplin	Illana	SUNDOWNS	52	0.052
Abounding_Grace	chaplin	Illana	Dan_Miracola	32	0.032
Abounding_Grace	chaplin	Illana	Chabad_rabbi	184	0.184
Abounding_Grace	chaplin	Illana	Jenna_Werdell	72	0.072
Abounding_Grace	chaplin	Illana	Guttierrez	37	0.037
Abounding_Grace	chaplin	Illana	Patrice_Luzi	67	0.067
Abounding_Grace	chaplin	NA	NA	416	0.416
Abounding_Grace	Cruiz	Illana	Thaye	46	0.046
Abounding_Grace	Cruiz	Illana	Guttierrez	166	0.166
Abounding_Grace	Cruiz	Illana	Patrice_Luzi	52	0.052
Abounding_Grace	Cruiz	Illana	Trygve_Olson_cartoon	137	0.137
Abounding_Grace	Cruiz	Illana	SUNDOWNS	52	0.052
Abounding_Grace	Cruiz	Illana	Dan_Miracola	76	0.076
Abounding_Grace	Cruiz	Illana	Jenna_Werdell	42	0.042
Abounding_Grace	Cruiz	Illana	Chabad_rabbi	13	0.013
Abounding_Grace	Cruiz	NA	NA	416	0.416
