B_dom	B_cod	A_dom	A_cod	count	probability
Fishcreek_Road_Stow	ATWOOD	Trygve_Olson_cartoon	Thaye	29	0.029
Fishcreek_Road_Stow	ATWOOD	Jenna_Werdell	Trygve_Olson_cartoon	24	0.024
Fishcreek_Road_Stow	ATWOOD	Trygve_Olson_cartoon	Jenna_Werdell	43	0.043
Fishcreek_Road_Stow	ATWOOD	SUNDOWNS	Jenna_Werdell	86	0.086
Fishcreek_Road_Stow	ATWOOD	Dan_Miracola	Guttierrez	38	0.038
Fishcreek_Road_Stow	ATWOOD	Jenna_Werdell	SUNDOWNS	62	0.062
Fishcreek_Road_Stow	ATWOOD	Dan_Miracola	Trygve_Olson_cartoon	21	0.021
Fishcreek_Road_Stow	ATWOOD	Chabad_rabbi	Trygve_Olson_cartoon	9	0.009
Fishcreek_Road_Stow	ATWOOD	Trygve_Olson_cartoon	Dan_Miracola	31	0.031
Fishcreek_Road_Stow	ATWOOD	Dan_Miracola	Patrice_Luzi	22	0.022
Fishcreek_Road_Stow	ATWOOD	Jenna_Werdell	Dan_Miracola	7	0.007
Fishcreek_Road_Stow	ATWOOD	Trygve_Olson_cartoon	SUNDOWNS	55	0.055
Fishcreek_Road_Stow	ATWOOD	Patrice_Luzi	Trygve_Olson_cartoon	20	0.02
Fishcreek_Road_Stow	ATWOOD	Jenna_Werdell	Thaye	3	0.003
Fishcreek_Road_Stow	ATWOOD	Dan_Miracola	SUNDOWNS	17	0.017
Fishcreek_Road_Stow	ATWOOD	SUNDOWNS	Trygve_Olson_cartoon	32	0.032
Fishcreek_Road_Stow	ATWOOD	Patrice_Luzi	Dan_Miracola	35	0.035
Fishcreek_Road_Stow	ATWOOD	Patrice_Luzi	SUNDOWNS	29	0.029
Fishcreek_Road_Stow	ATWOOD	Patrice_Luzi	Guttierrez	11	0.011
Fishcreek_Road_Stow	ATWOOD	Patrice_Luzi	Jenna_Werdell	12	0.012
Fishcreek_Road_Stow	ATWOOD	SUNDOWNS	Patrice_Luzi	21	0.021
Fishcreek_Road_Stow	ATWOOD	Thaye	Trygve_Olson_cartoon	32	0.032
Fishcreek_Road_Stow	ATWOOD	Thaye	Dan_Miracola	4	0.004
Fishcreek_Road_Stow	ATWOOD	Patrice_Luzi	Thaye	1	0.001
Fishcreek_Road_Stow	ATWOOD	Jenna_Werdell	Patrice_Luzi	5	0.005
Fishcreek_Road_Stow	ATWOOD	Thaye	SUNDOWNS	3	0.003
Fishcreek_Road_Stow	ATWOOD	Trygve_Olson_cartoon	Patrice_Luzi	11	0.011
Fishcreek_Road_Stow	ATWOOD	Dan_Miracola	Jenna_Werdell	22	0.022
Fishcreek_Road_Stow	ATWOOD	Guttierrez	Jenna_Werdell	3	0.003
Fishcreek_Road_Stow	ATWOOD	Chabad_rabbi	Guttierrez	6	0.006
Fishcreek_Road_Stow	ATWOOD	Guttierrez	Dan_Miracola	6	0.006
Fishcreek_Road_Stow	ATWOOD	Thaye	Jenna_Werdell	7	0.007
Fishcreek_Road_Stow	ATWOOD	Chabad_rabbi	Thaye	5	0.005
Fishcreek_Road_Stow	ATWOOD	Jenna_Werdell	Guttierrez	9	0.009
Fishcreek_Road_Stow	ATWOOD	Trygve_Olson_cartoon	Chabad_rabbi	1	0.001
Fishcreek_Road_Stow	ATWOOD	Thaye	Patrice_Luzi	2	0.002
Fishcreek_Road_Stow	ATWOOD	Trygve_Olson_cartoon	Guttierrez	5	0.005
Fishcreek_Road_Stow	ATWOOD	SUNDOWNS	Dan_Miracola	9	0.009
Fishcreek_Road_Stow	ATWOOD	Chabad_rabbi	Dan_Miracola	5	0.005
Fishcreek_Road_Stow	ATWOOD	Chabad_rabbi	Jenna_Werdell	8	0.008
Fishcreek_Road_Stow	ATWOOD	Jenna_Werdell	Chabad_rabbi	1	0.001
Fishcreek_Road_Stow	ATWOOD	Guttierrez	Patrice_Luzi	2	0.002
Fishcreek_Road_Stow	ATWOOD	Dan_Miracola	Thaye	1	0.001
Fishcreek_Road_Stow	ATWOOD	SUNDOWNS	Thaye	2	0.002
Fishcreek_Road_Stow	ATWOOD	SUNDOWNS	Guttierrez	1	0.001
Fishcreek_Road_Stow	ATWOOD	Guttierrez	Trygve_Olson_cartoon	1	0.001
Fishcreek_Road_Stow	ATWOOD	Guttierrez	SUNDOWNS	1	0.001
Fishcreek_Road_Stow	ATWOOD	NA	NA	240	0.24
Abounding_Grace	ATWOOD	Illana	Thaye	41	0.041
Abounding_Grace	ATWOOD	Illana	Trygve_Olson_cartoon	139	0.139
Abounding_Grace	ATWOOD	Illana	Jenna_Werdell	181	0.181
Abounding_Grace	ATWOOD	Illana	Guttierrez	70	0.07
Abounding_Grace	ATWOOD	Illana	SUNDOWNS	167	0.167
Abounding_Grace	ATWOOD	Illana	Dan_Miracola	97	0.097
Abounding_Grace	ATWOOD	Illana	Patrice_Luzi	63	0.063
Abounding_Grace	ATWOOD	Illana	Chabad_rabbi	2	0.002
Abounding_Grace	ATWOOD	NA	NA	240	0.24
Abounding_Grace	Fishcreek_Road_Stow	Illana	Trygve_Olson_cartoon	175	0.175
Abounding_Grace	Fishcreek_Road_Stow	Illana	Jenna_Werdell	111	0.111
Abounding_Grace	Fishcreek_Road_Stow	Illana	SUNDOWNS	151	0.151
Abounding_Grace	Fishcreek_Road_Stow	Illana	Dan_Miracola	121	0.121
Abounding_Grace	Fishcreek_Road_Stow	Illana	Chabad_rabbi	33	0.033
Abounding_Grace	Fishcreek_Road_Stow	Illana	Patrice_Luzi	108	0.108
Abounding_Grace	Fishcreek_Road_Stow	Illana	Thaye	48	0.048
Abounding_Grace	Fishcreek_Road_Stow	Illana	Guttierrez	13	0.013
Abounding_Grace	Fishcreek_Road_Stow	NA	NA	240	0.24
