B_dom	B_cod	A_dom	A_cod	count	probability
Fishcreek_Road_Stow	Trygve_Olson_cartoon	SUNDOWNS	Trygve_Olson_cartoon	229	0.229
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Dan_Miracola	Trygve_Olson_cartoon	195	0.195
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Jenna_Werdell	27	0.027
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Dan_Miracola	86	0.086
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Trygve_Olson_cartoon	SUNDOWNS	124	0.124
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Jenna_Werdell	Trygve_Olson_cartoon	128	0.128
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Patrice_Luzi	SUNDOWNS	14	0.014
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Patrice_Luzi	Trygve_Olson_cartoon	11	0.011
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Chabad_rabbi	Trygve_Olson_cartoon	20	0.02
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Thaye	Trygve_Olson_cartoon	30	0.03
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Patrice_Luzi	Dan_Miracola	12	0.012
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Guttierrez	Trygve_Olson_cartoon	2	0.002
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Chabad_rabbi	Thaye	3	0.003
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Guttierrez	Dan_Miracola	4	0.004
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Patrice_Luzi	3	0.003
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Guttierrez	Patrice_Luzi	1	0.001
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Chabad_rabbi	1	0.001
Fishcreek_Road_Stow	Trygve_Olson_cartoon	Trygve_Olson_cartoon	Thaye	6	0.006
Fishcreek_Road_Stow	Trygve_Olson_cartoon	NA	NA	104	0.104
Abounding_Grace	Trygve_Olson_cartoon	Illana	Trygve_Olson_cartoon	615	0.615
Abounding_Grace	Trygve_Olson_cartoon	Illana	Jenna_Werdell	27	0.027
Abounding_Grace	Trygve_Olson_cartoon	Illana	Dan_Miracola	102	0.102
Abounding_Grace	Trygve_Olson_cartoon	Illana	SUNDOWNS	138	0.138
Abounding_Grace	Trygve_Olson_cartoon	Illana	Thaye	9	0.009
Abounding_Grace	Trygve_Olson_cartoon	Illana	Patrice_Luzi	4	0.004
Abounding_Grace	Trygve_Olson_cartoon	Illana	Chabad_rabbi	1	0.001
Abounding_Grace	Trygve_Olson_cartoon	NA	NA	104	0.104
Abounding_Grace	Fishcreek_Road_Stow	Illana	SUNDOWNS	229	0.229
Abounding_Grace	Fishcreek_Road_Stow	Illana	Dan_Miracola	195	0.195
Abounding_Grace	Fishcreek_Road_Stow	Illana	Trygve_Olson_cartoon	247	0.247
Abounding_Grace	Fishcreek_Road_Stow	Illana	Jenna_Werdell	128	0.128
Abounding_Grace	Fishcreek_Road_Stow	Illana	Patrice_Luzi	37	0.037
Abounding_Grace	Fishcreek_Road_Stow	Illana	Chabad_rabbi	23	0.023
Abounding_Grace	Fishcreek_Road_Stow	Illana	Thaye	30	0.03
Abounding_Grace	Fishcreek_Road_Stow	Illana	Guttierrez	7	0.007
Abounding_Grace	Fishcreek_Road_Stow	NA	NA	104	0.104
