B_dom	B_cod	A_dom	A_cod	count	probability
Fishcreek_Road_Stow	chaplin	Jenna_Werdell	Chabad_rabbi	19	0.019
Fishcreek_Road_Stow	chaplin	Trygve_Olson_cartoon	Jenna_Werdell	10	0.01
Fishcreek_Road_Stow	chaplin	Dan_Miracola	Chabad_rabbi	24	0.024
Fishcreek_Road_Stow	chaplin	Trygve_Olson_cartoon	Thaye	40	0.04
Fishcreek_Road_Stow	chaplin	Thaye	SUNDOWNS	8	0.008
Fishcreek_Road_Stow	chaplin	Jenna_Werdell	Patrice_Luzi	19	0.019
Fishcreek_Road_Stow	chaplin	Trygve_Olson_cartoon	SUNDOWNS	6	0.006
Fishcreek_Road_Stow	chaplin	Patrice_Luzi	Trygve_Olson_cartoon	32	0.032
Fishcreek_Road_Stow	chaplin	Thaye	Jenna_Werdell	8	0.008
Fishcreek_Road_Stow	chaplin	Thaye	Chabad_rabbi	24	0.024
Fishcreek_Road_Stow	chaplin	Dan_Miracola	SUNDOWNS	33	0.033
Fishcreek_Road_Stow	chaplin	Dan_Miracola	Patrice_Luzi	7	0.007
Fishcreek_Road_Stow	chaplin	Trygve_Olson_cartoon	Chabad_rabbi	46	0.046
Fishcreek_Road_Stow	chaplin	SUNDOWNS	Thaye	14	0.014
Fishcreek_Road_Stow	chaplin	Patrice_Luzi	Guttierrez	4	0.004
Fishcreek_Road_Stow	chaplin	Jenna_Werdell	SUNDOWNS	12	0.012
Fishcreek_Road_Stow	chaplin	Dan_Miracola	Guttierrez	18	0.018
Fishcreek_Road_Stow	chaplin	Jenna_Werdell	Thaye	10	0.01
Fishcreek_Road_Stow	chaplin	Chabad_rabbi	Dan_Miracola	7	0.007
Fishcreek_Road_Stow	chaplin	SUNDOWNS	Jenna_Werdell	11	0.011
Fishcreek_Road_Stow	chaplin	Jenna_Werdell	Trygve_Olson_cartoon	8	0.008
Fishcreek_Road_Stow	chaplin	SUNDOWNS	Guttierrez	2	0.002
Fishcreek_Road_Stow	chaplin	Chabad_rabbi	Trygve_Olson_cartoon	12	0.012
Fishcreek_Road_Stow	chaplin	Jenna_Werdell	Guttierrez	5	0.005
Fishcreek_Road_Stow	chaplin	Trygve_Olson_cartoon	Patrice_Luzi	37	0.037
Fishcreek_Road_Stow	chaplin	SUNDOWNS	Chabad_rabbi	3	0.003
Fishcreek_Road_Stow	chaplin	Patrice_Luzi	Jenna_Werdell	19	0.019
Fishcreek_Road_Stow	chaplin	Dan_Miracola	Trygve_Olson_cartoon	6	0.006
Fishcreek_Road_Stow	chaplin	SUNDOWNS	Trygve_Olson_cartoon	7	0.007
Fishcreek_Road_Stow	chaplin	Patrice_Luzi	Thaye	6	0.006
Fishcreek_Road_Stow	chaplin	SUNDOWNS	Dan_Miracola	25	0.025
Fishcreek_Road_Stow	chaplin	Trygve_Olson_cartoon	Guttierrez	5	0.005
Fishcreek_Road_Stow	chaplin	Trygve_Olson_cartoon	Dan_Miracola	8	0.008
Fishcreek_Road_Stow	chaplin	Guttierrez	Trygve_Olson_cartoon	4	0.004
Fishcreek_Road_Stow	chaplin	Chabad_rabbi	Jenna_Werdell	8	0.008
