B_dom	B_cod	A_dom	A_cod	count	probability
Abounding_Grace	ATWOOD	Illana	Jenna_Werdell	281	0.281
Abounding_Grace	ATWOOD	Illana	Dan_Miracola	141	0.141
Abounding_Grace	ATWOOD	Illana	Trygve_Olson_cartoon	281	0.281
Abounding_Grace	ATWOOD	Illana	Thaye	21	0.021
Abounding_Grace	ATWOOD	Illana	SUNDOWNS	83	0.083
Abounding_Grace	ATWOOD	Illana	Patrice_Luzi	44	0.044
Abounding_Grace	ATWOOD	Illana	Guttierrez	48	0.048
Abounding_Grace	ATWOOD	Illana	Chabad_rabbi	2	0.002
Abounding_Grace	ATWOOD	NA	NA	99	0.099
Abounding_Grace	Jenna_Werdell	Illana	Trygve_Olson_cartoon	258	0.258
Abounding_Grace	Jenna_Werdell	Illana	Jenna_Werdell	493	0.493
Abounding_Grace	Jenna_Werdell	Illana	Patrice_Luzi	21	0.021
Abounding_Grace	Jenna_Werdell	Illana	Dan_Miracola	84	0.084
Abounding_Grace	Jenna_Werdell	Illana	SUNDOWNS	38	0.038
Abounding_Grace	Jenna_Werdell	Illana	Guttierrez	7	0.007
Abounding_Grace	Jenna_Werdell	NA	NA	99	0.099
Jenna_Werdell	ATWOOD	Trygve_Olson_cartoon	Jenna_Werdell	204	0.204
Jenna_Werdell	ATWOOD	Jenna_Werdell	Dan_Miracola	141	0.141
Jenna_Werdell	ATWOOD	Jenna_Werdell	Trygve_Olson_cartoon	281	0.281
Jenna_Werdell	ATWOOD	Patrice_Luzi	Thaye	2	0.002
Jenna_Werdell	ATWOOD	Dan_Miracola	Jenna_Werdell	55	0.055
Jenna_Werdell	ATWOOD	SUNDOWNS	Thaye	3	0.003
Jenna_Werdell	ATWOOD	Jenna_Werdell	SUNDOWNS	40	0.04
Jenna_Werdell	ATWOOD	Trygve_Olson_cartoon	Patrice_Luzi	8	0.008
Jenna_Werdell	ATWOOD	Dan_Miracola	Guttierrez	18	0.018
Jenna_Werdell	ATWOOD	Guttierrez	Patrice_Luzi	3	0.003
Jenna_Werdell	ATWOOD	SUNDOWNS	Jenna_Werdell	16	0.016
Jenna_Werdell	ATWOOD	SUNDOWNS	Patrice_Luzi	19	0.019
Jenna_Werdell	ATWOOD	Patrice_Luzi	Guttierrez	7	0.007
Jenna_Werdell	ATWOOD	Trygve_Olson_cartoon	SUNDOWNS	33	0.033
Jenna_Werdell	ATWOOD	Dan_Miracola	Patrice_Luzi	11	0.011
Jenna_Werdell	ATWOOD	Trygve_Olson_cartoon	Thaye	12	0.012
Jenna_Werdell	ATWOOD	Jenna_Werdell	Guttierrez	23	0.023
Jenna_Werdell	ATWOOD	Patrice_Luzi	Jenna_Werdell	2	0.002
Jenna_Werdell	ATWOOD	Jenna_Werdell	Thaye	4	0.004
Jenna_Werdell	ATWOOD	Guttierrez	Jenna_Werdell	4	0.004
Jenna_Werdell	ATWOOD	Patrice_Luzi	SUNDOWNS	10	0.01
Jenna_Werdell	ATWOOD	Jenna_Werdell	Patrice_Luzi	3	0.003
Jenna_Werdell	ATWOOD	Jenna_Werdell	Chabad_rabbi	1	0.001
Jenna_Werdell	ATWOOD	Trygve_Olson_cartoon	Chabad_rabbi	1	0.001
Jenna_Werdell	ATWOOD	NA	NA	99	0.099
